token,frequency
the,1545
future,174
hand,3
a,1272
n,1497
ua,2
l,589
r,1256
ep,1
o,1126
t,890
key,103
k,105
swa,22
g,415
e,2159
u,503
p,296
volume,111
thousand,81
deliveries,10
customer,264
unit,136
sale,386
production,206
ifrss,2
million,670
sales,67
revenue,178
operating,278
result,303
special,94
item,152
return,108
earnings,125
tax,381
research,42
development,268
cost,319
rd,13
ratio,76
capex,20
capexsales,2
net,142
cash,304
flow,164
liquidity,54
dec,94
investment,216
equity,188
hgb,13
income,229
fiscal,206
year,916
dividends,7
per,80
ordinary,45
share,371
preferred,57
activity,182
investing,30
attributable,111
subsequent,17
statistical,4
trend,74
data,66
including,131
unconsolidated,7
joint,94
venture,91
these,76
company,329
accounted,53
using,114
method,62
prioryear,74
delivery,53
updated,17
reflect,20
allocation,28
consolidation,24
adjustment,34
services,33
division,51
excluding,42
acquisition,40
disposal,34
percentage,37
average,57
this,234
version,33
annual,95
report,303
translation,10
original,15
take,61
precedence,1
all,21
figure,135
shown,26
rounded,2
minor,5
discrepancy,9
may,175
arise,43
addition,185
amount,355
previous,363
parenthesis,1
directly,41
current,198
reporting,243
period,285
specified,10
vehicle,595
range,88
correspond,7
obtained,21
wltp,3
chassis,5
dynamometer,3
value,416
seriesproduced,1
vary,8
depending,19
equipment,81
actual,24
deviate,1
practice,9
various,61
factor,70
to,126
our,75
shareholders,12
divisions,12
letter,4
supervisory,98
governance,45
group,417
corporate,70
declaration,42
members,5
composition,27
škoda,25
seat,25
man,48
part,179
management,409
consolidated,325
financial,910
statements,206
additional,52
information,129
goals,4
strategies,5
statement,244
fiveyear,4
review,30
internal,66
comprehensive,107
performance,185
indicators,4
activities,5
changes,22
glossary,4
scheduled,8
dates,1
notes,87
responsibility,60
auditors,9
disclosures,6
required,71
under,20
condensed,4
accordance,100
enhancement,20
expected,126
prospects,3
wa,505
published,15
occasion,4
march,16
board,85
we,312
perform,10
greatest,6
balancing,2
act,37
panys,2
history,6
recent,7
month,26
addressing,3
pandemic,201
pushing,3
transformation,34
technol,4
ogy,2
of,11
two,70
challenge,37
developing,21
new,318
digital,50
product,180
service,225
interface,3
still,37
greater,14
existential,1
significance,10
electricity,9
driving,49
improving,12
charging,21
experience,51
electric,93
providing,6
overtheair,1
software,65
update,14
function,35
assistance,10
system,229
establishing,8
process,181
primarily,79
online,9
communicating,1
around,55
clock,1
desired,1
force,13
prosperity,1
economy,55
its,12
usage,3
strengthens,1
orientation,6
provides,30
safer,5
convenient,1
mobility,95
upgrade,5
addi,8
tional,9
relating,92
entire,37
creating,12
area,113
business,280
fully,21
connected,9
traffic,10
become,24
basis,159
autonomous,21
thus,51
redefining,1
individual,164
planning,88
invest,14
billion,361
representing,1
onefifth,1
groups,15
total,149
expenditure,14
digitalization,35
next,21
five,50
flagship,2
project,83
greatly,1
speed,5
focus,67
world,56
audi,52
launch,15
groupwide,15
platform,29
starting,15
premium,42
segment,98
brand,336
follow,8
suit,15
trinity,1
stand,7
entirely,7
completely,28
digitalized,5
model,257
since,79
july,37
carsoftware,1
organisation,4
ha,230
program,74
ming,1
vwos,3
used,132
first,118
time,175
today,3
it,138
expert,15
work,74
organization,40
number,122
rise,42
coding,1
becoming,12
in,752
continue,41
keep,7
brain,1
car,141
inhouse,5
find,1
playing,3
field,20
com,66
panies,12
entering,8
market,505
technology,91
often,9
virtually,8
unlimited,1
access,18
resource,56
capital,172
player,2
regard,49
old,3
auto,19
by,30
focusing,8
consistently,10
efficiency,30
working,80
change,232
view,31
valuable,2
pany,5
enjoys,1
one,109
best,25
position,88
competition,24
construction,15
achieved,34
excellent,11
standard,59
quality,71
appeal,11
functionality,6
better,18
ever,8
way,34
successfully,14
transform,3
maximizing,2
traditional,3
intend,7
reduce,35
fixed,30
another,27
procurement,48
material,88
profitability,12
costcutting,1
and,2
simplifying,1
portfolio,59
diversified,3
right,108
place,41
moreover,24
sustainable,39
action,126
strengthen,13
resilience,1
latest,11
achieve,30
carbon,10
neutrality,2
worldwide,76
supply,71
chain,43
plant,79
use,128
made,63
substantial,28
progress,20
mean,42
thing,36
particular,106
bringing,4
tripled,1
premiere,4
family,25
played,1
important,48
growth,83
id,30
began,13
november,33
also,439
manufactured,12
newly,9
constructed,1
factory,15
when,10
begin,7
suv,6
live,3
claim,101
delivered,30
successful,30
followed,8
etron,30
emobility,32
plus,18
hybridization,3
port,6
folio,2
ago,4
gave,5
green,9
light,64
decision,73
develop,39
meb,9
now,1
core,36
last,24
significantly,56
lowered,2
emission,92
fleet,60
compared,64
campaign,8
well,184
underway,4
iv,9
meet,36
co,48
target,142
go,5
strength,9
sub,4
sequent,1
trade,31
excess,18
credit,83
profit,182
near,1
continued,35
success,44
story,2
achieving,11
zeroemission,5
increasing,35
stake,8
accelerating,3
electrification,20
largest,20
announced,23
intention,6
shareholder,81
battery,46
maker,2
gotion,1
acquiring,3
endeavor,3
helping,5
expand,9
expertise,46
global,94
level,175
increase,145
requirement,133
political,7
climate,16
allelectric,28
make,61
previously,13
projected,4
manufacturing,14
facility,19
salzgitter,2
need,37
prepared,32
support,43
ment,86
commercial,109
note,70
reduced,32
faster,5
freight,3
transport,28
local,30
public,25
fraction,1
champion,5
strategy,98
advanced,11
established,37
manufacturer,50
launched,34
groundwork,1
enhanced,14
laid,9
started,11
competitiveness,8
restructuring,14
positioned,5
trans,14
formation,6
selfdriving,4
truck,55
bus,37
hospital,1
respiratory,1
produced,26
surgical,1
mask,3
face,5
shield,1
provided,44
worth,1
relief,12
sought,3
producer,5
arranged,2
at,234
able,35
ensure,38
safe,8
condition,42
point,41
plan,175
maintain,9
safeguard,16
targeted,6
warehouse,2
showed,4
robust,8
capable,3
perfor,8
mance,8
saw,14
biggest,3
crisis,8
decade,4
as,117
close,11
recorded,41
fewer,15
yearonyear,62
slightly,21
came,10
underscore,2
outstanding,34
solidity,1
i,1294
proud,2
employee,140
challenging,6
while,7
sentiment,2
rating,39
survey,18
implemented,30
positive,64
culture,33
confirmed,6
september,47
final,17
team,15
worked,4
four,20
transparency,12
reducing,14
hierarchical,1
thinking,1
would,62
like,8
sincerely,2
thank,1
hard,2
following,134
member,216
powerful,4
consis,1
tently,1
remain,22
committed,12
securing,3
higher,94
concentrating,4
there,57
lot,2
decide,8
undergo,2
ten,7
fifty,1
climateneutral,2
softwaredriven,1
quickly,6
look,5
forward,39
journey,3
overshadowed,1
many,48
common,19
good,47
help,23
contain,31
converted,7
former,22
dring,3
chairman,113
purchasing,9
human,38
resources,8
hc,18
f,470
finance,30
ag,250
section,102
gentleman,1
committee,52
focused,14
strategic,87
direction,7
regularly,33
deliberated,2
supervised,1
supported,4
running,6
advised,2
issue,186
duty,19
law,88
rule,46
procedure,41
observed,5
relevant,85
recommendation,43
suggestion,11
involved,22
fundamental,14
importance,19
discussed,21
consideration,18
agement,23
regular,50
interval,6
complied,16
disclosure,64
obli,3
gations,4
set,70
policy,66
adopted,23
promptly,9
comprehensively,3
writing,6
orally,1
particularly,80
matter,77
relevance,10
included,105
risk,693
situation,46
respect,39
informed,7
improvement,21
compliance,95
received,65
topical,1
ongoing,37
document,26
meeting,90
detailed,17
forecast,41
any,13
deviation,13
drawn,6
explained,7
detail,23
either,17
person,19
analyzed,15
reason,33
enable,18
countermeasure,7
derived,15
reported,53
extensively,9
impact,106
covid,13
deal,4
minutes,2
without,18
delay,8
effect,133
taken,62
presented,57
connection,94
diesel,156
consulted,2
discus,11
address,16
integrity,65
visory,25
topic,23
investor,57
consultation,6
discussion,19
held,92
attendance,5
rate,310
tion,24
resolution,37
urgent,1
electronic,17
communication,16
medium,29
restriction,22
resulting,62
necessitated,2
flexibility,12
resulted,36
travel,10
politics,2
nevertheless,1
except,3
dr,30
al,5
attended,2
half,32
could,47
attend,3
engage,4
preparatory,1
c,667
m,574
v,250
s,1126
order,80
discharge,2
entrusted,4
mittee,6
nation,4
october,28
resolved,20
growing,23
responsi,6
bilities,1
executive,52
comprised,7
representative,50
three,57
remaining,23
mittees,2
composed,5
december,161
given,26
met,20
meticulously,2
took,24
contractual,13
concerning,11
remuneration,193
consent,9
ancillary,4
responsible,63
proposing,4
suitable,7
candidate,10
recommend,4
election,12
convened,3
effectiveness,22
control,72
audit,91
performed,11
concerned,24
quarterly,7
halfyearly,4
supervision,8
examination,8
thereof,7
auditor,73
creation,6
monitor,13
relatedparty,5
transaction,103
line,76
require,27
ments,36
corporation,22
coordinating,1
preparing,13
end,121
examining,1
conse,4
quences,4
finding,17
among,68
state,54
affair,6
consumer,45
declaratory,20
judg,3
brought,27
federation,1
organizations,3
legal,103
proceeding,108
furthermore,29
repre,4
sentatives,2
separate,25
preliminary,6
receive,25
upon,19
induction,3
education,5
training,46
organi,5
zation,10
seminar,1
bear,7
appointed,37
introduction,12
apply,32
specifically,8
d,548
b,264
y,161
h,353
rv,2
january,62
especially,48
agenda,11
february,35
involving,19
zentrale,1
ev,11
approved,15
examined,9
combined,40
nonfinancial,14
precautionary,6
relationships,1
volkswagen,111
affiliated,9
companies,2
dependent,24
completion,10
depen,1
dent,3
conclusion,9
objection,12
raised,5
concluding,4
other,187
financing,73
measure,181
full,22
squeeze,2
th,15
proposed,7
status,13
criminal,29
wagen,59
sus,5
picion,1
violation,32
securities,5
trading,23
enlargement,1
appointment,28
related,88
stepping,2
increased,64
shareholding,5
alliance,12
ford,8
motor,8
covered,19
news,1
main,42
june,50
departure,12
mutual,8
agreement,104
pertaining,8
concentrated,2
amendment,14
conducting,4
virtual,8
independent,42
overview,11
togetherintegrity,3
decided,18
image,9
processing,7
nextgeneration,2
investigations,1
granted,50
might,10
excessive,3
provision,172
moni,4
toring,2
aktg,3
on,53
largely,23
takeover,3
se,43
championship,1
principle,57
depth,2
submitted,10
conformity,18
together,56
relation,38
appoint,12
mr,64
murat,2
aksel,3
arno,2
antlitz,2
redistribution,1
voted,1
extension,10
answering,1
question,31
request,9
court,76
gmbh,109
wirtschaftsprüfungsgesellschaft,4
ey,7
interim,8
third,35
quarter,54
postponement,2
table,45
show,40
participation,9
hans,8
jaber,5
hanspeter,3
fischer,3
implementation,37
dis,8
cussed,1
