token,frequency
a good company,4
business,4
successful tomorrow,1
the future,5
the essence,1
the organization,1
attitude,1
future attitude,1
company,3
the answer,1
successful year,1
the world,3
a vehicle,1
the trust,1
revenue,1
operating,2
profit,1
percent,2
the operating,1
return,1
the original forecast,1
the key performance,1
financial situation,1
the fact,1
a good position,1
today,2
everything,1
the result,1
great teamwork,1
success,1
a dividend,1
ordinary share,1
share,2
fiscal year,1
a payout,1
ratio,1
the entire industry,2
radical change,1
reason,1
price,1
the precrisis,1
level,1
the end,2
the confidence,1
realignment,1
plan,1
effect,1
a key element,1
this strategy,1
emobility,1
the same time,2
the road,1
mobility,2
the full range,1
drive,1
efficient ultramodern combustion,1
the other major future,1
artificial intelligence,1
new mobility,1
digital connectivity,1
the first car,1
wheel,1
tomorrow,1
letter,1
each setback,2
energy,2
the transformation,2
course,1
halfway,1
the pace,1
a clear goal,1
front,1
an automaker,1
a company,1
sustainable mobility,1
a clear plan,1
the critical mass,1
innovative capacity,1
financial discipline,1
this change,1
the third criterion,1
the attitude,1
the company,1
goal,1
the culture,1
a large organization,1
time,1
endurance,1
determination,1
spite,1
the progress,1
every day,1
open cooperation,1
speed,1
pragmatism,1
critical ability,1
the reduction,1
power,1
authentic vibrant leadership,1
integrity,1
answer,1
successful global company,1
own future,1
a solid foundation,1
a healthy corporate culture,1
a way,1
thing,1
the environment,1
society,1
enormous potential,1
forward,1
continued support,1
this journey,1
makes a good company,1
compelling business,1
remain successful tomorrow,1
concerned the answer,1
chose a vehicle,1
exceeded the original forecast,1
is the result,1
propose a dividend,1
preferred share,1
like the entire industry,1
is reason,1
expresses the confidence,1
taking effect,1
help emobility,1
emissionfree mobility,1
including efficient ultramodern combustion,1
steering wheel,1
changing course,1
stopping halfway,1
brings sustainable mobility,1
following a clear plan,1
have the critical mass,1
spearhead this change,1
beginning the attitude,1
changing the culture,1
requires time,1
see every day,1
need authentic vibrant leadership,1
has enormous potential,1
looking forward,1
company stand,1
revenue rose,1
profit was better,1
business is,1
financial situation is,1
percent looking ahead,1
the entire industry are,1
the confidence shown,1
the future is,1
emobility achieve,1
goal changing,1
a large organization is,1
authentic vibrant leadership based,1
today is,1
a healthy corporate culture is,1
