token,frequency
signature,2
there,2
many,3
reason,1
invest,1
company,7
some,1
look,3
return,2
built,1
solid,2
foundation,1
healthy,1
prospect,1
others,1
embrace,1
responsibility,1
people,2
environment,3
but,2
valuable,1
create,2
value,6
stand,1
this,5
type,1
strives,1
we,9
therefore,5
align,1
business,3
following,1
three,1
pillar,1
digitalization,2
electrification,1
increase,4
shareholder,3
the,6
fiscal,1
year,5
ha,3
shown,1
added,1
spite,1
difficult,1
reflected,3
million,2
vehicle,2
delivered,1
ever,1
it,2
new,4
model,3
launched,1
brand,5
for,4
example,1
troc,1
škoda,1
seat,1
and,3
least,1
financial,3
figure,1
sale,2
revenue,1
rose,1
billion,4
operating,3
profit,1
climbed,1
special,2
item,2
percent,2
wa,2
upper,1
end,1
target,1
range,3
position,2
our,3
proven,1
resilient,1
despite,1
headwind,1
face,2
in,3
test,2
procedure,1
caused,1
delay,1
production,4
shift,1
distribution,1
second,2
half,2
particularly,1
negatively,1
affected,1
introduction,1
wltp,1
by,3
increasing,2
capacity,1
reducing,3
variant,1
intend,1
pas,1
next,2
level,1
smoothly,1
also,6
defined,1
extensive,1
countermeasure,1
improve,2
earnings,1
situation,2
appropriate,1
program,1
way,1
core,2
particular,1
work,1
efficiently,1
at,3
objective,1
shape,3
future,1
resource,3
main,1
plant,4
alone,1
want,3
productivity,1
these,1
effort,1
necessary,2
political,1
uncertainty,1
ailing,1
economy,3
affecting,1
region,1
world,1
includes,1
dimmed,1
considerably,1
trade,1
dispute,1
share,3
market,1
grew,1
delivery,1
increased,1
slightly,1
short,1
result,1
quite,1
feat,1
i,2
offer,2
sincerest,1
thanks,1
employee,1
commitment,1
course,1
benefit,1
success,1
supervisory,1
board,1
proposing,1
significant,1
dividend,1
per,2
ordinary,1
preferred,1
emphasis,2
electric,9
car,7
today,2
perspective,2
best,2
efficient,2
choice,2
co,2
transport,2
looking,1
ahead,1
remains,1
challenging,1
technological,1
change,2
industry,1
emobility,1
connectivity,1
mobility,3
solution,1
automated,1
driving,2
going,1
take,1
lot,1
energy,1
development,2
top,1
realigning,1
activity,1
efficiency,1
competitiveness,1
pick,1
speed,2
revise,1
cost,1
structure,2
coming,1
guided,1
campaign,1
committed,1
making,1
contribution,1
protecting,1
were,1
planning,1
investment,1
around,1
five,1
put,1
road,1
every,1
fourth,1
with,1
soon,1
first,2
supply,1
chain,1
transformed,1
pureplay,1
forming,1
largest,1
network,1
conversion,1
anting,1
foshan,1
full,2
swing,1
launch,1
planned,1
transformation,1
go,1
far,1
beyond,1
drive,1
becoming,1
highly,1
complex,1
connected,1
device,1
like,2
tablet,1
wheel,1
assistance,1
system,1
infotainment,1
fully,1
autonomous,1
software,4
tomorrow,1
to,1
globally,1
successful,1
need,1
scale,1
leading,2
sector,1
size,1
what,1
lacking,1
area,1
expertise,1
taking,1
step,1
acquire,1
skill,1
forging,1
alliance,1
partner,1
revising,1
changing,1
workflow,1
established,2
automaker,1
separate,2
hardware,1
additionally,1
responsible,1
softwareservices,1
group,1
division,1
keeping,1
close,1
eye,1
goal,1
become,1
global,1
provider,1
sustainable,2
possible,1
continue,1
achieve,1
growth,1
customer,1
workforce,1
thank,1
trust,1
invite,1
stay,1
u,1
move,1
forward,1
journey,1
sincerely,1
