token,frequency
report,44
james,1
a,28
skinner,4
executive,60
chairman,16
vice,38
chief,46
officer,78
walgreens,81
e,3
baxter,1
janice,1
m,6
llp,8
usg,1
corporation,12
president,38
c,2
judge,2
schlichting,3
former,9
states,1
securities,8
dc,2
form,67
k,82
è,7
annual,11
pursuant,49
to,12
section,22
or,2
of,11
exchange,51
act,37
for,48
fiscal,398
year,221
ended,103
file,98
number,51
boots,17
alliance,44
inc,3
exact,1
name,23
registrant,20
specified,8
charter,2
incorporation,5
principal,22
office,7
telephone,1
including,194
area,7
code,8
registered,13
b,22
class,12
notes,15
due,103
the,553
llc,5
stock,120
g,2
check,10
mark,11
wellknown,1
seasoned,1
issuer,9
defined,34
rule,24
yes,4
no,110
indicate,12
required,33
whether,27
ha,116
filed,134
preceding,2
month,34
shorter,4
period,128
wa,134
subject,90
filing,8
requirement,53
past,4
day,26
submitted,7
electronically,3
every,2
interactive,1
data,44
regulation,66
st,1
chapter,1
submit,1
disclosure,46
delinquent,1
filer,9
contained,3
herein,25
best,4
knowledge,2
definitive,2
proxy,16
information,127
statement,104
incorporated,102
reference,131
amendment,34
large,8
accelerated,8
nonaccelerated,2
smaller,3
reporting,83
company,185
emerging,10
growth,27
see,42
definition,2
one,33
if,41
elected,2
use,21
extended,4
transition,26
complying,4
new,90
revised,1
financial,283
accounting,114
standard,18
provided,19
shell,1
as,62
february,52
aggregate,22
market,148
value,173
common,69
held,19
nonaffiliates,1
based,71
upon,28
closing,14
transaction,85
price,78
date,61
approximately,62
billion,153
september,36
share,122
outstanding,39
by,3
portions,1
planned,5
indicated,8
table,16
contents,1
part,59
i,8
risk,105
factor,51
staff,5
comment,3
safety,14
properties,2
legal,50
proceeding,24
equity,141
related,123
stockholder,37
matter,43
purchase,73
security,55
selected,2
discussion,12
analysis,17
condition,100
result,237
operation,200
qualitative,5
supplementary,6
disagreement,2
accountant,3
procedure,15
other,58
corporate,21
governance,7
compensation,36
ownership,13
certain,126
beneficial,6
owner,4
management,73
relationship,37
director,60
independence,2
fee,10
service,110
schedule,6
summary,9
signatures,1
on,44
december,69
became,6
successor,6
merger,15
effect,75
reorganization,4
holding,8
structure,4
becoming,3
parent,3
u,72
refer,6
subsidiary,30
effective,75
time,113
prior,50
predecessor,3
case,18
include,71
unconsolidated,5
partiallyowned,3
entity,24
except,18
otherwise,26
context,2
requires,21
our,62
end,19
august,203
this,59
includes,33
forwardlooking,18
made,34
safe,2
harbor,2
provision,62
cautionary,4
note,133
regarding,44
ii,22
item,50
all,7
trademark,8
trade,33
used,33
property,35
respective,7
first,10
global,28
pharmacyled,7
health,73
wellbeing,7
enterprise,9
sale,244
purpose,15
help,7
people,8
across,13
world,5
lead,13
healthier,1
happier,1
life,16
largest,7
retail,117
pharmacy,154
daily,4
living,2
destination,1
method,99
investment,171
together,7
presence,2
country,32
employ,1
leader,5
store,103
well,46
pharmaceutical,63
wholesale,34
distribution,39
network,22
center,19
delivering,1
doctor,2
hospital,3
in,152
addition,61
purchaser,1
prescription,95
drug,85
many,24
product,103
portfolio,8
business,208
brand,38
increasingly,7
beauty,18
botanics,1
enhanced,4
inhouse,3
research,7
development,26
capability,3
we,103
seek,11
drive,4
innovative,6
way,4
address,6
wellness,8
challenge,5
believe,13
positioned,1
expand,6
customer,86
offering,24
existing,31
become,11
partner,10
choice,1
proud,1
force,1
good,12
leveraging,1
decade,1
experience,25
international,37
scale,2
care,27
planet,1
numerous,13
social,3
responsibility,5
sustainability,1
initiative,26
impact,140
million,290
described,22
formed,2
founded,1
located,8
symbol,3
recent,18
announced,19
reached,3
agreement,176
national,13
accord,2
medicines,2
ltd,3
investor,11
guoda,4
leading,4
chain,10
following,49
public,26
tender,2
process,15
bid,4
met,4
set,12
seller,3
acquire,14
percent,18
interest,119
july,22
acquired,41
began,4
account,24
using,38
statements,55
included,66
secured,4
regulatory,47
clearance,3
amended,34
restated,15
asset,212
three,26
inventory,47
aid,1
cash,129
consideration,19
occurred,10
wave,2
total,35
accounted,13
publicly,6
available,35
ending,2
combination,20
remaining,13
two,11
remains,5
forth,10
previously,26
june,48
terminated,9
plan,139
agreed,6
termination,26
paid,17
also,101
reimbursed,4
cost,240
connection,15
among,50
completion,5
acquisition,81
debt,76
additional,54
relating,34
benefit,130
manager,7
prime,18
therapeutics,3
closed,15
combined,5
central,9
specialty,18
mail,14
strategic,41
consolidated,56
reported,25
within,46
usa,51
division,96
exercised,5
warrant,28
amerisourcebergen,9
exercise,19
payment,54
doe,22
hold,11
owned,11
representing,3
twomonth,4
lag,5
designated,19
member,18
board,16
open,16
thereafter,3
designate,6
second,5
applicable,46
contractual,14
amount,116
permitted,11
increase,73
decrease,26
circumstance,27
issued,41
march,21
gmbh,9
various,48
arrangement,38
tenyear,3
source,14
branded,16
generic,48
provides,25
ability,42
access,23
sourcing,5
may,223
expire,7
completed,18
divestiture,3
designed,10
grow,3
enhance,3
competitive,20
position,40
please,4
exit,19
disposal,9
activity,44
overview,1
industry,47
globe,2
highly,11
dynamic,10
experienced,6
consolidation,14
evolving,8
landscape,3
play,3
significant,97
role,8
healthcare,60
constitute,2
line,11
treatment,5
medical,2
belief,11
longterm,28
outlook,3
utilization,9
strong,2
aging,1
population,2
expectancy,2
availability,11
continued,8
improve,5
quality,8
control,106
person,13
insurance,31
coverage,10
baby,1
boomer,1
eligible,4
federally,1
funded,6
program,87
wholesaler,7
vital,1
link,1
manufacturer,15
provider,16
supplying,1
patient,15
relies,2
significantly,23
private,30
governmental,26
thirdparty,36
payer,41
organization,14
throughout,4
create,3
larger,2
greater,13
bargaining,3
power,7
statesponsored,1
managed,9
medicaid,2
agency,23
change,240
eligibility,7
reduce,23
reimbursement,48
rate,180
government,45
subsidizes,2
consumer,20
regulates,2
level,29
governmentsponsored,3
system,50
law,109
term,61
example,27
aca,4
enacted,16
federal,37
spending,10
these,47
generally,33
expected,38
state,33
continue,26
reduction,30
when,5
authority,17
take,13
action,64
restrict,4
margin,40
could,205
reduced,11
would,34
adversely,100
affect,68
profitability,8
possible,16
adverse,52
partially,20
entirely,1
offset,29
controlling,2
expense,125
dispensing,9
higher,30
finding,1
revenue,25
stream,2
andor,22
volume,14
continuous,6
intensified,1
since,20
focus,4
operational,11
efficiency,14
during,6
intends,3
maintain,16
evaluation,12
potential,32
lower,45
overall,11
expects,9
general,76
version,3
generate,2
dollar,36
per,46
gross,27
profit,37
compared,73
patentprotected,1
several,10
allowed,1
compete,11
referred,2
conversion,9
given,6
major,10
undergo,2
status,4
vary,13
timing,30
difficult,11
predict,12
demand,9
policy,37
contracting,2
pressure,16
cause,12
competes,3
evolve,3
pharmacists,1
frontlines,1
delivery,10
rising,1
limited,42
supply,20
primary,6
physician,1
present,18
opportunity,14
pharmacist,7
even,5
driving,1
positive,7
outcome,21
expanded,4
immunization,8
preventive,1
clinic,4
pharmacistled,1
medication,2
therapy,1
chronic,3
segments,1
organized,1
reportable,10
segment,53
excluding,22
focused,4
helping,3
feel,2
happy,1
healthy,1
operated,15
reade,1
lived,2
five,6
mile,1
convenient,6
omnichannel,6
merchandise,14
delish,1
soap,1
glory,1
community,4
ecommerce,1
platform,3
mobile,6
application,8
allows,2
refill,2
scan,1
technology,13
receive,6
alert,1
perform,9
functionality,2
ordering,2
photo,1
print,1
shopping,5
clipping,1
coupon,2
manage,8
employer,6
sector,2
utilizes,2
channel,3
provide,33
illustrated,1
providing,3
flu,8
vaccine,1
instore,4
location,32
technician,1
nurse,1
practitioner,1
professional,3
component,15
nonprescription,3
toiletry,2
influence,17
seasonality,8
particularly,8
winter,4
holiday,12
cough,7
cold,7
season,11
proportion,8
follows,22
filled,5
adjusted,56
equivalent,23
sales,24
received,16
fill,4
assistance,2
loyalty,13
reward,4
valuable,1
encourage,1
online,12
special,9
pricing,26
select,2
earn,2
everyday,1
point,41
purchasing,13
instantly,1
redeemed,6
walgreenscom,1
active,9
totaled,3
someone,2
card,21
last,8
six,2
distributes,2
nonpharmaceutical,1
impacted,34
thing,13
percentage,54
introduced,3
because,7
outside,19
face,9
substantial,20
uncertainty,17
predicting,3
occur,17
particular,18
future,87
current,62
environment,14
ongoing,5
shift,5
mix,17
towards,5
coupled,1
anticipated,28
continuously,2
maintenance,6
commercial,23
regularly,3
expiration,15
renegotiation,1
adjustment,39
often,5
prescribed,3
interval,3
worked,3
develop,8
enable,4
improved,4
via,2
participation,15
offer,19
typically,22
incremental,2
comparable,55
need,14
increased,67
convenience,5
facilitate,3
adherence,1
resulting,18
eight,7
look,1
geographic,10
grown,2
conveniently,1
placed,2
working,12
closely,1
serf,5
differentiated,1
competitor,15
owns,2
exclusive,4
long,7
established,11
reputation,15
trust,2
complemented,1
bootscom,1
website,8
integrated,3
order,10
collect,2
range,6
pm,1
noon,1
advantage,1
redemption,7
later,4
continues,6
key,27
element,3
optical,5
practice,25
franchise,1
basis,52
balance,30
standalone,2
pharmacyrelated,1
variation,4
jurisdiction,23
depending,3
primarily,63
lifestyle,1
merchandising,1
quarter,54
strongest,1
nature,10
category,12
specifically,5
promotional,6
event,24
desire,3
seeking,6
minimize,2
funding,11
reviewed,6
performance,41
measured,8
translate,2
pound,8
sterling,8
mainly,12
operates,6
medicine,6
comprises,4
vast,1
majority,3
high,5
core,5
frequency,1
accuracy,2
timeliness,1
reliability,2
addedvalue,1
membership,1
paneuropean,1
independent,18
gain,26
outsourcing,2
noncore,1
prewholesale,2
contract,32
logistics,3
direct,7
specialized,1
covering,2
clinical,2
homecare,1
support,9
preparation,4
trial,1
local,15
engagement,1
important,8
wholesaling,3
distributor,2
rank,4
top,1
individual,3
consumption,1
however,14
earns,1
equal,7
better,2
although,8
exception,6
changes,14
model,9
introduce,1
feeforservice,3
successful,10
winning,1
recognizes,5
charged,2
euro,3
le,14
intellectual,6
license,8
dress,1
patent,2
copyright,1
secret,1
restriction,11
establish,4
protect,5
proprietary,4
right,18
domain,1
registration,13
assorted,1
occupational,1
liquor,1
cigarette,1
multiple,7
necessary,9
normal,7
seasonal,4
affected,33
others,7
severity,6
weather,5
discount,19
quarterly,8
unaudited,4
raw,2
material,76
inventories,6
purchased,12
domestic,11
foreign,106
supplier,15
loss,76
group,10
capital,47
us,26
technique,6
forecasting,1
planning,4
replenishment,2
its,5
finance,7
expansion,4
internallygenerated,1
fund,23
shortterm,16
liquidity,6
resource,11
sell,12
single,5
presented,25
substantially,13
covered,9
eg,4
agree,2
pay,13
portion,18
customers,2
administrative,57
concerning,12
financed,1
prohibiting,1
kickback,2
beneficiary,1
inducement,1
submission,2
false,7
claim,30
hipaa,1
licensure,1
enforcement,8
administration,5
commission,4
promulgated,1
licensing,3
tax,309
privacy,9
protection,10
currency,146
political,11
governed,3
applicability,2
regulating,2
employment,11
governing,12
exposure,20
hazardous,3
substance,7
expenditure,16
retailer,13
regional,7
grocery,2
mass,2
merchant,2
warehouse,5
club,2
merchandiser,2
alternative,10
importer,2
directly,18
variety,7
dispersion,2
mitigate,3
temporary,5
localized,1
economic,32
employees,1
employed,2
parttime,1
employee,51
hour,1
week,2
foregoing,3
while,7
spent,1
export,4
longlived,5
aggregated,2
nonus,13
attendant,1
sec,17
reports,4
q,29
you,3
read,2
copy,1
secs,1
room,1
f,2
street,2
ne,1
obtain,12
calling,1
maintains,1
httpwwwsecgov,1
contains,4
make,28
free,4
charge,38
httpinvestorwalgreensbootsalliancecom,1
furnished,4
soon,1
reasonably,9
practicable,2
furnishes,1
content,1
companys,19
carefully,1
consider,8
materially,49
presently,2
known,5
currently,9
immaterial,3
reductions,1
benchmark,3
effort,6
litigation,27
priced,2
january,37
client,3
utilize,2
narrow,1
restricted,19
willing,4
accept,3
financing,16
attempt,3
legislative,2
modify,7
repeal,6
modification,2
subsequent,5
legislation,15
there,17
proposal,3
enactment,4
response,4
budget,1
deficit,1
expect,17
budgetary,1
deteriorates,1
able,12
timely,15
delay,10
owed,1
assurance,27
considering,5
metric,2
it,6
regulator,1
evaluate,5
replace,4
average,12
actual,19
calculating,8
toward,1
operating,163
marketplace,6
trend,13
preferred,5
medicare,1
d,1
participate,5
accepted,7
secure,2
serving,4
senior,7
participating,3
sufficient,5
degree,4
decline,10
derive,2
administered,2
administer,2
varying,3
limit,8
specific,5
approved,10
list,2
formulary,1
might,9
indication,2
least,4
unable,13
lost,4
either,11
resumption,1
resume,1
achieve,9
pace,4
choose,2
initially,3
incur,16
marketing,3
regain,1
attract,6
introduction,6
procure,3
depends,6
lowerpriced,1
inflation,10
prevalence,2
highdeductible,1
design,7
associated,31
relatively,4
accordingly,7
magnitude,4
successfully,20
extent,10
any,13
failure,17
fully,13
additionally,9
different,7
expectation,14
positioning,3
resulted,6
give,5
profitable,4
unless,3
corresponding,4
proposed,9
partnership,6
alter,3
cvs,1
drugstore,4
diversified,1
participant,12
procurement,7
similar,13
potentially,5
vertical,1
integration,11
engage,4
anticipate,4
respond,7
manner,7
strategy,12
dependent,5
identify,9
complete,14
joint,20
venture,17
pursue,2
complement,2
invest,4
build,1
deemed,7
complementary,1
objective,9
competition,12
attractive,3
target,3
identifying,1
negotiating,1
consummating,1
favorable,17
justify,1
therein,2
acquisitions,9
involve,9
difficulty,9
integrating,1
personnel,8
distraction,1
overseeing,1
disruption,17
entering,1
achieving,3
synergy,12
suitable,3
fair,123
conduct,8
appropriate,8
diligence,1
integrate,4
operate,17
leverage,1
issue,22
dilute,1
writeoffs,3
restructuring,7
assumed,12
unknown,2
environmental,4
liability,115
undetected,1
internal,49
negatively,14
outsource,1
function,7
rely,6
