date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-10-01, Process Engineer,,Current Employee,K,"Higher salary than other similar company
","High working time and can’t handle jobs after leaving office
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-30, Engineer,Taipei,Current Employee,good,"it's good for anyone who want to work
","it's very pressure for anyone
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-29, R&D Engineer,,Current Employee,R&D's life,"You'll learn and help develop the state-of-art process.
","Stressful and easy to burn out passion.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-29, Project Manager,Taipei,Current Employee,Nice firm,"Good pay, large pool, friendly employer
","long working hours, high stress
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-28, Information Technology,Tainan,"Current Employee, more than 3 years",ok,"High salary! but no life
","High pressure with no life.
Advice to Management
not a good place to stay
Be the first to find this review helpful
Helpful
Share
Repor","not a good place to stay
Be the first to find this review helpful
Helpful
Share
Repor",2.0,Disagree,Disagree,Disagree
2021-09-26, Semiconductor Engineer,Hsinchu,Current Employee,Good to earn money faster but..,"Salary relatively better in the region
Leadership in the industry.
","Stressful culture
Lack of management
Cannot WFH
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,Neutral,Agree
2021-09-25, Manager,"Yokohama, Kanagawa, Kanagawa",Current Employee,Pro and cons,"Busy work daily very busy
","Pay is good enough which is ok
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Agree,Agree
2021-09-24, Process Integration Engineer,Hsinchu,"Current Employee, more than 3 years",work life balance,"participating most advanced technology development
","no life and managers will squeeze you
Advice to Management
work life balance is very important
Be the first to find this review helpful
Helpful
Share
Repor","work life balance is very important
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Disagree,Agree,Agree
2021-09-20, Principal Engineer,Taipei,Current Employee,TSMC PRINCIPAL JOB,"The best company in Taiwan, good salary and bonus
","In the working time, very busy and cannot carry mobile phone .
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-19, Software Engineer,Hsinchu,"Current Employee, more than 1 year",very good,"good salary, employee always be happy when bonus comes.
","Must with high pressure when working.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-18, Principal Engineer,Hsinchu,"Current Employee, more than 1 year",The working hour in the company is definitely too high but does not have a pay close to FAANG,"A leading company in the semiconductor industry
Rent and food are cheap in Taiwan
","Long working hour per day (above 13 hrs per day is typical, they don't even count lunch and dining time as working hour)
Low base salary.
Military-style management
Weird internal training policy
Advice to Management
No way to improve. The company now is now rapidly expanding (going to have new fab in Germany, Arizona and Japan). If they still use the same Taiwanese management style, no workers in those locations would accept it. It will eventually lead to some problems for recruiting.
Be the first to find this review helpful
Helpful
Share
Repor","No way to improve. The company now is now rapidly expanding (going to have new fab in Germany, Arizona and Japan). If they still use the same Taiwanese management style, no workers in those locations would accept it. It will eventually lead to some problems for recruiting.
Be the first to find this review helpful
Helpful
Share
Repor",2.0,Disagree,Disagree,Agree
2021-09-18,Anonymous,,"Former Employee, less than 1 year",Company,"The salary is quite competitive compared to other semiconductor companies.
","Really tired and generally needs to work overtime.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-14, EE Engineer,Hsinchu,Former Employee,Nice job,"Lots of money, Good welfare
","Huge pressure, work extra hours
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Neutral
2021-09-12, Senior Software Engineer,,"Former Employee, more than 3 years",TSMC is the coolest company in the world,"what is coolest than robots building robots parts that fast
","climate changing, water, rare earth element....

complicate subjects !
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-12, Process Engineer,Hsinchu,Current Employee,place to learn,"a place to learn the most cutting edge technology
","the semiconductor industry is competitive, but TSMC have the lowest work-life balance among all the companies
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,N/A,N/A,N/A
2021-09-11, Account Planner,Hsinchu,"Current Employee, more than 8 years",work at tsmc,"good salary and many challenges at work
","high pressure working environment at tsmc
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-10, Department Manager,Hsinchu,Current Employee,dept manager,"It is good salary in Taiwan
","Work is very hard to complete
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-10, Software Engineer(Internship),Taipei,"Former Employee, less than 1 year",Great workplace,"Because of the highest salaries in this industry.
","It had to work overtime frequently,and always have really high pressure in the workplace.
Advice to Management
More vacation and reduce the frequency of work overtime.
Be the first to find this review helpful
Helpful
Share
Repor","More vacation and reduce the frequency of work overtime.
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-09, Engineer,Taipei,Current Employee,No complaints,"Overall great place to work
","Nothing bad to say about it
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-08, Senior Engineer,,"Former Employee, more than 5 years",5 yr design engineer,"Nice salary in recent years
","Smartphone is not available during working
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-07, Chemical Engineer,Taichung,Current Employee,Great,"Reasonable pay. Nice environment. Can learn New technology.
","Nice pay & nice company with high working hours 
High pressure
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-07, Project Manager,Taipei,Current Employee,Project manager,"Heavy workload heavy work load
","Easy work easy work easy work
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-07, Facilities Engineer,Tainan,Former Employee,"Work hard , Life less","The company grows steadily
Fixed salary increase
","Long work time
Much useless meeting
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Agree,Disagree
2021-09-06, Senior Engineer,Hsinchu,Current Employee,TSMC,"Wide-ranging，No.1 in the world for chip manufacturing
","All need to follow rule
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,Agree,Agree
2021-09-05, Equipment Engineer,Taichung,"Former Employee, more than 3 years",Two and half year review,"1. Word leading company
2. Salary
3. Learn communication skill
","Depend on job titile, some may have a long working hour
Advice to Management
Create a more systematic way to pass down experience. It will be more efficient for a new employer to learn.
Be the first to find this review helpful
Helpful
Share
Repor","Create a more systematic way to pass down experience. It will be more efficient for a new employer to learn.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-02, Senior Software Engineer,Taipei,Current Employee,not good work life balance,"salary is over the average of area
","over-time work made employee sick
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Disagree,Agree,Agree
2021-09-02, Test Engineer,Hsinchu,Current Employee,.,"TSMC is a good company for a freshman.
","The work time is too long.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-08-31, Associate Director,Hsinchu,"Former Employee, more than 5 years",Impactful work,"The company dominates leading edge semiconductor manufacturing technology. It fulfills your pride to work on the most advanced technology and with enthusiastic partners from the entire ecosystem.
","The management style is draconian.
Advice to Management
The leadership should discuss more with their (young) employees about their likely career paths to personal ambition and fulfillment.
Be the first to find this review helpful
Helpful
Share
Repor","The leadership should discuss more with their (young) employees about their likely career paths to personal ambition and fulfillment.
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Disagree,Agree,Agree
2021-08-28, Engineer,,Current Employee,high pressure but with fast learning curve,"fast learning curve if you fit that environment
","high pressure, long working hours
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,Agree,N/A
2021-08-28, Director,Hsinchu,"Current Employee, more than 10 years",Review,"Aggressive company with conscientious management
","Less visibility to the big picture due to the scale of company
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-08-28, Senior Process Engineer,Hsinchu,Current Employee,you get what you did,"high salary compared with other tech company in Taiwan
","high working hours with intense pressure
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Agree
2021-08-28, Manager,Hsinchu,Former Employee,You do not want to join,"The pay is stable and secure.
","The work environment is hustle and promotion is based on how you treat your supervisor.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Agree
