date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2020-12-27, Senior Manager,Brisbane,Former Employee,Experience Hire,"Great Clients, Great Projects, Awesome Training
","Brutal Hours, Saturday and Sunday work
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Agree,Agree
2020-12-22, Technical Consultant,Sydney,Former Employee,Good place to start,,"ltant in Sydney
Recommend
CEO Approval
Business Outlook
Pros
Big name, if you're good - never really on the bench
Cons
You're just a little number in a big pool
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-12-21, Applications Development Senior Analyst,Melbourne,"Former Employee, more than 1 year",Great for finding what you really want to be in the future,"* Lots of training opportunities, free exam voucher * Greate benefits such as parental leave
","* Hard to promote to a consultant * Sales is more important to software development
",,4.0,N/A,Agree,N/A
2020-12-19, Advanced App Engineering Analyst,Sydney,"Former Employee, less than 1 year",Great team,"Great team, great manager, good work
","Big company, so get lost in the crowd sometimes
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-18, Manager,Melbourne,"Former Employee, more than 5 years",Innovative company,"If you have skills, experience then the sky is limit in this company
","at time extra hours to meet the project timelines
",,4.0,Agree,Agree,Agree
2020-12-17, Manager,Brisbane,Former Employee,Overall good,"Good policies, great place to learn new stuff
","Too much politics for promotions and pay rise. Didnt get pay rise for three years in row after performing well
",,3.0,Disagree,Neutral,Neutral
2020-12-16, Salesforce Consultant,Melbourne,"Current Employee, more than 3 years",You get what you are looking for from the experience,,"ltant in Melbourne
Recommend
CEO Approval
Business Outlook
Pros
Challenging big projects that help you grow in your expereince
Cons
Its hard to get promoted and climb the ladder and if you dont negotiate the right salary its hard to get an increase
",,3.0,Agree,Neutral,Neutral
2020-12-14, Analytics Consultant,Melbourne,"Current Employee, more than 3 years",Good place to learn,,"ltant in Melbourne
Recommend
CEO Approval
Business Outlook
Pros
Good training opportunity Challenging projects Nice colleagues
Cons
Pay is low Poor worklife balance Promotion is hard
",,3.0,N/A,N/A,N/A
2020-12-08, Technology Consultant,Melbourne,Former Employee,Good,,"ltant in Melbourne
Recommend
CEO Approval
Business Outlook
Pros
good company to work for
Cons
big and can different areas can operate quite differently
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-08, Consultant,Melbourne,"Current Employee, more than 5 years",Great place to work,,"ltant in Melbourne
Recommend
CEO Approval
Business Outlook
Pros
Clients across different industries and technology domains
Cons
Long hours in certain phases of project
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-06, Programmer Analyst,Sydney,"Former Employee, more than 1 year","Great experience, but hours not worth the remuneration","Big clients and exciting projects, depending on the team you could find lots of technical support when needed.
","Hours were long - often across many timezones in one day. Lots of unnecessary travel just to show face at the client office. Always dedicated to multiple projects at once but as a junior you never got to decide on the timelines.
",,3.0,Disagree,Neutral,Neutral
2020-12-06, Senior Data Scientist,Sydney,"Former Employee, more than 3 years",Leadership performance,"Good market opportunities globally and in Australia
","Leadership in Australia doesn't seem to be as good as the firm and employees. There is high level of politics in promotions, hires and redundancies. Leadership performs so poor in creating new markets and retaining right talent. Many good people have left due to non-sense redundancies recently which was result of baseless, political decision making. In cases even the very basic morals are breached. Client trust has been broken under current leadership in Digital and Tech.
",,2.0,N/A,N/A,N/A
2020-12-01, Manager,Melbourne,"Former Employee, more than 1 year",Great Company,"1. There are plenty of high-profile projects to grow your expertise 2. Company has a global network of talents 3.. Management strategy is transparent and forward looking.
","The first year can be tough to learn the ropes
",,4.0,Agree,N/A,Agree
2020-12-01, SAP Consultant,Melbourne,"Former Employee, more than 5 years",SAP Consultant,,"ltant
1 Dec 2020 - SAP Consultant in Melbourne
Recommend
CEO Approval
Business Outlook
Pros
Work-life balance is ok. Reading material and training is great if you are able to get one.
Cons
if on bench and you are SAP consultant, you might even be asked to work as PMO, Tester, On Call support in non SAP solutions. So not a good place to progress your career. Salary is par below the industry standards
",,3.0,Disagree,Agree,Neutral
2020-12-01, Consultant,Sydney,"Current Employee, more than 10 years",Good place to grow,,"ltant in Sydney
Recommend
CEO Approval
Business Outlook
Pros
Good company to work for
Cons
Nothing i came across till date.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
