date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2020-12-30, Operations Analyst,Singapore,"Former Employee, more than 8 years",Good company,"Good increment and good bonuses.
","Location very far and no meal allowances.
",,4.0,Agree,N/A,Agree
2020-12-27, Sales Executive,,Former Employee,Nice Company,"Medical Benefits, Contractual bonus, Yearly festive voucher
","Conservative with slow response to change
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-12-25, Software Engineer,,Former Employee,Great Company to Learn,"Training is Best. Good for learning and assignment opportunity
","Tedious hours, Management doesn't seem to care much of the employees
",,3.0,N/A,N/A,N/A
2020-12-23, Area Business Manager,Mumbai,"Current Employee, more than 5 years",Process and people oriented company. Great culture to work and competitive environment,"Helpful colleagues, Strong policies developed for every process and great work environment. Average life cycle of sales employees is minimum 5 years
","Slow heirarcial growth and account based performance standards
",,5.0,Agree,Agree,Neutral
2020-12-21, Model,Bangalore,Current Employee,Modelling for canon,"Free beverage, travel Salary per shoot-20000- 40000 rs
","Long shoot hours Can last upto 12-14 hours a day
",,4.0,N/A,N/A,N/A
2020-12-21, Engineer,Tokyo,Current Employee,Depends on what you want,"We are not asked to work so long.
","It is sometimes difficult to focus on one thing due to the lack of time.
",,3.0,N/A,N/A,N/A
2020-12-13, Assistant Staff,"Tanauan, Province of Batangas, Province of Batangas",Former Employee,Salary,"Salary is higher than any other Japanese companies.
","Sometimes you have to work twice as hard for your job for the same salary.
",,5.0,Agree,Agree,Agree
2020-12-10, Localization Specialist,Tokyo,"Former Employee, more than 1 year",A good company if you're Japanese,"They treat employees well, lots of benefits, great work life balance.
","If you are not Japanese, there are barriers to advancement.
",,4.0,Agree,Neutral,Neutral
2020-12-09, Business Manager,Sydney,Current Employee,Awesome,"Great employer to work for
","Lots of ongoing org change
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-09, Purchasing Specialist,,Former Employee,Good for the beginners to gain an experience,"Management is good and also the co-worker
","Too much overtime for the employee
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,N/A,N/A
2020-12-05, Key Account Manager,Dubai,Current Employee,N/A,"Good organization if you are looking to improve your sales/business management skills
","Basic salaries for sales people are well below market standards
",,3.0,Agree,Neutral,Neutral
2020-12-02, Marketing Manager,"London, England, England",Former Employee,Good company,"Good place for working and development
","No particular cons or minuses
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-11-21, Assistant Manager,"Gurgaon, Haryana, Haryana","Current Employee, more than 3 years","Learn, Work & Earn","1. Very supportive teams 2. Good Perks 3. Focus is learning 4. Leadership team is always available to talk
","1. Work-life balance can be better
",,5.0,Agree,Agree,Agree
2020-11-18, Pre,Tokyo,Current Employee,The market is shrinking,"Have many competitive product such as camera, printer, etc...
","Main product market is shrinking rapidly than you think.
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,N/A,Neutral
2020-11-17,Anonymous,Singapore,"Current Employee, more than 5 years",Good place for learning,"Opportunity to expose to different job scopes
","Rigid and slow in progression
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,Neutral
2020-11-13, BDM,,"Current Employee, more than 3 years",Good,"Policy driven company and employee friendly
","Mostly old people in the system and less little space for energetic person to grow.
",,4.0,Agree,N/A,Neutral
2020-11-10, Evening Services Representative,"Charlotte, NC","Former Employee, more than 1 year",Great place to work,"Work not difficult at all. People have worked there a for years very friendly. Good Environment loved management. They really care.
","The pay is too low but understandable for the work that's required and no parking at my location.
",,4.0,Agree,Neutral,Neutral
2020-11-07, Project Manager,Dubai,"Former Employee, more than 3 years",Careful with Politics at work,"they follow policies and benefits of Canon, canon culture is really good
","no clear career path-not much of career advancement at work-everything is done with politics that affects work greatly.
",,2.0,Disagree,N/A,Disagree
2020-11-07, Account Manager,Singapore,Current Employee,Good Company,"Close knit atmosphere within the departments
","Long internal processes at times
",,3.0,Agree,Neutral,Agree
2020-11-02, Worker,"London, England, England",Former Employee,not good,"food place in work with friends
","distance from train station everyday
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-11-01, Logistics,Amsterdam,Current Employee,Vacature zoken,"I’m Hard working and looking for challenges.
","I can speak little bit of Dutch
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-10-29, Senior Payroll Specialist,Macquarie,Current Employee,good company,"Nice office, friendly staff, nice culture
","sorry, I do not have comment
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-10-27, Senior Software Developer,Tokyo,"Current Employee, more than 10 years",no room for growth,"pays okay. good teamwork. good management.
","I give no good for executive.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Disagree,Neutral
2020-10-27, Administrative Assistant,"New York, NY","Former Employee, more than 8 years",Sales admin assistant,"Great benefits, solid work environment
","Not too many, mostly good
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Neutral,Disagree
2020-10-23, Mailroom Clerk,"Irving, TX",Current Employee,Great job nice comfortable job,"Nice environment comfortable great culture
","Not enough pay for all of the work required
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,N/A,N/A,N/A
2020-10-22, Biomedical Engineer,,"Current Employee, more than 1 year",Biomedical Engineer,"The people are friendly .
","No thing can be said
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-10-20, Sales &Amp; Marketing,,"Former Employee, more than 3 years",Good learning company but not for career advancement,"Good employment benefit & great opportunity to learn
","Salary is not competitive enough in market.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,Agree
2020-10-20, Account Manager,Durban,"Former Employee, more than 1 year",Not fantestic,"nothing to look forward to
","trashy management to begin with
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,N/A,N/A,N/A
2020-10-20, Business Development,Singapore,"Current Employee, more than 3 years",Good,"Good culture and friendly people.
","Low pay and very rigid with ideas
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Agree
2020-10-17, Production Representative,,Former Employee,Tech Support,"Flexible work hours career advancement
","Long days, short breaks, and limit talk time on the phone.
1 person found this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-10-15, Account Manager,"Norwalk, CA","Former Employee, more than 1 year",Good platform to learn Sales,"Excellent leadership and communication skills
","Low salary and compensation and Fairly low development opportunities
",,4.0,Agree,Neutral,Disagree
2020-10-15, ASIC Design Verification Engineer,"Manila, Manila, Manila","Former Employee, more than 8 years",Employer Experience,"Good Technical and Management Experience, Talented Engineers
","Promotion may not be that good for young Engineers
",,4.0,Agree,Agree,Neutral
2020-10-14, Account Director,"Edinburgh, Scotland, Scotland",Current Employee,.,"Brand, Culture, People, Opportunity, Location, Scale
","Process Driven Lack of Strategy Lack of local investment
",,5.0,Agree,N/A,Disagree
2020-10-13," Senior Manager, Sales Support","Mount Laurel, NJ","Former Employee, more than 8 years",Corporate Job,"Good salary, bonuses, and decent benefits.
","Culture can be a challenge to work within.
1 person found this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Neutral
2020-10-05,Anonymous,Amsterdam,Current Employee,Head of Research,"Lots of bla bla bla bla
","Sometimes have to work for an hour or so
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,N/A,N/A,N/A
2020-10-05, Senior Account Manager,Chennai,"Former Employee, more than 3 years",Good experience,"Great learning, fast paced environment
","Not much of cons to specify
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-10-02, Customer Service Representative,Singapore,"Former Employee, more than 1 year",Customer Service Representative,"Colleagues are alright. Pay is decent.
","Senior Management tends not to listen as much to the staff who work on the floor.
",,3.0,Disagree,Neutral,Neutral
2020-10-01, Tech,,Former Employee,na,"great nice excellent and good
","nothing not bad. nothing bad about this company
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-09-28, Business Development Manager,Dubai,Former Employee,Good Company!!!!,"Brand Image Great Product line-up Great Fundamentals Market exposure
","Lots & lots of presentations Lack of support from superiors (depends on your LM)
",,4.0,Agree,N/A,Agree
2020-09-28, Administrative Assistant,"London, England, England",Current Employee,Genial Environment,"Affable workforce with some highly skilled and economically aware Directors
","Staff Skill sets and economic awareness is diluted by the archaic software and processes utilised. The poor systems in operation do not reflect the high calibre of the Directors of Business Units.
",,3.0,Agree,N/A,Neutral
2020-09-22, Senior Solution Sales,Taipei,"Former Employee, more than 1 year",Friendly work environment,"The best thing in Canon is that colleagues are accommodating and supervisors are encouraging.
","Due to the nature of sales representative job itself, sometimes it is easy to get overwhelmed by the pressure from supervisors and clients.
",,4.0,Agree,N/A,Agree
2020-09-18, Product Engineer,"Santo Tomas, Province of Batangas, Province of Batangas","Former Employee, less than 1 year",Accepts Fresh Grads,"- accepts fresh grads - cost of living in the area is cheap - learn from the pioneers in the department and Japanese expats
","- attendance/tardiness has big impact on regularization (due to Japanese culture) - provincial rate
",,4.0,N/A,N/A,Neutral
2020-09-14, Recycle Team Member,,Former Employee,Team member,"great working environment to work in
","I feel like there were no cons
2 people found this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-09-13, Quality Control Staff Member,,Former Employee,Company policies are good and they give good salary and bonus every year,"People are very friendly, nice, and respectful
","there is less rest time
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-09-12, Senior Software Engineer,"Quezon City, National Capital Region, National Capital Region",Current Employee,Rewarding but stressful experience,"Good dynamic environment. Challenging projects. Excellent employee camaraderie. Opportunity to work abroad
","Due to extremely high information security, the environment can be very constricting. Poor management. Salary progression program is really bad
",,4.0,Agree,Neutral,Neutral
2020-09-11, Key Account Manager,,"Former Employee, less than 1 year",Working environment,"friendly envinroment good learning ground
","some of the process are still need to process manually
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-09-08, Data Entry,"Irving, TX","Former Employee, more than 3 years",Kristy’s resume,"Amazing people they went overboard to give you the best salary and benefits
","Maybe could have had a more reasonable boss
",,5.0,Agree,Agree,Agree
2020-09-07, Senior Quality Engineer,,Former Employee,Too strict,"Good benefits Really professional workmates
","Too strict There is so many company rules to follow
",,2.0,N/A,N/A,N/A
2020-09-03, Medical Service Engineer,North Sydney,"Former Employee, more than 10 years",work for G.E,"good engineers to work with
","no service manager, tools are calibrated & no electric safety test and tag is done
",,2.0,Disagree,N/A,Disagree
2020-08-29, Maintenance Manager,Riyadh,"Former Employee, more than 10 years",Great added value,"El Ajou Group was small family business environment
","Salaries are not equivalent to market multinational companies
",,3.0,Disagree,N/A,Neutral
2020-08-29,Anonymous,,Former Employee,pay and career progression,"Forgiving towards mistakes. team spirit to resolve any issues.
","Pay and career progression is poor. Taking of MC is frowned upon. Too much focus on punctuality rather than performance.
",,3.0,N/A,N/A,N/A
2020-08-27, Senior Territory Manager,"Gurgaon, Haryana, Haryana","Former Employee, more than 1 year",Good Company to work,"Reward and recognition policy is Very Good.
","Diminishing potential of printers and MFDs
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-08-27, Senior Engineer,Tokyo,"Former Employee, more than 10 years",Very good internal control,"Very good internal control to control every move of employees.
","Making money is second priority.
",,3.0,Disagree,Neutral,Neutral
2020-08-25, Technology Officer,North Ryde,Current Employee,A daily struggle,"Was a stable company. Had many great staff. Some of the managers were very good.
","Was once a great company that is floundering supporting a dying industry. 2019-2020 have been especially tough years and the virus was the final nail in the coffin. We have lost many good staff this year. What is disappointing is we should be pulling together to support the remaining staff but instead those of us left have to deal with increasingly difficult workloads and poor backend systems within the company and then face the wrath of customers.
",,2.0,Disagree,N/A,Disagree
2020-08-25,Anonymous,,Current Employee,intern,"good culture within the company
","can be quite overwhelming at times
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-08-25,Anonymous,"München, Bavaria, Bavaria",Former Employee,Working Student Canon,"It was a good exeprience to work there
","Not too many young people
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-08-19,Anonymous,,Current Employee,Amazing place to work,"Great people, great culture. Everyone is very helpful
","Nothing so far as the company is considerate towards employees
",,5.0,Agree,N/A,Agree
2020-08-18, Sales,,Former Employee,Good,"Company culture supportive, good team
","Nothing to be mentioned as cons
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-08-15, Unemployed,Melbourne,Former Employee,Great Company,"Great company to work for, good work/home life balance.
","Nothing currently comes to mind
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-08-13, Senior HRBP,,Current Employee,Not bad,"It’s a great place to work I really enjoyed it
","I have nothing to say I actually loved it
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-08-12, Business Analyst,Amstelveen,Current Employee,good,"all good no negative points
","none practically one of the best companies
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-08-11, Project Manager,"London, England, England",Current Employee,Great company,"Innovative, financially strong, multi cultural,
","Office location, salary not as competitive
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-08-10, Project Manager,Melbourne,Former Employee,Great exposure,"Gained valuable experience working with customers from a wide array of industries
","prone to frequent organisational changes
",,4.0,Agree,Neutral,Neutral
2020-07-28, Senior IT Engineer,"Jurong West New Town,",Current Employee,nice environment,"good working buddies and colleagues
","need to be punctual at all times
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2020-07-23, Sales Compensation Manager,"Melville, NY","Current Employee, less than 1 year",Beware Bad Company,"Parking, good oxygen in the area, plenty of sunshine in the area
","Nothing good stay away. Horrible Management skills.
",,1.0,Disagree,Disagree,Disagree
2020-07-14, Human Resources Coordinator III,,Former Employee,.,"World known names due to its products
","The compensation are horrible and too many bias politics
",,1.0,Disagree,Disagree,Disagree
2020-07-07, Specialist Engineer,Mumbai,Former Employee,Good,"Good working environment and a lot to learn.
","Nothing that I faced honestly
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-06-30, Project Manager,"Beijing, Beijing, Beijing",Current Employee,"Good, stable","Work-life balance is good, industry is going through transformation which creates opportunities (B2B diversification), nice company culture
","Slow-moving and not very dynamic, which might form an obstacle for people who look to develop fast in their careers (no career planning assistance or HRBP)
",,4.0,Agree,N/A,Agree
2020-06-25, Sales Representative,Singapore,"Former Employee, more than 1 year",So so,"Friendly people to work with
","Stuck up bosses Thinking they are the best
1 person found this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-06-24,Anonymous,Singapore,"Former Employee, more than 1 year",Traditional and very Japanese,"People are pleasant and courteous. Respect for each other.
","Very siloed Promotion is based on tenure not skill set Very traditional of management Not great payer
",,3.0,Disagree,N/A,Disagree
2020-06-24, Marketing Communications Manager,Warsaw,"Former Employee, more than 8 years",Company that sells technologies of the future,"International team, high level of communication across departments, great technology advanced products that helps customers create innovative business.
","To many transformation projects led by leaders who don't understand customers and social transformation that happen now. Lack of resources and IT tools to implement innovations
",,4.0,Agree,N/A,Disagree
2020-06-23, IT Analyst,Sydney,Current Employee,Global leader,"People, salary, working conditions, inclusion and diversity
","Changing markets in uncertain times
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-06-12, Prt,,"Current Employee, more than 10 years",Eh,"mediocre health insurance Retirement benefits are decent enough
","Unprofessional and Disrespectful senior management. You're lucky if they like you. Favoritism. Unorganized.
",,1.0,Disagree,N/A,Disagree
2020-06-08,Anonymous,Tokyo,"Former Employee, more than 8 years",Great workplace,"Work life balance, steady employment, great people to work with.
","Limited salary base-up, poor work-from-home environment
",,5.0,Agree,N/A,Neutral
2020-06-02, Product Manager,,"Former Employee, more than 5 years",na,"good bonus only and can earn OT
","crazy OT non stop and non sense unfriendly staff
",,5.0,Disagree,N/A,Disagree
2020-05-25, Key Account Manager,"Stockholm, Stockholm, Stockholm","Current Employee, more than 3 years",Key Account Manage Canon,"Great philosophy and a great company
","Large organization, needs to speed up processes
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-05-13, Engineer,Sydney,Current Employee,Good,"Team members are friendly. No work pressure
","Bad management. Does not look after staff
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,N/A,Neutral
2020-04-27,Anonymous,,Former Employee,Systems Engineer,"Great company to work for
","It can be hard to move up quickly inside of some teams
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-04-22,Anonymous,,"Current Employee, more than 5 years",Great Benefits,"Working Conditions, Employee Support, Rewards Package, Career Advancement
","Decision Making sometimes can be overlay bureaucratic.
",,5.0,Agree,Agree,Agree
2020-04-12, Sales Representative,Gaborone,"Former Employee, more than 1 year",N/A,"Great supervisor, kind, open,professional
","Pressure, hate speech, time, favoritisim
",,3.0,N/A,N/A,N/A
