date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2020-12-29, Manager CX AMER High Touch Delivery,,"Former Employee, more than 3 years",Benefits are awesome!,"Benefits, diversity, people, culture and challenge
","Career growth for individuals that initially grow up in Cisco world. Also, stress of layoffs can be overwhelming for those not used to it.
",,4.0,Agree,Agree,Neutral
2020-12-29,Anonymous,"San Jose, CA",Current Employee,culture the best,"Caring and thoughtful leadership devoted to the well being of the staff.
","Hierarchy is deep and the managers are competent. That's a con if you are looking for an easy path up the ladder.
",,5.0,Agree,Agree,Agree
2020-12-29, Senior Software Architect,"Dallas, TX",Current Employee,Stable company but growth opportunities are limited,"Nice work culture and stable environment
","Growth opportunities are limited. Only few groups get the opportunity to work on latest technologies
",,4.0,N/A,N/A,N/A
2020-12-29, Technical Marketing Engineer,,Current Employee,"Despite the usual big company groans, Cisco is a fantastic place to work","I've really enjoyed my time at Cisco. While it is a very large company, with all the associated problems that can bring, if you find yourself in a great team surrounded by fantastic people (like I did), you will have an awesome time at Cisco.
","There is a huge amount of organisational issues that can make it hard to make an impact, but if you have the gumption and are willing to fight the machine, you can get a lot done!
",,5.0,N/A,N/A,N/A
2020-12-29, Technical Consulting Engineer,,Current Employee,Great,,"lting Engineer 
Recommend
CEO Approval
Business Outlook
Pros
This is a great place to work here.
Cons
None at the moment that I have seen
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-29, Talent Acquisition,,"Current Employee, more than 10 years",Cisco is Home!,"Top company, great pay, tremendous vision
","No cons come to mind
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2020-12-29, Territory Sales Manager,,"Current Employee, more than 1 year",Great,"great company to work for
","big company bureaucracy can sometimes be. hurdle
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-29, Technical Solutions Architect,"Seattle, WA","Former Employee, more than 8 years","Market leader, but...","Great people, professional environment, lots of opportunity
","General lack of focus and market understanding at executive level leading to inefficiencies and poor execution at frontline.
",,4.0,Disagree,Neutral,Neutral
2020-12-29, Information Technology Specialist,"Washington, DC",Current Employee,Reliable and dependable.,"High tech working environment throughout
","Bureaucracy can be limiting for new employees
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-28, C++ Developer,"Columbus, OH",Current Employee,Hi,"opportunities, compensations and benefits, management
","salary, culture, ceo, team lead
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-28, Engineer,,Current Employee,Good place to work but too many layoffs,"Good pay, low pressure, not a ton of micromanagement
","recurring layoffs get old, always worried
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2020-12-28, Systems Engineer,Minsk,Current Employee,Great environment with many variables,"Great culture, work from home, flexible schedule, talented teammates
","Too much depends on your direct manager and the grade
",,4.0,Agree,Agree,Agree
2020-12-28, Software Engineer,,Current Employee,Work,"Great work life balance, good infrastructure
","Less increment, in transition phase from hardware to software
",,5.0,N/A,N/A,N/A
2020-12-27, Network Consulting Engineer,Bangalore,"Current Employee, more than 10 years",Cisco Bangalore Review,,"lting Engineer in Bangalore
Recommend
CEO Approval
Business Outlook
Pros
work life balance is excellent
Cons
super slow growth environment for folks who've been in the system for 8+ years.
",,3.0,Disagree,Neutral,Neutral
2020-12-27, Cisco Sales,Moscow,Current Employee,Collaboration is on fire!,"Great place to work across the World!
","There is always some place for improvement.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-26, Digital Marketing,"Nashville, TN",Current Employee,Headline,"Holiday shutdown is nice to have
","Layoffs tend to happen yearly
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-26, Technical Lead,,"Current Employee, more than 10 years",Working at Cisco,"you can learn and get experience in Cutting edge Network Engineer skills
","Job cuts very frequent compared to industry
",,3.0,N/A,N/A,N/A
2020-12-26, Data Scientist,"New York, NY",Current Employee,Amazing Company,"Great benefits and pay. Time off is generous.
","Since it's a big company, you get a little lost in the shuffle.
",,5.0,Agree,Agree,Agree
2020-12-25, Security Consultant,Bangalore,"Current Employee, more than 5 years",Best Place to Work,,"ltant in Bangalore
Recommend
CEO Approval
Business Outlook
Pros
Foster Employee Vision. Brings best in employee
Cons
Its best place to work hence no Cons
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-25, Systems Engineer,"Austin, TX",Current Employee,ok place,"big company leader in industry
","too big to innovate and change
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-12-25, Software Engineer,Chennai,"Former Employee, more than 3 years",Company review,"Great work life balance Freedom to experience
","Always mystery on the road map
",,3.0,Agree,N/A,N/A
2020-12-25, Component Engineer,Bangalore,Current Employee,Good place to work,"good work culture for employees
","no great flaw as such
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-25, Software Engineer,Coimbatore,Current Employee,Work experience,"Great work experience and work-life balance.
","May face some difficulties in the beginning.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-25, Pre,Istanbul,"Former Employee, more than 8 years",Good place to make money,"pays in Euro in Turkey
","without work and life balance
",,3.0,Agree,Agree,Agree
2020-12-25, Software Engineer,,Current Employee,Wer,"Good company to work for
","I can’t think of anything
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-24," Manager, Customer Success",Bangalore,"Current Employee, more than 10 years",Good org,"No, issue, I like the org
","None, good to work with
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-24, Senior User Experience Designer,"San Jose, CA","Current Employee, more than 5 years",One of the best big tech companies,"Great work life balance, above average compensation, management is doing their best to have a good work culture in place.
","Frequent management changes leads to changes in strategy/direction
",,5.0,Agree,N/A,Agree
2020-12-24, Account Manager,Milan,"Current Employee, more than 3 years",Great place to work,"Lots of innovation, right tools & support for sales
","Pressure in some periods of the year
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
