date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-09-29, Design Leader,Taipei,"Current Employee, more than 5 years",Not too bad,"1. Friendly colleague & manager 
2. Stable salary growth
","1. The average work hours surpass those in the competitor
2. Heavy workloads
Advice to Management
Work-life balance.
Be the first to find this review helpful
Helpful
Share
Repor","Work-life balance.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Neutral,Neutral
2021-09-23, Procurement Specialist,Taipei,"Former Employee, more than 3 years",Procurement Specialist,"That is a big company.
","You can't learn a lot of knowledge in there.
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Neutral,Neutral
2021-09-23, Project Engineer,Taipei,"Current Employee, less than 1 year",Good for fresh graduates,"Learn how to survive in the fast paced environment
","Sometime you will have to work till late night.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Neutral,Agree
2021-09-08, Software Engineer,Taipei,"Current Employee, more than 3 years",Engineer,"Free working hours, independent work arrangement
","Slow promotion and average salary
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,Agree,N/A
2021-09-03, Interaction Designer,Taipei,"Former Employee, more than 1 year",working culture,"for the innovation department I was on, our team had a great synergy on developing from ideas to working prototypes; feel like a startup environment.
","when it comes to computex or some other major computer events, working extra time is a MUST.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-02, Deputy Manager,Taipei,"Former Employee, more than 8 years",Good salary & package in Taipei,"Above average industry standard - high level
","Heavy pressure from your workload
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-08-16, Senior Mechanical Development Engineer,Taipei,"Current Employee, more than 1 year",Somehow not bad,"Variable working hours
First-hand news on the latest model
Friendly working environment
","Terrible up-down communication
Bad production control
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Disagree
2021-08-11, Senior Software Engineer,Taipei,Current Employee,Senior software engineer,"Good good good good good
","Well done for this salary
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-08-08,Anonymous,,"Former Employee, more than 1 year",na,"convenient store near by the company
","low salary and too many old ppl talking instead of working
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Disagree,Disagree
2021-08-08, Manager,,"Current Employee, more than 1 year",Honest with all,"A lot of lessons and stable salary for career. You could find out the good way to learn from in or outside.
","Do not have competition salary for new era. Maybe you can’t get the enough money for high life quality.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Neutral
2021-07-30, Project Manager,"Shanghai, Shanghai, Shanghai",Former Employee,Try other companies if you had choice,"less overtime comparing to other ODM
slow pace of work
less meetings and reports, less pressure
","too low salary, totally no allowance at all
no management in long-term employment
no efficiency
office environment too bad
the canteen sucks
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
