date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2020-12-31,Anonymous,,Current Employee,Nice Organization,"Nice organization to work and to learn
","no cons as such, as this is the best org
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-31, Senior Analyst,Bratislava,"Current Employee, less than 1 year","So far, the best company I've worked for!","- competitive salary - smooth and fast hiring process - great management - amazing worklife balance - employees are treated like people and not like numbers
","- no major cons spotted so far
",,5.0,Agree,Agree,Neutral
2020-12-30, Principal Software Engineer,Bangalore,Former Employee,Supportive,"Good perks,nice colleagues , growth, good work
","Heavy work,internal politics ,stress , micro management
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Neutral
2020-12-30,Anonymous,,Former Employee,Yes good very goodd,"Goo dwork better work nice work
","Nope nothing absolutely nothing ata ll
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-30,Anonymous,,"Current Employee, more than 8 years",Family Support Benfit,"Really solid business driven company
","Less flexibility on the execution
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-30," Consultant, Project/Program Management","Hopkinton, MA",Current Employee,Great for new grads,,"ltant, Project/Program Management in Hopkinton, MA
Recommend
CEO Approval
Business Outlook
Pros
Work/life balance; benefits; training; employee resource groups; global
Cons
Compensation; very political; slow moving; hierarchical; not very innovative
",,3.0,Disagree,Agree,Neutral
2020-12-30, Software Engineer,Bangalore,Current Employee,Employee friendly Company,"Good Employer and Employee friendly company.
","No Bad comments for Dell Technologies.
",,4.0,N/A,N/A,N/A
2020-12-30, Global Sales Enablement Program Manager,"Phila, PA","Former Employee, more than 3 years",Good company and benefits,"High Ethics, proactive diversity, employee and family-friendly
","Bureaucratic at times making quick decisions difficult
",,4.0,Agree,Agree,Agree
2020-12-30, Team Leader,Pune,"Current Employee, more than 10 years",Satisfactory,"Work culture, training, development, exposure
","Facility, administration, human resource, finance team,
",,3.0,Disagree,Neutral,Neutral
2020-12-30, Senior Technical Support Engineer,"Gurgaon, Haryana, Haryana","Current Employee, more than 1 year",Amazing place to work,"Awesome workplace, managers are supportive, yes there is pressure but it's ok to achieve. You will get a good bonus as well as, an appraisal. Transport and food are good. Infrastructure is good. Facilities are awesome and even the policies too.
","Work Pressure is there. Dell is all about change, they will keep changing something or the others. Yes, Managers are important in Dell who will decide further career here. At the time of IJP, there is politics which you won't get to know much.
",,5.0,Agree,Agree,Agree
2020-12-30, Account Executive,Seoul,Former Employee,Nice,"The Company is Pretty Good
","The Company is So good
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-30, Engineering Program Manager,,"Current Employee, more than 5 years",Great place to work for,"Globar environment, great roadmap, strong leadership
","lower salaries and fewer benefits
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,N/A
2020-12-30, Engineer,Taipei,Former Employee,Working pattern and Culture,"Flexible working hours and pattern
","The big organization would affect the efficiency
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Agree,N/A
