date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-10-01, Associate Engineer,,"Current Employee, more than 1 year",Not a worthy place for young talents,"Salary credits on time 
Transport Facility
","No Growth at all
Long working hours
Working weekends
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Neutral,Neutral
2021-09-30, Customer Project Manager,Jakarta,Current Employee,Great Place for Work,"it a great company with culture, professional, and it's integrity
","none so far i know
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2021-09-30,Anonymous,,"Former Employee, more than 5 years",Its ok if you don't get mixed up with the bullshitters,"Its somewhat relaxed company to work for. Depends on the role but mostly chill.
","A good chunk of employees in Ericsson North America are total bullshitters and do nothing productive the entire day. All they do is go around licking other people's butt.
Advice to Management
Identify the bullshitters and find something better for them to do
Be the first to find this review helpful
Helpful
Share
Repor","Identify the bullshitters and find something better for them to do
Be the first to find this review helpful
Helpful
Share
Repor",4.0,N/A,Agree,N/A
2021-09-30,Anonymous,"Stockholm, Stockholm, Stockholm",Current Employee,Research,"There is a nice atmosphere
","The salary is not that good
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-30, RAN Engineer,,Current Employee,Great Place to Work,"Good work culture in this company
","Very Limited Scope for Learn more
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-30, Solution Architect,Doha,"Current Employee, more than 3 years",Solution Architect,"Flexibility: some days you'll be overloaded, some days you will do nothing
","Salaries are not in line with cost of living
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-30,Anonymous,,Former Employee,Excellent place to work,"good work culture. Cutting-edge work
","More perks and better compensation.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-30, Technical Project Manager,Sydney,Current Employee,A company for the long haul careers,"Clear career progression path and options within the company.
","Entry/mid level salary is not competitive.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-30,Anonymous,,"Current Employee, more than 1 year",Good,"It is excellent and good
","Not applicable as a of now
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-29, Lead People Partner,New Delhi,"Current Employee, more than 10 years",Culture Driven Organization,"High Participative Culture
Employee Centric
High on Ethics
","Relative slow in Decision Making
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-29,Anonymous,,Former Employee,Ericsson Managed Services,"Health insurance fully paid by company
","Business down sizing and lay people off
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
