date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2020-12-31, Software Engineer,,Former Employee,Nice,"Fast based company Cutting edge technology
","Management needs improvement Corporate life, your role is too small
",,5.0,Agree,Agree,Agree
2020-12-30, Product Manager,,Current Employee,Very Nice,"good the management has a very good experience
","nothing really say about the company
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-30, Senior Software Engineer,New Delhi,"Current Employee, more than 1 year",Nice company,"Good atmosphere, good company, nice salary, nice incentive, perks
","No as such it's a good company
",,5.0,Agree,Agree,Agree
2020-12-30, Research Intern,"Seattle, WA","Current Employee, less than 1 year",Great position,"Smart people and state of the art technical supports
","No Cons so far as an intern
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-30, Marketing,Hyderābād,"Former Employee, more than 3 years",Best Company to Work,"None to disclose as of now
","Sometimes works gets a little hectic.
",,5.0,Agree,Agree,Agree
2020-12-30, Associate Manager,,Current Employee,Great place to work,"Intelligent and thoughtful colleagues, many opportunities outside of tech-specific roles, great benefits, lots of employee resources (social, growth opportunities, etc.) and opportunities to move internally, exciting work
","knowledge sharing across teams isn't strong, expectations aren't always clearly defined, company-wide decisions of wide interest aren't always communicated clearly, diversity can be lacking depending on team/org
",,4.0,Agree,Neutral,N/A
2020-12-30, Senior Software Engineer,"London, England, England","Current Employee, more than 1 year",jsnd,"there is a lot of money
","you dont have any free time
",,1.0,Agree,Neutral,Agree
2020-12-30, Technical Recruiter,"Menlo Park, CA","Current Employee, more than 3 years",Great Please to work!!!!!,"Great team culture, challenging work, smart people to assist in personal growth.
","Not the highest salary band but work life balance evens it out.
",,5.0,Agree,Agree,Agree
2020-12-30, SWE Intern,"Menlo Park, CA","Former Employee, less than 1 year",SWE Intern,"good salary and well known company
","really heavy work load, bad wlb
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,Agree,Neutral
2020-12-29, Engineering Manager,"Menlo Park, CA","Current Employee, less than 1 year",Best engineering Company I've worked for so far,"Truly open, safe, and transparent company culture, fast pace and constant innovations, exciting challenges related to scalability for engineers to solve, bottom up engineering culture, highly competitive pay, clear career growth layouts.
","Constant negative media headlines (not quite fair to the company), customer support for regular users has room for improvement.
",,5.0,Agree,Agree,Agree
2020-12-29, Global Security Manager,"Menlo Park, CA","Current Employee, more than 1 year","A great place to work, most of the time","Compensation, feeling of global impact, lots of perks such as ISP reimbursement and food and rental cars and a wellness reimbursement
","Long hours with few rewards beyond a pat on the back, very limited career advancement opportunities, no realistic long-term remote work opportunities
",,3.0,Agree,Neutral,Neutral
2020-12-29,Anonymous,,"Current Employee, more than 5 years",Great career development,"Plenty of opportunities within the company. You can stay within the company and growth your career.
","You need to get used to the criticism from the industry, your friends and families as the company continues to go through PR crisis
",,4.0,Agree,Neutral,Agree
2020-12-29, Software Engineer,,Former Employee,"Great culture, rewarding work","- rewarding work - amazing technology - great culture
","- lots of reorgs - lots of changes - sometimes intense
",,5.0,N/A,N/A,N/A
2020-12-29, Software Engineer,"Menlo Park, CA","Current Employee, more than 1 year",Glad to be at work !,"Great work with a lot of responsobilities
","Hectic hours at work sometimes
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-28, Software Engineer,,"Current Employee, more than 1 year",Good,"Very good working environment. Good benefits.
","High peer pressure. Workload high.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Neutral
2020-12-28, Recruiting Coordinator,Tel Aviv-Yafo,Current Employee,great place for great people,"great place for great people
","not relevant currently, really sorry
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-27,Anonymous,,Current Employee,"Great, Resilient Company","Incredible transparency, employee benefits and forward thinking
","None. This is the best place I've worked
",,5.0,Agree,Agree,Agree
2020-12-27, Software Engineer,"Birmingham, AL","Current Employee, less than 1 year",A seriously good company to work for,"The compensate well, have hugely impactful projects to work on, have very good managers, and provide ample resources to help you stay mentally and emotionally happy.
","They expect you to take ownership over your career and what you need, but that’s being an adult.
",,5.0,Agree,Agree,Agree
2020-12-26, Senior Software Engineer,"Menlo Park, CA",Current Employee,Well balanced career growth,"- Great global impact - Fast career growth opportunity - Good work-life balanace - Great perqs & benefits
","Nothing major to compare given the pros
",,5.0,Agree,Agree,Agree
2020-12-26, Software Engineer,,Current Employee,Amazing,"great people and benefits. love working there
","cannot find any cons so far
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-26, Agency Partner,,Former Employee,One of the best places to work for.,"Lean structure making it an efficient organization.
","Poor hiring decision in market downgraded output quality
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-26, Security Engineer,"Seattle, WA",Former Employee,Excellent,"Working conditions and team was great
","Too much focus on impact
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-25, Product Manager,"Menlo Park, CA","Current Employee, more than 3 years",Great place to work and grow,"Friendly coworkers Still growing fast Established PM community Making big bets into Commerce
","Starting to get big More processes
",,5.0,Agree,Agree,Agree
2020-12-25, Sales Associate,,Former Employee,my experience in the company,"very enthusiastic, open, and stimulating environment
","stressful, too much pressure, very competitive
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-24, Manager,"Dublin, Dublin","Former Employee, more than 3 years",Great place to work,"Amazing benefits, the people are what make the company
","High stress, difficult to maintain a healthy work-life balance
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-24, Project Manager,,Former Employee,Great place to work!,"A lot of perks and great people.
","Can't think of any cons. Loved it there!
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-24, Associate Consultant,"New York, NY","Current Employee, less than 1 year",this is good and that is nice,,"ltant in New York, NY
Recommend
CEO Approval
Business Outlook
Pros
good salary and people are nice
Cons
very long work time and tired
",,5.0,Agree,N/A,Agree
2020-12-23, Software Engineer,"Menlo Park, CA","Current Employee, more than 3 years",best job ever,"i love working here so much
","too many perks so good
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-23, Data Science Manager,"Menlo Park, CA","Current Employee, more than 1 year","A great company, but not for all","Smart colleagues, best in class tools and infrastructure
","Hectic pace, can be lost if you don't find a focus area
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2020-12-23, Research Scientist,"Menlo Park, CA",Current Employee,Good company,"Good culture, good people, good salary
","work life balance needs improvements.
1 person found this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-23, Market Specialist,"Dublin, Dublin","Current Employee, more than 1 year","great company, fantastic people","challenging, global, every day is different
","slow promotion process, too complicated to make changes
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2020-12-22, Research Intern,"Redmond, WA","Former Employee, less than 1 year",Great collaborative environment,"- access to state of the art labs and research
","- sometimes the environment could be too competitive.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-22, Technical Recruiter,"Seattle, WA","Current Employee, more than 3 years","Great People, Great Mission and Great Benefits","-the people are some of the smartest and caring people I have worked with -the mission is something I highly value and respect -there is still a high level of transparency from leadership -there is empathy --most everyone cares about the work they do and they want to do it well -benefits are like no other and there is a good amount of support from every angle (PTO, Mental health, financial health, physical health, PTO etc)
","sometimes WLB can be hard, but it really depends on the person and how driven they are as well somewhat on the team and what the team is working on exactly.
",,5.0,Agree,Agree,Agree
2020-12-22,Anonymous,"Sunnyvale, CA","Current Employee, more than 1 year",Meaningful work,"-You can be your authentic self. I love the culture of diversity and inclusion -Meaningful work and you know you're making an impact to the global community -Great pay and benefits -Working with some of the smartest and most talented people in the world -Mission to connect the world
","(Pre-COVID) gaining a few pounds due to the delicious food at the cafeteria :)
",,5.0,Agree,Agree,Agree
2020-12-22, Program Manager,Singapore,"Current Employee, more than 5 years",Great place to work,"Strategic, matrixed, partnerships, diversity, flexibility
","Sometimes confusing, overlapping roles, redundancy of some roles
",,4.0,Agree,Agree,Agree
2020-12-21, Software Engineer IC5,"Seattle, WA","Former Employee, more than 3 years",Awesome work environment,"Great work environment. Awesome salary and benefits. Fair promotions system. Very smart, fun and respectful people. Lots of work to choose from.
","Information overload. Small influence to the overall direction or progress of the company.
",,5.0,Agree,Agree,Agree
2020-12-21,Anonymous,"San Mateo, CA",Current Employee,Excellent,"the best benefits. Great management
","Company is so big, can be hard to make decent relationships out of immediate team
",,5.0,N/A,N/A,N/A
2020-12-21, Sales Operations Analyst,"Santa Clara, CA",Current Employee,Great Company,"Things move fast lots of new projects
","Build only one skill there
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-21, IT Manager,"New York, NY",Former Employee,test,"nice place to be in
","survival for the fittest .. keep up..
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-20, Facilities Manager,"Menlo Park, CA","Former Employee, more than 1 year","Great perks, top talent.","Best-in-class employee benefits and perks.
","As flat-hierarchy, custom in-house-developed tools and communication best practices (messaging over email) are non-industry-standard, onboarding could be better for non-engineer roles.
",,3.0,Disagree,Neutral,Neutral
2020-12-20, Market Specialist,"Dublin, Dublin","Current Employee, more than 1 year",Good company but a bit stingy,"Stocks, Benefits, Flexible are the good parts
","Don't pay that much though
",,4.0,Agree,Agree,Agree
2020-12-20,Anonymous,"Seattle, WA",Former Employee,salary,"good culture, good work and life balance
","nothing i can think of at the moment.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-19, Data Entry,Pālpā,"Current Employee, more than 1 year",i am confused right know,"during leasure time i would have some money i guess
","though i am student i shoukld manage proper time
",,4.0,Agree,N/A,Agree
2020-12-18, Digital Rights Operations IC,"Menlo Park, CA","Former Employee, less than 1 year",Leadership Living in a Fantasy Land,"If you're looking for a place to coast and have a high tolerance for nonsense, this may be the place for you.
","If you're looking to do any meaningful work do not take a job on this team. The leadership cares more about faking getting along than getting any work done.
",,2.0,Disagree,Disagree,Disagree
2020-12-18, Senior Partner Engineer,Singapore,"Current Employee, more than 3 years",The company cares people most,"600k medical fund per year per employee Openness for feedback between anyone
","Everyone is a genius, not easy for you to be highlighted. Internal social network takes lot of time to read and post.
",,5.0,Agree,Agree,Agree
2020-12-18,Anonymous,,"Current Employee, less than 1 year",bad place,"It is not a good place to work
","It is terrible place to work
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,Disagree,Disagree,Disagree
2020-12-18, Software Engineer,"Menlo Park, CA","Current Employee, less than 1 year",Good iff you want to work hard,"Perks are great, work is fun, teammates are all smart and will work with you to do good work
","Work is pretty hard, stressors around PSC
",,4.0,Agree,Agree,Agree
2020-12-18,Anonymous,"Agadir, Souss-Massa-Drâa, Souss-Massa-Drâa","Current Employee, less than 1 year",I have been working in,". Simple to Set Up & Use . Helps You Keep in Touch . Lets You Share Your Life . Businesses Can Promote Their Products . Platform for Educational Resources. It is Free For the User
",". Susceptible to Large-Scale Privacy Leaks . Addictive Qualities Negative to Users . Bullies Can Use it To Victimise People with a Wide Spread . It Can be Anti-Social . Fake Profiles Can Lure the Unwary . Frequent Ads Can be Tiresome & Encourage Spending
",,5.0,Agree,Agree,Agree
2020-12-18, Data Scientist,,Former Employee,Good place to work,"Good culture, sense of contribution
","Did not like the way they structured feedback
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-12-18, Senior Data Analyst,"San Francisco, CA",Current Employee,very poor quality of food,"free food free wifi free ac
","only western toilet only western food
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,Disagree,N/A,Disagree
2020-12-18, Software Engineer,"Seattle, WA",Former Employee,Great company,"Good compensation And High impact work
","High pressure. High competition between peers
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-17,Anonymous,,Former Employee,Title,"Very good good good good
","Nothing nothing nothing nothing nothing
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-17, Strategy Manager,"Menlo Park, CA",Current Employee,Do the best work of your career,"Smartest people youll ever work with Amazing perks Top market comp
","Lots of exciting jobs to be done; only 40 hours in a wk
",,5.0,Agree,Agree,Agree
2020-12-17, Sales,,Former Employee,Good,"Good it was good great
","LocTion was issue for me
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-17, Research Intern,"Seattle, WA",Former Employee,Very nice place to have an internship.,"Flexible environment. No overtime. Great intern benefit packages.
","The interview is difficult. The midterm and final review is stressful.
",,5.0,Agree,Neutral,Agree
2020-12-16, IC5,"Menlo Park, CA","Current Employee, more than 1 year","Great money, horrid WLB","Lots of opportunities, great bootcamp
","work life balance is pretty bad, but maybe team dependant
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Agree,Agree
2020-12-16, Facebook Software Engineer,Sydenham,Former Employee,Software Engineer,"Good workplace and learnt a lot
","No physical growth, becayuse it not phsical
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-15, Data Engineering Manager,Tel Aviv-Yafo,Current Employee,Amazing company,"Impact, scale, technologies, benefits, people, culture, career opportunities
","Nothing that is worth mentioning
",,5.0,Agree,Agree,Agree
2020-12-15, Technical Sourcer,"London, England, England","Current Employee, more than 3 years",Great place to work,"Benefits, culture, work life balance, colleagues
","Morale from negative press cycles
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-15, Graphic Designer,Lahore,Current Employee,Managing a page with other members.,"It is Easy to use.
","It is very Time taking.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Agree
2020-12-14, Softwarer Developer,"San Francisco, CA",Current Employee,working experience,"good culture, leadership, management and colaborators
","work and life balance is not good
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-14, Senior Account Manager,Singapore,"Current Employee, more than 3 years",Senior Account Manager,"Good prospect, environment and company always try to groom you for better skills
","very competitive, no worklife balance
",,5.0,N/A,N/A,N/A
2020-12-14, Software Engineer,"Seattle, WA","Current Employee, more than 1 year",Soft skills growth,"Thanks to a high level of ownership, thin staffing, and a bottom-up structure, you learn a lot of soft skills even as a jr engineer: project planning, XFN interop, delegating, value estimation, minor scale architecting, evangelism, etc.
","Stress. If you want to work a 40 hour week, you will probably have to develop the ability to leverage every resource optimally to make the most impact in the fewest hours, and to successfully reject additional work and preempt inevitable scramble.
",,4.0,Agree,Agree,Agree
2020-12-14, Program Manager,"New York, NY",Current Employee,Positive Experience,"Great benefits, flexible work schedule
","Large company where it's hard to see your impact
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-14, User Experience Researcher,"Montreal, QC",Current Employee,6,"good and friendly for using to connect.
","none one cons I can think about.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-14, Software Engineer,"Seattle, WA",Current Employee,Good benefits,"Good benefits, free food (pre-Covid), freedom to choose what teams to work on
","Work life balance can be poor depending on team
",,5.0,Agree,Neutral,Neutral
2020-12-14, Weder/Fabricator,"Los Angeles, CA","Current Employee, less than 1 year",Facebook!,"Great news source for everyone
","Sometimes they lie about everything
",,1.0,Disagree,Disagree,Agree
2020-12-14,Anonymous,"Menlo Park, CA","Current Employee, more than 1 year",Best Company hands down,"Work environment is so great,room for growth , during Covid management came through with so many tools to help us succeed.
","Honestly having worked at other companies no cons
",,5.0,Agree,Agree,Agree
2020-12-14, Diversity Program Manager,"Dublin, Dublin","Current Employee, more than 5 years",Fantastic company to work for!,"-The company truly cares for its employees and has a very human approach -They encourage you to be your authentic self at work, which allows you to focus on what really matters and be more productive and happy -Flexibility - working from home, flexible hours, flexibility to take vacation -Awesome pay and benefits -Job security - the company is growing and you feel like even if you make mistakes, you will have the opportunity to learn from it, be coached and grow and not get fired.
","-The company now is quite big and there are more processes/bureaucracy -Sometimes you have to deal with politics
",,5.0,Agree,Agree,Agree
2020-12-13,Anonymous,Rānchī,Former Employee,Good,"Almost everything in the company
","Nothing.in the company at all
",,4.0,Disagree,Agree,Neutral
2020-12-12, Senior Software Engineer,"San Jose, CA","Current Employee, more than 3 years",Great company for junior,"Fast promotion and employee caring for juniors
","Intensive competition and PSC cycle
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-12, Public Policy Manager,"Menlo Park, CA",Current Employee,Great company,"Empowers individuals to grow in their roles
","Work life balance is not always great
1 person found this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-12, Software Developer,"New York, NY",Former Employee,N/A,"Good and Diverse atmosphere in Facebook
","Competitive place and too much crowded so difficult to focus
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-11, Software Engineer,"Menlo Park, CA",Current Employee,good place to work for,"good place to work for
","none that I can think of
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-11,Anonymous,,"Former Employee, less than 1 year",Amazing company,"Everything is great in here.
","No cons of any kind
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Disagree,Agree
2020-12-11, Policy Manager,"Brussels, Brussels",Current Employee,Ok place,"Interesting job, good benefits, travelling
","A bit too Hierarchical, growing very fast
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-11, Data Scientist,,Current Employee,"Quite intense, but super-interesting and people are treated very well","interesting work fantastic people/culture you are treated well
","can be quite stressful/intense /*extra words because form wants more words*/
",,5.0,N/A,N/A,N/A
2020-12-10, Front End Developer,Bangalore,"Current Employee, less than 1 year",awesome,"exciting place to work at
","no cons, it great to work here.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-10, Advertising Sales,,"Former Employee, more than 1 year",Great spot!,"Very engaging place where you will have joy working. Supporting leaders make it even better.
","I dont have any cons working for this place,
",,5.0,Agree,Agree,Agree
2020-12-10, Software Engineer,Mumbai,"Current Employee, more than 10 years",great,"Helpful and supportive staff yes
","really hectic and stressful schedule
",,4.0,Agree,Agree,Neutral
2020-12-10, Senior User Experience Designer,"San Francisco, CA",Current Employee,Stressed Status,"Fast-paced challenging work Amazing technology State of art processes
","It's all about the profit getting a bit soul-less here Lots of ego
",,3.0,Disagree,Neutral,Agree
2020-12-10, Sales Manager,"Nyack, NY",Current Employee,good,"good co to work for
","good co to work for excellent
",,5.0,N/A,N/A,N/A
2020-12-10, Audio Visual Technician,Sydney,Current Employee,Facebook is a company,"Food, Drinks, Cool Office with a Nice Work Enviroment
","Very beuracratic, and a large company
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
