date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-10-01,Anonymous,,Current Employee,Good,"Work life balance is good
","Scarcity of projects is a major issue
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-10-01, Assembly Technician,"Plattsburgh, NY",Current Employee,Good job,"Easy going job with a great boss. Keeps you busy at all time which makes the time go by. Pay is decent.
","Not very challenging so it can sometimes get boring. Some people will try to avoid work.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,Agree
2021-09-29, Engineer,Málaga,Current Employee,Good,"Good Happy Nice Easy Work
","None Slow Info in place
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-29, Marketing Manager,"Toronto, ON","Current Employee, more than 3 years",Great workplace,"Great work environment that promotes well being, diversity and inclusion. Good management and effective collaboration within the teams.
","Long working hours are common with exceptions
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-29, Network Engineer,"Birmingham, England, England","Current Employee, more than 10 years","Good Company, bad pay","Treated with respect and opinion is valued
","Unable to progress your career as there is no benchmark for progression
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Neutral,Disagree
2021-09-29, SOX Compliance,Sydney,"Current Employee, more than 1 year",Sox compliance,"Flexible working hour and great team
","Limited internal growth or opportunities
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,N/A,N/A,N/A
2021-09-29, Associate Applications Developer,Pune,"Former Employee, more than 3 years",Sharepoint Developer,"Great Company for fresher. Management is ok.
","Not many opportunities for On-site.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-28, Asociates,"Łódź, Lódz, Lódz","Former Employee, more than 3 years",nice place to work,"Career advancement, friendly work place. good management
","Low salary for high technical skilled job, stressed all the time.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,N/A
2021-09-28, Logistics Agent,Bridgetown,"Former Employee, more than 1 year",Good Job,"Overall great team. Pay is comparable once you can leverage qualifications
","Heavy workload
Upward Mobility might be stagnant
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,Agree
2021-09-28, Associate Technical Services Engineer,Pune,"Former Employee, less than 1 year",Average company not good,"Health insurance , less salary deduction
","Worst management, Micro management, work life balance zero
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Neutral
2021-09-27,Anonymous,,"Current Employee, more than 1 year",Bootcamps are basically a scam,"Only being at home while working
","Will not update your salary grade in line with your workload. You will work after 3 months bootcamp and your salary is still the same as your TRAINEE allowance. 
HRs are not responsive, it took me 1 year before my salary alignment
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Agree,Disagree
2021-09-27, Engineer,Canberra,Former Employee,Fujitsu,"Some good people worked there.
","Sheltered workshop, poor management culture.
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,N/A,N/A,N/A
2021-09-27,Anonymous,"Leeds, England, England","Current Employee, more than 8 years","Excellent for progression, less so for salary","Progression, training and experience is always available! Development is greatly encouraged and supported
","Salaries appear to fall short of the market average, especially for those less senior.
Advice to Management
Be competitive with the market to retain talent
Be the first to find this review helpful
Helpful
Share
Repor","Be competitive with the market to retain talent
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Neutral,Agree
2021-09-27, Finance Executive,Singapore,"Current Employee, more than 3 years",Good company,"Peaceful, Low pressure, Friendly, Salary,
","Management is almost Japanese. They are replace frequently.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-26, SOC Analyst,"Bracknell, England, England","Current Employee, more than 1 year",Fujitsu,"Lots of opportunities
good working environment
","cannot think ant at the moment
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-26, Technician,Sydney,"Former Employee, more than 1 year",Tech,"You will receive the support you need.
","The wage is not impressive and could be better
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,N/A
2021-09-25, Sales Director,,"Former Employee, more than 3 years",Solid company,"Good financials, many resources, global corporation, quality products
","Size has its limitations on flexibility and quickness to adapt new changes
Advice to Management
be flexible while guiding the business
Be the first to find this review helpful
Helpful
Share
Repor","be flexible while guiding the business
Be the first to find this review helpful
Helpful
Share
Repor",4.0,N/A,N/A,N/A
2021-09-24, Sales Director,Tokyo,"Former Employee, more than 10 years",Challenging,"Every body knows company's name and habing barnd in Japan.
","Stable, but sometimes insuficinent in challenging
Advice to Management
Directions
Be the first to find this review helpful
Helpful
Share
Repor","Directions
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Agree,Agree,Agree
2021-09-24, Fujitsu Consulting,Noida,"Current Employee, more than 5 years",Offshore support,,"lting in Noida
Recommend
CEO Approval
Business Outlook
Pros
Onsite opportunity and technical growth all depends on allocated project rest you will get salary on time
Cons
Less onsite opportunities , also very bad appraisal process
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Disagree,Disagree
2021-09-24, IT Support,Sydney,"Former Employee, more than 3 years",OK,"OK not too bad OK
","Its OK to work there
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-23,Anonymous,,"Former Employee, more than 10 years",review,"great team mates
good training ground
competitive salary for others
stable
best for newly grad
","n o n e e
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2021-09-22, Applications Developer,Pune,"Former Employee, more than 3 years",Good company,"Good company
Nice work culture
Good hike
","Recent Technical project and related Growth
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-22, Enterprise Architect,"London, England, England","Current Employee, more than 10 years",Diverse and innovative company to work for,"Diverse, socially aware, cares about its employees
","Some roles don't pay very well
Advice to Management
Look after your key talent and reward accordingly to retain key talent
Be the first to find this review helpful
Helpful
Share
Repor","Look after your key talent and reward accordingly to retain key talent
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,N/A
2021-09-22, Assistant Applications Developer,,Current Employee,Good,"Recommend to join, nice place to work
","nothing much, all good as of now
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-21, Business Support Staff,"Sunnyvale, CA","Current Employee, more than 5 years",Great Place to Work,"Culture, People, Technology, Collaborative, Quality
","Learning Japanese culture (not really a ""con"" for many people)
Advice to Management
Keep pushing the envelope and leading the market
Be the first to find this review helpful
Helpful
Share
Repor","Keep pushing the envelope and leading the market
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-21, Site Analyst,Moscow,Current Employee,Good IT service organization,"Friendly colleagues
Nice management organization
Good IT equipment
","Small pay
Difficult career experience
Most of responsibilities
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-21, Data Analyst,Braga,"Current Employee, more than 1 year",Salary,"Good environment
Chance to do some specific Certifications
","Low salary
No career path
Low growth chances
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Neutral
2021-09-20, Assistant Applications Developer,Chennai,"Current Employee, more than 1 year",All good,"Good company for freshers to start.
","No such cons as of now.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-19, Client Executive,"Dallas, TX","Current Employee, more than 1 year",Great experience,"Environment, purpose, independence, Innovative, Global Presence
","People, structure, communication, talent management, growth
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-19, Solutions Architect,Melbourne,Current Employee,Great place to work,"Diversity of people you meet
","Large company can be overlooked sometimes
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-19, Information Security Analyst,Belgrade,Current Employee,Great place toUpskill,"Able to upskill and get promoted for good work
","Management needs to be better
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-19, Service Delivery Manager,Chennai,"Current Employee, more than 1 year",Management,"payout is good for japanese language resource
","worst management i have ever faced in mnc
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,Disagree,Disagree,Disagree
2021-09-19, Assistant Applications Developer,Chennai,"Former Employee, more than 3 years",Worst decission to join as fresher,"Salary is very less ,no hike after joining from last two years , no one is there to look into the issues bad management, even after resignation if he/she is in bench not ready to release early unnecessary asking to serve notice period . No projects , Management is worst not giving hike and still asking to stay.
If he/ she is getting good hike outside they will just give half amount and will ask to retain how can they expect this. In short Management is worst ,not respecting there employees , HR behaviour is worst as if they are giving salary to us. Superior behaves very bad with associates , mental pressure is there.
Work life balance is not there if he/ she is in project need to work late nights but not hike no appraisal no motivation nothing.
","WFM team is worst threatening the employees to take any projects not as per the skill . WFM ( Resource Management) .
Managers are not replying the mail's or messages for any concern not HR nor any superior need to wait for 4-5 days for their reply . Just horrible experience as fresher.
Advice to Management
Management needs to be improved , respect their associates .
Be the first to find this review helpful
Helpful
Share
Repor","Management needs to be improved , respect their associates .
Be the first to find this review helpful
Helpful
Share
Repor",1.0,Disagree,Neutral,Neutral
2021-09-18,Anonymous,,"Former Employee, more than 1 year","Great, but could be improved","Work life balance and caring managers
","Sometimes things could move a little faster
Advice to Management
Keep innovating
Be the first to find this review helpful
Helpful
Share
Repor","Keep innovating
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Agree,Agree,Agree
2021-09-17,Anonymous,,"Current Employee, more than 3 years",Good company,"Work Life Balance, Focus on People
","Career ladder can be difficult to navigate
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-17, Senior Commercial Manager,"Telford, England, England","Current Employee, more than 10 years",All that glitters is not gold,"Staff are loyal and give their all
","Shame the company doesn’t reciprocate
Advice to Management
Listen with your ears and not your mouths
Be the first to find this review helpful
Helpful
Share
Repor","Listen with your ears and not your mouths
Be the first to find this review helpful
Helpful
Share
Repor",1.0,Disagree,Disagree,Disagree
2021-09-17, Service Desk Agent,"Łódź, Lódz, Lódz","Current Employee, less than 1 year",Good job,"Great atmosphere at work, great people
","Salary could be better and possibilities to earn more.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-16, Systems Engineer,,"Current Employee, more than 3 years",Good benefits but strict hierarchy and long over time,"Very generous PTO and other benefits
","Very long working hours(50-60hours/week) 
Strict hierarchy, top down culture
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Agree,Neutral
2021-09-16, Graduate,Melbourne,"Current Employee, less than 1 year",Graduate at Fujitsu,"Good culture, no crazy work hours
","Not super faced paced, as a grad you may often get left behind and not given much exciting work
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Agree,Agree
2021-09-16, Service Delivery Manager,"Birmingham, England, England","Former Employee, more than 5 years",Not Great,"A lot of very talented, highly intelligent people. A lot of great professionals you can learn from and grow.
","Slow, ineffective processes, a lot of red tape. A company more concerned with avoiding failure then aiming for success.
Advice to Management
Streamline internal processes. Provide more training to employees on how the company operates.
Be the first to find this review helpful
Helpful
Share
Repor","Streamline internal processes. Provide more training to employees on how the company operates.
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Disagree,Disagree,Disagree
