date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-10-02, Sales Executive,,"Current Employee, more than 1 year",Good not great,"Great technology and active product strategy
","Not a sales culture and they are trying to build too many products at the same time
Advice to Management
Partner before you build
Be the first to find this review helpful
Helpful
Share
Repor","Partner before you build
Be the first to find this review helpful
Helpful
Share
Repor",4.0,N/A,Agree,Agree
2021-10-01,Anonymous,,"Former Employee, more than 3 years",Life at Google,"Life at Google is challenging, interesting and career oriented.
","The best thing I have seen here is the Gifts you get when you win any kind of competition!
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,N/A,N/A,N/A
2021-10-01,Anonymous,,Current Employee,kmkhkmht4,"its a good company to work for
","nothing cons to tell on this
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Professional Freelancer,Kuala Lumpur,Current Employee,Excellent,"Excellent company to work with. benefits are good
","Nothing to talk about cons. It is a good company
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30, Visiting Researcher,"Mountain View, CA",Former Employee,Yes,"Benefits; brand name, 401K matching, infrastructure
","Perf, PubApprove process, no more that I can think of. It's silly to force us to give you reviews
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Google STEP,"Carlsbad, CA",Former Employee,Intern Experience,"The culture is wonderfully supportive and it’s really easy to get used to the perks they have!
","I definitely felt a lot of imposter syndrome.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Software Developer,Chennai,Current Employee,cool,"good good good good good
","could be excellent ! ! !
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-30, Product Manager,,Current Employee,Great culture.. things are slow,"Great people to work with and very talented group
","It is a very big company and things move very slowly
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-30,Anonymous,"Mountain View, CA",Former Employee,Excellent comp and benefits package,"Google provides a generous comp package and best in class benefits
","The company has gotten too big and hard to make an impact.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-30, Product Analytics Manager,"Mountain View, CA","Current Employee, more than 8 years",product analysts and data scientists roles,"Most people joined because it's Google and yes it owns many products that people can't live without today so that means working here makes you proud but that's about it. Culture was much more inclusive, open, and direct when Larry/Sergey still run the company but it has changed my friend...
","It depends on the org and product area; some leadership teams are very biased and unreasonable and all they want is to take credit from your work and make themselves look good. They bad mouth about people who are NOT in their circle of trust and just want to get rid of them instead of helping them to grow. Horrible.
Advice to Management
Get rid of your arrogant PA/DS ladder executives. They don't know what they are talking about when it comes to building a healthy analyst community. All they want is to show how smart they are without understanding the real needs of the analysts who are below L7. Wake up! Or you will LOSE more people.
1 person found this review helpful
Helpful
Share
Repor","Get rid of your arrogant PA/DS ladder executives. They don't know what they are talking about when it comes to building a healthy analyst community. All they want is to show how smart they are without understanding the real needs of the analysts who are below L7. Wake up! Or you will LOSE more people.
1 person found this review helpful
Helpful
Share
Repor",3.0,Disagree,Disagree,Neutral
2021-09-30, Senior Manager,,"Former Employee, more than 8 years",Good stuff,"They really make you want to work
","Sometimes they run out of free snacks
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Finance Analyst,,Former Employee,Working at Google,"Dream place to work for.
","Supervision is minimal and a lot of redundant work.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-30, Software Developer,"Mountain View, CA","Former Employee, more than 1 year",Good for new grads,"Great infrastructure, stay with the latest technology in development.
","Bad dining hall. Slow to get promoted
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-30, Student Researcher,,Current Employee,Great experience,"Computational resources is massive, which enables me to perform large-scale experiments
","no no no no no
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Business Development Representative,"Dublin, Dublin",Current Employee,BDR,"Work life balance, private health care
","Sales tools are not working properly, and no training for using the same
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-30, Software Engineer,,"Current Employee, more than 5 years",It is just another big company,"Big company, has a lot of resources to help new people get up to speed
","It is a big company that has slowly because more and more of a big company in how they work
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-30, Trainee,,Former Employee,Data Analyst - Great Role,"Great company to work for
","No cons for working at this company.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Senior Software Engineer,"Zürich, Zürich","Current Employee, more than 5 years","Great place to work with smart people, learn","Great salary
Interesting, challenging work
Many learning opportunities
Real impact on potentially billions of people
","Big company with organisational complexity
1 person found this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2021-09-30, Programmer,,"Former Employee, more than 1 year",Office,"Great Space and friendly working space
","No cons at all working for Google
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30,Anonymous,,Current Employee,perfect place to work,"flexible working hours during a day
","there is no negatives in it
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-30, Senior Software Engineer,Warsaw,"Current Employee, more than 1 year",pretty cool google,"pretty cool ngl large salary
","too much pressure ngl man
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30, SRE Engineer,,Current Employee,great,"good work env, liked it welll
","none its a nice olace
Advice to Management
keep it up
Be the first to find this review helpful
Helpful
Share
Repor","keep it up
Be the first to find this review helpful
Helpful
Share
Repor",3.0,N/A,N/A,N/A
2021-09-30,Anonymous,,"Current Employee, more than 1 year",Good,"Very good and awesome man
","All good all good all good
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30, Sales,,Current Employee,Great company but...,"Great working environment / Great people / Great compensation
","People cares of assessment more than clients
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-29, Senior Data Scientist,"Mountain View, CA","Current Employee, more than 5 years",Great perks and overall structure but does not live up to stated ethics and ideals,"Great job security
Clear path to promotion
Smart colleagues
Excellent career development resources
Diverse workplace
Creative freedom and autonomy
Effective feedback processes
","Can be quite political 
Multiple teams working on the same project
Some loud and disrespectful employees
Sexual and racial harassment/discrimination happens more often than it should given their external messaging/image they project
Not true to their stated ethics
Advice to Management
Don’t punish victims of discrimination and harassment for others mistakes by making them switch projects or making them go on mental health leave. 
Be more forthcoming about others working on the same project and facilitate communication instead of pitting people against each other.
Don’t be evil - don’t profit from anti-science misinformation opportunists.
Be the first to find this review helpful
Helpful
Share
Repor","Don’t punish victims of discrimination and harassment for others mistakes by making them switch projects or making them go on mental health leave. 
Be more forthcoming about others working on the same project and facilitate communication instead of pitting people against each other.
Don’t be evil - don’t profit from anti-science misinformation opportunists.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,N/A,N/A,N/A
2021-09-29,Anonymous,,Former Employee,All about perks!,"- good benefits
- smart co-workers
","- have to be on call
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-29, Software Engineer,"Mountain View, CA","Current Employee, more than 1 year",Rant,"Everything is great so far
","nothing to complain about except for locating in a high cost living standard kind of area
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-29, Data Scientist,Bangalore,Current Employee,good,"good company to start your carear
","bad for growth competition is high
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-29, Staff Software Engineer,"Mountain View, CA",Current Employee,Good for new grads,"You could lean lots of good practices
","No much impactful things left
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-29, Software Engineer,"New York, NY","Current Employee, more than 5 years",Excellent company,"Best benefits, best co-workers and very good culture generally speaking
","A lot of management hirings from wall street is damaging and destroying company culture gradually.
Advice to Management
Management candidates from wall street need to be carefully vetted as some of them are carrying over bad management styles.
Be the first to find this review helpful
Helpful
Share
Repor","Management candidates from wall street need to be carefully vetted as some of them are carrying over bad management styles.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-29, Recruiter,"Detroit, MI",Current Employee,n/a,"Benefits are a good thing
","Work life balance is not good
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-29, Search Specialist,Wrocław,"Current Employee, less than 1 year",Great place to work,"Boost to resume, international recognition, great benefits, free food and medical plan, benefits for relocation and immigration, smart people around you, work on things that matter
","you can burn-out after some time, you'll learn Polish market salary which less to compare to other office locations
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-29, Software Development Engineer (SDE),,Current Employee,GOOD,"concurrent orders, insufficient balance, failure recovery
","house trade and second street trade form an exact match
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
