date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-10-02, IT Support Engineer,"Palo Alto, CA","Former Employee, less than 1 year",Good times.,"Great work/life balance. 
Awesome amenities.
","Not much room for promotions. 
Long application process for promotions.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-30,Anonymous,,"Current Employee, more than 1 year",Partner business manager,"Excellent company and process defined according to the market
","they have many organization levels
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30,Anonymous,,Former Employee,Good place to work,"Good place to work for
","No cons as such. just compensation is not that great.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,Agree,N/A
2021-09-29, Staff Hardware Engineer,"Colorado Springs, CO","Current Employee, more than 1 year",Good Place to Work,"1. Good place to work
2. Lots of innovations
3. Good benefits and compensation
","1. Don't see any cons at this point
Advice to Management
No advice at this point
Be the first to find this review helpful
Helpful
Share
Repor","No advice at this point
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-29, Software Engineer,Bangalore,Current Employee,Good,"Good work place, good work life balance
","no cons except while filling glassdoor form for cons we need 5 words, i dont have that to put here
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-29, Software Engineer,"San Jose, CA","Current Employee, more than 1 year",Low Pay,"Great WLB. helpful teammates. Good culture
","Pay is very low. Not sustainable long term.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Agree,Agree
2021-09-29,Anonymous,,Former Employee,I’ve never seen a company with so many lay offs,"It’s hard to think of any pros for this company
","The pay is way below standard for any position 
LAY OFFS ALMOST EVERY MONTH
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Disagree,Disagree
2021-09-28, Distinguished Engineer,"Santa Clara, CA",Current Employee,Flexibility in working on variety of things,"Flexibility in working on new things
Work/life balance
","Typical managerial culture where they are not technical enough
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-28,Anonymous,"Manila, Manila, Manila","Former Employee, more than 1 year",N/A,"Pros: company work life balance
","Cons: nothing I can think of
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,N/A
2021-09-28, Technology Consultant,,"Former Employee, more than 3 years",Good Place to work,,"ltant 
Recommend
CEO Approval
Business Outlook
Pros
Good Environment, Employee benefits and hikes
Cons
Nothing specific but less opportunity to work under new things.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-28, Technical Support Engineer,Sofia,"Current Employee, more than 3 years",Social Company,"A lot of benefit:food voucher, medical insurance, additional fully paid parenthal leave period, food vouchersa, easy going management, free half a day per month
","Not many opportunity careers for foreigners
Advice to Management
Be more inclusive with foreigners on a career path level.
Be the first to find this review helpful
Helpful
Share
Repor","Be more inclusive with foreigners on a career path level.
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-28, Account Manager,"Berkeley Heights, NJ",Current Employee,HPE Headed In Wrong Direction For Employees,"Benefits, Flexibility, that's about it
","Management doesnt care for employees. Ruining SMB space. Making it harder to make money... everything benefits company not employee. Management sub par
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Disagree,Disagree
2021-09-28, Key Account Manager,Istanbul,Former Employee,Excel,"Strong Brand to work for. Customers respects it.
","Too much stress, always at the edge for being fired.
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Agree,Agree
2021-09-27,Anonymous,,"Former Employee, more than 5 years",Benefits,"Flexible benefits program at HPE
","Some parts are quite expensive
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Agree,Agree
2021-09-27, Deployment Engineer,Bangalore,"Current Employee, more than 3 years",Good place to Work,"HPE has some of the best employee friendly policy compared to other companies.
They really take care of their Employees.
","Sometime the managers wont be as good as you want them to be. They will have the attitude of a typical service based company ( Not considering the employee feeling at all).
Growth is very very slow.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-27, Senior Software Engineer,,Current Employee,Good,"Flexible environment
New technology to use.
","Poor senior management.
compensation and benefits are ok ok
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-26, Senior Project Manager,Sofia,"Former Employee, more than 5 years",Mixed opinion,"Office location
Salary
Unlimited home office during the pandemic and before
","Slow decisions
Local management
Not many opportunities to grow
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Neutral
2021-09-26, Data Center Consultant,,"Former Employee, more than 1 year",Good place to work,,"ltant 
Recommend
CEO Approval
Business Outlook
Pros
Good salary and experience in tech
Cons
None that I can think of.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-24, Secretary,,Former Employee,high quality people,"Worked with high quality people
","The company reorganizes too often
Advice to Management
n/a
Be the first to find this review helpful
Helpful
Share
Repor","n/a
Be the first to find this review helpful
Helpful
Share
Repor",4.0,N/A,N/A,N/A
