date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2020-12-21, Senior Researcher,"Farmington Hills, MI",Former Employee,Good place to work,"Good responsibility good visibility good exposure
","Growth opportunities limited direction unclear
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-21, Sales Executive,"Jurong East New Town,",Current Employee,MNC with localised culture,"Stable, reasonable welfare, friendly environment
","Slow career advancement and rigid mentality
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Neutral
2020-12-21, Manager,,Current Employee,Nice company,"Very kind to all employees
","Profit sharing with non-valued people
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-21, Team Leader,"Trowbridge, England, England","Current Employee, more than 5 years",Inconsistent,"Stable job (at least until recently)
","Lack of transparency, favouritism, command and control attitude, lack of leadership, micromanagement.
",,1.0,Disagree,Neutral,Disagree
2020-12-19, Machine Operator,"Richmond, KY","Former Employee, less than 1 year",OK,"the money, some of the people are nice
","Working 7 days a week every week with barely any vacation time
",,2.0,Disagree,Neutral,Neutral
2020-12-15, Engineer,Genoa,"Current Employee, more than 8 years",very good place to work considering Italy's job market,"- pay - benefits - worker union presence - diversity on job activitities
","- technical skills are not enough valued -too many managers and too many people without any technical skill obtaining promotions - poor communication and collaboration between offices
",,4.0,Agree,N/A,Agree
2020-12-12, Technician,"Richmond, KY",Former Employee,It's all true.,"Good money, plenty if work. Benefits.
","No time off, will be treated awful, they dont care about their employees.
",,1.0,N/A,N/A,N/A
2020-12-11, Assistant Project Manager,Mumbai,"Former Employee, less than 1 year",Not such a great place to work,"Not too many, there are lot of cons.
","There is no social life, Insurance policy also is not good. There is no proper management and being and Japanese company we I expect a lot about innovation but there is nothing as such.
",,3.0,Disagree,N/A,Disagree
2020-12-11, Senior Marketing,"Mountain View, CA","Former Employee, more than 10 years",Great place to work!,"Great people, valuable products and work culture
","Strategic alignment with parent company
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2020-12-08, Internship,Oberding,"Former Employee, less than 1 year",Compulsory Internship Prospects,"ects
8 Dec 2020 - Internship in Oberding
Recommend
CEO Approval
Business Outlook
Pros
Flexible working hours, independence, cultural diversity
","Far location from residential areas, poor bus connections.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-08, Senior Controls Technician,"Monroe, GA","Former Employee, more than 3 years",Don't work here,"Plenty of overtime, plenty of broken machines to work on
","Worst Management in any industry, chew you up and spit you out, disorganized, not enough maintenance members, poor communication, meetings to have meetings, poor equipment design, noncompetive pay
",,1.0,Disagree,N/A,Disagree
2020-12-07, Administrative Staff,Singapore,"Former Employee, more than 1 year",in general suitable for female,"the working hours has flexibility
","pay is a bit below the market value
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,Neutral
2020-12-06, Engineer,"Miami, FL",Current Employee,Great company to get experience,"Good coworkers, good benefits when you’re actually hired by the company and not An agency.
","No growths. No career path, low salaries.
",,4.0,Disagree,Neutral,Neutral
2020-12-05, Systems Engineer,Tokyo,"Current Employee, less than 1 year",Great people,"I like the people here. Generally very supportive
","Big company tends to have slow movement.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2020-12-04, Software Engineer,"Austin, TX","Former Employee, less than 1 year",Developer,"Great and best but not the best
","Great but not so great
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Disagree,N/A,Agree
2020-12-04, Design Engineer,Hitachi,"Current Employee, more than 3 years",Nuclear engineering,"Job offers available in a wide range of disciplines, training opportunities and good salary.
","Public and political conflicts regarding the Japanese nuclear business.
",,3.0,Agree,Neutral,Neutral
2020-12-03, Senior Analyst,Tokyo,Current Employee,Japanese company trying to change,"Good culture with friendly employees. I can imagine some would love and enjoy working here.
","Mediocre pay with little upside.
",,3.0,Disagree,N/A,Neutral
2020-12-02, Senior Product Specialist,"Zürich, Zürich",Current Employee,Not bad not good,"Working flexibility Working from home Relaxed environment Social benefits
","Old technologies Bad/old processes Not so challenging
",,3.0,Disagree,Neutral,Neutral
2020-12-01, Assistant Manager,Mumbai,Current Employee,Great Place to work,"Good working culture Supportive environment Good CTC
","nothing to say about cons
",,5.0,Agree,N/A,Agree
2020-11-30,Anonymous,,Former Employee,Good,"Long hours, some stuff is heavy
","Don’t get stressed out. Stay focused
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-11-29, Machine Operator,"Harrodsburg, KY",Current Employee,Bad work-life balance,"Pay is good and plenty of overtime opportunities.
","Employees often have to work overtime even if shipments have been met. There is also shift favoritism. Certain shifts have to makeup for other shifts that get sent home early.
",,2.0,Disagree,Neutral,Neutral
2020-11-28,Anonymous,"Berea, KY",Current Employee,Good,"Good people to work with
","Long hours and work week
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Neutral
2020-11-28, Intern,,Former Employee,Work life,"No hard skills & pressure
","Politics very difficult to survive
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-11-27, Researcher,Tokyo,"Current Employee, more than 5 years",Good company,"cooperation, good education system, salary not bad
","Low productivity, many meetings and paperwork
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-11-23, Senior Consultant,,Current Employee,Growing company with a lot of new opportunities,,"ltant 
Recommend
CEO Approval
Business Outlook
Pros
Hitachi offers a lot of new opportunities for growth and experience. You feel valued as an employee and your opinions are always heard
Cons
No Cons about this company
",,4.0,N/A,N/A,N/A
2020-11-22, Business Development Manager,Kraków,Current Employee,Quite good,"Office, work from home, medical care
","salary, responsibilities, pressure, management, work hours
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Neutral
2020-11-20, Finance Director,"Zürich, Zürich",Current Employee,CULTURE,"diversified, collaborative, innovative and empowerment
","sometime the working environment tend to have high pressure
",,4.0,N/A,N/A,N/A
2020-11-18,Anonymous,New Delhi,"Former Employee, more than 1 year",Good,"Good company for fresher to start
","None as such as per my experience
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,N/A,N/A
2020-11-18, Saleman,Tokyo,"Current Employee, less than 1 year",junior,"work life balance is good
","there is no chance to promotion
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-11-16,Anonymous,,"Current Employee, more than 1 year",Best place to work at,"Best place to work at
","No cons in working at Hitachi
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
