date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-09-20, Test Design Lead HWTE (TDL),,"Former Employee, more than 1 year",TDL in HonHai,"- High allowance
- Good opportunity and networking
","- Long working hours
- you cannot go back to Taiwan regularly if you are busy
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Neutral
2021-09-11,Anonymous,,"Former Employee, more than 1 year",Busy but many chances there,"I learned a lot of things
","Very busy, and work overtime
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,Neutral,Neutral
2021-09-08, Manager,"China, TX","Current Employee, more than 8 years",Manager,"quality, delivery, cost, technology, creation
","salary, culture, life, family, people
Advice to Management
The final interview is the last step in the interview process and the interview where you may find out whether or not you are going to get a job offer.
Be the first to find this review helpful
Helpful
Share
Repor","The final interview is the last step in the interview process and the interview where you may find out whether or not you are going to get a job offer.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,N/A
2021-09-03, Asset Management,Srīperumbūdūr,"Former Employee, less than 1 year",Asset Management,"Eay to get this job, but will not be helpful in the future for our growth.
","Boring and repetitive,
Cannot learn or upgrade ourselves with time,
Senior employees might be rude sometimes,
Working here will make you feel underpowered.
Advice to Management
AE team should have a proper communication with everyone in the ASSET team not only with particular members.
1 person found this review helpful
Helpful
Share
Repor","AE team should have a proper communication with everyone in the ASSET team not only with particular members.
1 person found this review helpful
Helpful
Share
Repor",3.0,Disagree,Neutral,Disagree
2021-08-31, Project Director,"Birmingham, England, England","Current Employee, more than 10 years",Good,"Good to work here for money
","The management is not good
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-08-27, Manager,Taipei,Former Employee,Too much politics and old guys,"A large company in Taiwan.
","Can’t grow and be self.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-08-24, Software Engineer,Taipei,"Former Employee, more than 1 year",software engineer in Foxconn,"The salary is better than most system design companies in Taiwan. You can also get a bonus after 2 two years.
","The salary is low than the IC design house in Taiwan.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Neutral
2021-08-22, Trade Specialist,Hà Nội,Current Employee,Good company,"Good at human resource, compensation
","remote area, alitlle bit chinese working environment
Advice to Management
Good
Be the first to find this review helpful
Helpful
Share
Repor","Good
Be the first to find this review helpful
Helpful
Share
Repor",4.0,N/A,N/A,N/A
2021-08-20, Production Supervisor,"China, TX","Former Employee, more than 5 years",Good,"Good learning platform, and cowork with global top electronics clients. A good jumping stone for future career
","It is very common to Work overtime frequency, and the working environment is not cozy in the factory.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-08-19, Financial Controller,Taipei,Current Employee,Nohting,"It is a Good and excellent company
","The salary is bad and worse
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
