date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-01-05,Anonymous,,Current Employee,Good,"Fast, happy, nice, caring and relevant
","Too fast, but I enjoyed the process
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-01-04, Project Manager,"Manila, Manila, Manila","Former Employee, more than 1 year",Salary is okay but there is no work-life balance,"The only good thing is the salary compensation.
","NO WORK LIFE BALANCE. Will force you to work even Sunday or Holiday. Bosses will not treat you well.
",,2.0,Disagree,Neutral,Neutral
2021-01-04,Anonymous,,Former Employee,Chinese have more control than locals,"Good salary and remuneration package
","Strict timings, Chinese only are decision maker
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,N/A,N/A,N/A
2021-01-04, Senior Software Engineer,Bangalore,"Former Employee, more than 1 year",Okay okay,"Nice campus and benefits were good, opportunities
","Old technologies are in most of the projects
",,3.0,Disagree,Neutral,Neutral
2021-01-04, Administrative Assistant,,Current Employee,Good,"The pay is pretty good
","There is a lot over time
1 person found this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-01-04, Software Engineer,Bangalore,Current Employee,na,"it is good only. work wise also ok
","if u are too much workholic .. for sure u will enjoy
1 person found this review helpful
Helpful
Share
Repor",,4.0,Disagree,Neutral,Agree
2021-01-03, Junior Product Manager,"Shenzhen, Guangdong, Guangdong",Former Employee,It's a good company to work for regarding payment and platform,"good pay. quite many opportunities to go abroad.
","OT working environment. might be transferred to other departments and cities suddenly. . As for the management, it really depends. Also, pay in different departments can vary a lot
",,3.0,Agree,Agree,Neutral
2021-01-02, Algorithm Engineer,,"Former Employee, less than 1 year",good company,"you can improve yourself fastly in Huawei
","Sometimes you have a bit pressure
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-01-02, Junior AI Video Processing,Moscow,"Former Employee, less than 1 year",First non-internship experience,"Great computation resources for deep learning related work
","Only chinese managers above some level, even though the office was in Russia My boss worked at nights quite often, it made me conclude of worsening work/life balance when going further in career
",,4.0,N/A,Neutral,N/A
2021-01-01, Senior Software Engineer,Bangalore,"Former Employee, more than 3 years",Great for starting careers,"You will be busy, and great opportunities throughout.
","Work and responsibilities increase don't match up with pay
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Neutral,Agree
2021-01-01, Indirect Procurement Analyst,Hà Nội,Former Employee,.,"Working system is state of art. Its understandable for an IT company.
","Complicated procedures and always working in worrying minor mistakes
",,4.0,N/A,N/A,N/A
2021-01-01,Anonymous,,"Former Employee, less than 1 year",Huawei hangzhou,"perfect work environment. Great weather in Hangzhou
","you can hardly keep the balance between work and life
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-01-01, Business Development Manager,Mumbai,"Former Employee, more than 1 year",Think twice before going to,"Good Pay structure extra benefits
","No commitment any time layoff due inspite of sales performance
",,2.0,Disagree,Neutral,Disagree
2021-01-01, Master Thesis Student,"München, Bavaria, Bavaria","Current Employee, less than 1 year",Android Developer,"Very good working environment Cooperative staff and team Good salary package Working Language is English
","Not any noticeable disavanteg in this organization.
",,5.0,Agree,Agree,Agree
2020-12-31, Solutions Architect,Dubai,Current Employee,ICT vendor with large IT solutions portofolio,"ICT vendor with large IT solutions portofolio
","Reduced information sharing and culture and languages differences
",,4.0,N/A,N/A,N/A
2020-12-31, Wireless Engineer,Jakarta,"Former Employee, less than 1 year",Great Experience,"Great great great great great
","Too much overtime, no work life balance
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-31, Senior Software Engineer,Bangalore,Former Employee,Good,"Nothing much. Everything is good
","Good salary, cutting edge tech
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-31, Technical Engineer,Bangalore,Former Employee,Work culture,"Good place to learn new things
","no bonus given also not good hike
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-12-30, Director of Digital Transformation,"London, England, England","Former Employee, more than 3 years","Well supported employees however need the right contacts with HQ, big divide between westerners and Chinese employees","Pays well, supports employees if you have a good manager or admin contact back at HQ, exciting work culture if you manage to create good links with HQ in Shenzhen
","Big divide and separation betweeh western and chinese employees (meetings where only Chinese are allowed to attend after hours etc), work hours can be long and inconsistent depending on the job and the customer relationships, can be quite isolating if you are under the wrong management
",,3.0,Disagree,Agree,Neutral
2020-12-29, Software Engineer,Nairobi,Current Employee,ok,"A great telecom Company to work for
","The pressure can be really overwhelming.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-29, Product Manager,"Reading, England, England","Former Employee, less than 1 year",Very bad experience not worth it,"Be ready for working across multiple departments and be overwhelmed by heavy workload. The most cheesy company I have ever worked with.
","Avoid at any cost, force employees to work during annual leave and force employees to take annual leave during pandemic.
",,1.0,N/A,N/A,Agree
2020-12-29, Researcher,Hong Kong,Former Employee,not bad,"Get more experience evey day
","the work can be very stressful
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
