date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-10-01, Manufacturing Technician,,Former Employee,Perfect Work place,"everything there is made for the people
","not much, it all comes down to the person itself.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-10-01, Systems Validation Engineer,,"Former Employee, more than 3 years",Great place to work.,"Great place to work in.
","Compensation and leaves are average.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-10-01, MFT,Leixlip,"Current Employee, more than 10 years",Compensation,"Good when you knuckle down and apply yourself
","Experience can be less valued over retention
Advice to Management
None
Be the first to find this review helpful
Helpful
Share
Repor","None
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-10-01, Agile Product Owner,Bangalore,"Current Employee, more than 5 years",Great place to work,"Work life Balance, Culture, Flat org
","Monetary Compensation & no onsite are the only Cons
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Agree
2021-09-30, Manager,"Folsom, CA",Current Employee,Best company i’ve worked for,"Culture, growth opportunities, pay, management
","Demanding, big company politics, fierce competition
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30, Operation Management,Hsinchu,Current Employee,The world top semiconductor enterprise,"Nice culture and environment. Reasonable compensation, possible to reach work-life balance.
","If adapting to the comfortable culture of the company, may causing maladaptation to face other employers that can't provide the same treatment.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30, Mechanical Engineer,"Tacoma, WA",Current Employee,great people to work with,"great health benefits. great people to work with
","I work remotely, and that make sometimes work more challenging
Advice to Management
nothing to add here. Good Company overall
Be the first to find this review helpful
Helpful
Share
Repor","nothing to add here. Good Company overall
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Neutral,Neutral
2021-09-30, Manufacturing Technician,"Hillsboro, OR","Current Employee, more than 3 years",Great place to work!,"Great schedule, salary, and culture
","Long hours at work but it evens out
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30, Hardware Engineer,"Portland, OR",Current Employee,Mixed experience,"There is lots of opportunity to learn
","It can be very long hours
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-30, Staff Consultant,Wiśniewka Gdańska,Former Employee,Good to learn,,"ltant in Wiśniewka Gdańska
Recommend
CEO Approval
Business Outlook
Pros
I liked that you could learn a lot
Cons
can be a toxic environment at times
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-29, Industrial Engineer,,Current Employee,Stable Job,"Work life balance , stability
","Not challenging enough, hierarchical structure
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,N/A,Agree
2021-09-29, Manufacturing Operations Manager,"Albuquerque, NM","Current Employee, more than 10 years",Money is ok . stress is not worth it.,"The pay is good and the people grow to be like family.
","The politics are horrible and the staffing is always short.
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Neutral,Agree
2021-09-29, Finance Analyst,,Former Employee,Review,"Good employee benefits, very competitive in market
","Could improve on workplace environment
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-29, Systems Validation Engineer,"Santa Clara, CA","Current Employee, more than 3 years",Job,"Great, best, good culture, team.
","Less pay, ok to new ideas.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
