date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-10-01,Anonymous,,Former Employee,Open environment for development,"Good work life balance, friendly working environment
","Opportunity for growth could be better
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-30, Account Receivable,"Seattle, WA","Current Employee, more than 1 year",Good working environment,"Good working culture and environment
","A lot of paper work to be done
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-30, Manager,"Dublin, Dublin","Former Employee, more than 5 years",Good and bad,"Good benefits and fair promotion
","Very demanding work hours, long weekends
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Agree,Agree
2021-09-30, Programmer Analyst II,"Dublin, Dublin","Current Employee, more than 3 years",Good working company,"Good working company and environment
","Lower salary company to other company
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-29, Senior Supply Chain Manager,"Dublin, Dublin","Former Employee, more than 3 years",environment,"environment - good enviroment, the middle management is good.
","environment - bad in job load. People who able to perform, the load will increase.
Advice to Management
Please look into the senior management in ASIA. Especially in Jabil P1.
Jabil had a very good CEO, but the following level people need to be improved.
Be the first to find this review helpful
Helpful
Share
Repor","Please look into the senior management in ASIA. Especially in Jabil P1.
Jabil had a very good CEO, but the following level people need to be improved.
Be the first to find this review helpful
Helpful
Share
Repor",1.0,Disagree,Agree,Agree
2021-09-28, Supervisor,,"Current Employee, more than 10 years",“Ok only” company,"You get whatever standard benefit, compare to local company. Work life balance
","Pay, benefit lower than other M&C. No performance measurement for your promotion, it’s depend on relationship. M&C but culture like local company
Baseline is there BUT everything can be discuss and break the baseline, just depend on the relationship with the upper management.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Neutral
2021-09-28, Security Coordinator,"Dublin, Dublin",Current Employee,Good Salary Package,"Good salary package, can earn more if you want
","Stressfull sometime, planning always last minutes
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-28, Assistant Inventory Control Manager,Hong Kong,"Current Employee, more than 8 years",Inventory Control,"Benefit 
Salary packages 
knowledge gain
","Multi tasking , Overload job which not balance ,
Advice to Management
More interaction between management & employee include all the level
Be the first to find this review helpful
Helpful
Share
Repor","More interaction between management & employee include all the level
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Disagree,Disagree,Agree
2021-09-27, Production Operator,Bukit Mertajam,"Current Employee, more than 1 year",Avarage,"A good place to get starting experience
","long hours and low pay
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,N/A
2021-09-27, Design Engineer,,"Former Employee, more than 1 year",Terrible people management,"Salary is just fine, slightly better than the others
","Terrible people management, many colleagues quit
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Neutral,Neutral
2021-09-26, Mechanical Engineer,"Memphis, TN","Former Employee, more than 1 year",Worst salary in United States,"Worked on a project from ground up. Manager was understanding and colleagues became good friends.
","Upper management knew very little of what was going on.
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,Disagree,Neutral,Disagree
2021-09-24, Manufacturing Engineer,,Former Employee,Good place to work,"Great work culture. Liked my managers and co-workers.
","Salary could've been more competitive.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-23, Intern,"San Jose, CA",Former Employee,Decent place to work for,"A lot of exposure to industry standards and technologies
","Slow career growth compared to other local companies
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-21, Accountant,Bayan Lepas,Current Employee,No Work Life Balance,"High Exposure on current field
","Not enough resources to support
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Neutral,Neutral
2021-09-21, Business Systems Analyst,,"Former Employee, more than 1 year",Good Company,"Benefit package, ESPP, 401K, salary, great people to work with
","IT not valued since they aren't manufacturing product
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,Agree,N/A
2021-09-20, Nutritionist,"San Diego, CA",Former Employee,Professional,"The factory was a safe place to work.
","There is very little professional communication between workers and managers.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Neutral
2021-09-18, Buyer,Bayan Lepas,"Current Employee, more than 1 year",Expect long working hour,"Moderate salary? Does it consider as a pros?
The benefit is ok for big companies.
","Very long working hours. Expect 10-12 working hours per day.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-18, Production Assembler,,Former Employee,Assembler,"Good environment to work in
","I didn't work too long there, can't really think of a con
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-17,Anonymous,,Current Employee,Good Place to work,"Very supportive of work / life balance
","As with all big companies, they will do what's necessary to remain profitable, so outsourcing / layoffs can happen
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-17, Engineering Manager,,"Current Employee, more than 8 years","Fast paced, high tech company with great culture","-Cool products
-Access to technology
-Great Co-workers
-Fast paced environment
-High autonomy
","-Working at night is required to do your job
-Limited support when workload gets unmanageable - leads to longer working hours
Advice to Management
Keep taking care of good people and you'll retain them. Have a better incentive/promotion program so employees are motivated to achieve more and have a clearer line of sight to growth.
Be the first to find this review helpful
Helpful
Share
Repor","Keep taking care of good people and you'll retain them. Have a better incentive/promotion program so employees are motivated to achieve more and have a clearer line of sight to growth.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,N/A,Agree
2021-09-16, Manufacturing Engineer I,Bayan Lepas,"Current Employee, less than 1 year",EIT Engineer,"Lots of stuff to learn.
","No work life balance sometimes. Many meetings.
Advice to Management
Improve your management, you want to profit but you don't want to hire more engineers to handle.
Be the first to find this review helpful
Helpful
Share
Repor","Improve your management, you want to profit but you don't want to hire more engineers to handle.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Neutral,Neutral
2021-09-16, Software Developer,"Saint Petersburg, FL","Former Employee, more than 1 year",Jabil Company Review,"The culture at Jabil was excellent. I enjoyed working with the members of my team. I also found other departments helpful and fun to work with. Overall, a great company to work for from my experience.
","No cons come to mind.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,N/A
2021-09-16, Mechanical Engineer,"Fremont, CA","Former Employee, more than 1 year",Do not work here,"They have a job that pays money and will work you still you are unable to.
","I was instructed by management to lie to the customer during meetings and falsify data. There were little to no ethics from the management. 
The turnover for the site is monthly…. They had two different Managers quit in the one year I worked there. 
They had a Covid-19 outbreak every week during my employment there. 
Jabil management traveled to the site monthly during the shutdown. They did not practice any covid protocols of social distancing or wearing a mask properly putting all at risk. 
This all points to the leadership at the top of this company. There is an old saying “ The fish rots from the head down” that is so true for this company. Stay away from JABIL!!!! It is not worth the money!!! Save your sanity and find a better place.
Be the first to find this review helpful
Helpful
Share
Report
Jabil Response
Recruitment Marketing Manager
Thank you for taking the time to provide your feedback. Jabil does not tolerate non-compliance with our Code of Conduct and Jabil Code policies in the workplace and takes your concerns very seriously. The health, safety and wellbeing of all our employees is a top priority. Jabil would appreciate the opportunity to speak with you further if you are willing. You may reach us, anonymously if you wish, at Global_Compliance@Jabil.com or by calling 1-877-217-6328",,1.0,Disagree,Disagree,Disagree
2021-09-15, Tester,"Florence, KY","Former Employee, more than 1 year",racist and exploitive company,"no pros to this job
","management 
pay
no advancement opportunities 
sexist people and management 
racist racist people and management
rehires sexual harassers
Be the first to find this review helpful
Helpful
Share
Report
Jabil Response
Recruitment Marketing Manager
Thank you for taking the time to provide your feedback. Jabil does not tolerate non-compliance with our Code of Conduct policies in the workplace and takes your concerns very seriously. We would appreciate the opportunity to speak with you further if you are willing. You may reach us, anonymously if you wish, at Global_Compliance@Jabil.com or by calling 1-877-217-6328",,1.0,Disagree,Disagree,Disagree
2021-09-14,Anonymous,,Former Employee,OK company if you're out of college,"A strong company with a lot of opportunities for business, but they are too big and too hard to move.
","Employees that aren't young and brought through the leadership program are often ignored and not looked to for promotions. The IT group is famous for layoffs so don't get comfortable.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,N/A,N/A
2021-09-13,Anonymous,,"Former Employee, less than 1 year",friendly environment,"friendly people, good culture, average pay
","lack of communication between leadership engineering team
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-13, Engineering Change Coordinator,Bayan Lepas,"Current Employee, more than 3 years",environment,"everything for me is ok
","multi task and fast pace
Advice to Management
goodluck
Be the first to find this review helpful
Helpful
Share
Repor","goodluck
Be the first to find this review helpful
Helpful
Share
Repor",3.0,N/A,N/A,N/A
2021-09-13, Operations Analyst,"Dublin, Dublin",Current Employee,Jabil is a nice place to work,"lots of training and development program
career growth
","salary is not too great
too much to do for less pay
Advice to Management
increase pay and welfare benefits
Be the first to find this review helpful
Helpful
Share
Repor","increase pay and welfare benefits
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Disagree,Agree,Agree
2021-09-13,Anonymous,,"Former Employee, more than 1 year",Stay away from IT,"Currently working remotely and the pay is decent
","Every year there are layoffs, unfortunately, they decide to let go of people who are working on projects that have huge impacts on the company creating huge issues for those left. Besides that, employees and managers who consistently cause issues stay while those who were brought on to help fix the problems created are let go due to ""budget"" or wanting to offshore their positions.

They say there are many career opportunities but they are never informed to us.

The culture is very much the old school do as I say and not as I do from the '80s, causing management to not stick up for their employees.
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,N/A,N/A,N/A
2021-09-13, Material Supervisor,,"Current Employee, more than 3 years",Jabil,"There is a lot of experience you can get from working at Jabil, a lot of talent
","They do not have a work-life balance well defined
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,Agree
2021-09-10, Assistant Manager,Bayan Lepas,"Current Employee, more than 10 years",Asst. Manager,"Good salary and carrier growth
","Too heavy workload and lack of team work
Advice to Management
Create healthy work environment
Be the first to find this review helpful
Helpful
Share
Repor","Create healthy work environment
Be the first to find this review helpful
Helpful
Share
Repor",2.0,Agree,Agree,Agree
2021-09-08,Anonymous,,"Current Employee, more than 1 year",Jabil short review,"Good place to learn for new graduates
","Work life balance is quite poor
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,N/A,Agree
2021-09-06, Fresh Graduate,,Former Employee,Nice place to work,"Decent employee benefits, nice teammates.
","Depends on job, Heavy workload & challenging
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-05, Business Analyst,Singapore,Former Employee,Open culture,"There is good work life balance
","It's difficult to see clear development path
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
