date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2020-12-28, Account Executive,,"Current Employee, more than 8 years",Great place to work,"Very flexible work environment. Career advancement opportunities for those willing to be a team player
","Sometimes very siloed with different business groups.
",,5.0,Agree,Agree,Agree
2020-12-28, Supply Chain Analyst,"Morrisville, NC","Current Employee, more than 1 year",Great Company To Work For,"They really care about their employees. Management is always working to improve their relationship with their employees Flexible hours Great Benefits
","Upper management diversity is lacking diversity
",,5.0,Agree,N/A,Agree
2020-12-27, Manager,,Current Employee,Average,"This is an average company
","This company has a Chinese cultural management
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Neutral,Neutral
2020-12-24, Marketing,Bangalore,"Former Employee, more than 1 year",Marketing Sucks!,"Nothing besides salary that gets credited at the end of every month.
","I guess an earlier review sort of summed up some of my thoughts, which said, ""Lenovo has middle-aged men and women trying to sell to millennials."" But having seen both the commercial and consumer business, I think there is a lot more to it. - Marketing team in Lenovo is a combination of islands - WW-Brand-Consumer-Rel-SMB-Social-Digital-Events/Regions/Countries. They are all disintegrated and work in silos. Each has their own agenda and brownie points to earn. - Middle & senior managers who have no clue how to do marketing. Lack of subject matter expertise clearly shows, and they don't bother to attend any trainings irrespective of their knowledge. - Bureaucratic to a large extent, it will take you months & years to get things done. There are so many so-called strategic ongoing projects to fix issues that you lose count. - Zero accountability (work neither impacts the top-line nor bottom line). This affects your ability to function after some time as an employee. - Appraisals are purely based on what your managers think about you. Work-life balance is questionable. Personal biases & favoritism is clearly evident. - Ultimately, you end up doing stakeholder management to keep your boss and other teams happy. - Zero transparency (you are ultimately treated as a foot soldier)
",,1.0,Disagree,Agree,Disagree
2020-12-23, Channel Manager,"Raleigh, NC","Current Employee, more than 3 years",I've learned a tremendous amount working at this company!,"Great benefits and leadership! They really care about your growth and potential!
","Work/Life balance can be better but the benefits definitely offset those challenges
",,4.0,Agree,Agree,Agree
2020-12-23, Account Specialist,Kuala Lumpur,Former Employee,"Great team, good incentives, but too much sales personnel","- Surrounded by great colleagues (at least in my team) - Have certain levels of working flexibility (depend on your role and direct managers) - Equipped with work-from-home facilities - Competitive pay and bonus
","- Sales team is way overpowered, basically, they have too high of the delegations and exceptional approvals are always granted to close deals, at the cost of the company's best interest. - Headcount of the team is very tight, hence people tend to be overworked (like 5 men working on a 10-man job)
",,4.0,Agree,Neutral,Agree
2020-12-21, Sales,"Richmond Hill, ON","Former Employee, more than 1 year",Data centre sales,"let do do you job
","NO internal support or direction
",,2.0,Disagree,N/A,Neutral
2020-12-19, BT Analyst Lenovo,,Current Employee,Good company,"good environment for the works and supportive
","slow growth with unclear growth
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-18, Manager,Bangalore,Current Employee,Employee experience,"1. Quality of work is good
","1. Job satisfaction and employee needs are always tertiary and unimportant. 2. Difficult managers can make days extremely difficult. 3. Zero work life balance. And managers and leadership don't care.
",,2.0,Disagree,Neutral,Disagree
2020-12-16, Sales,,Current Employee,Great Company,"Great culture, decent pay, good benefits
","Long days, difficult targets at times
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-15, Director,"Raleigh, NC","Current Employee, more than 1 year",Overall Good Company,"Good benefits with good perks when growing
","IBM culture and risk averse functioning
",,4.0,Disagree,Neutral,Neutral
2020-12-14, Engineer,Apodaca,Former Employee,Engineer,"good comunication and good partners
","quick changes globally affected my position
1 person found this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-12-14, Sales Manager,,Former Employee,Alright Company,"Collaborative colleagues and good team
","Company culture needs to be improved.
1 person found this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-12-13,Anonymous,"San Jose, CA",Former Employee,Not fit for publication,"The PC business is doing well.
","The data center group is a joke. There is nothing good going on.
",,1.0,Disagree,Disagree,Disagree
2020-12-12, Sales Manager,"Raleigh, NC","Current Employee, more than 10 years",Good place to learn,"Can learn the business from the ground up.
","A bit chaotic at times due to lack of structure.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2020-12-12, Business Development/PMO,"Kansas City, MO",Former Employee,Business Development,"nice people, growth opportunities, good atmosphere
","not so many worth mentioning
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-11, Marketing Manager,Sydney,Current Employee,Great culture but intense workload,"Recommend for people seeking to accelerate their careers and develop skills
","Too few hands on deck so can be difficult
",,4.0,Agree,Agree,Agree
2020-12-11, Customer Sales Representative,"Markham, ON","Former Employee, more than 3 years",Frequent turnovers,"Facilities are well kept and office space is open and welcoming
","Turnover rate seems high but it could just be these past few years
",,4.0,Disagree,Neutral,Neutral
2020-12-09, Senior Channel Sales Manager,"Raleigh, NC",Former Employee,Lenovo,"Lenovo's Corporate Culture is top notch
","Cooperation between segments is tough at times.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Neutral
2020-12-09, Channel Account Manager,Petah Tikva,Current Employee,Good place to work,"Good and high pace company, amazing people, lots of creativity, and innovation.
","There are no opportunities to get promotions through positions in the company. Low salary compared to competitor's positions.
",,4.0,Agree,N/A,Agree
2020-12-08, Sales,Singapore,"Current Employee, more than 8 years","If i have the option to put no stars, i would. Overheavy weight top-down slave drivers.","Staff benefits if you manage to survive.
","Always worried about losing my job Top management always threatens employees. Employees are not to voice out their ideas and comments if they do, management would leash out politics to make employee life hard such setting lots of meeting after/before office hours and 8 or 7am meetings everyday just to put you on peformance review if you are late. Awfuly nasty working enviroment. Words such is very common ""i as your boss command you to do as i say"" Middle management only concern about their job. Never focused to win deals. as simple request of bring leave forward to next year due to covid19 was thrown bacl to employees to plan their leave with no way to leave the country during covid.
",,1.0,Disagree,Neutral,Disagree
2020-12-07, Business Development,Taipei,"Current Employee, more than 5 years",Good company to develop career,"Work life balance, flexibility and empowerment, gender equality
","company politics, cross function overlapping, work efficiency
",,4.0,Agree,Neutral,Agree
2020-12-06, Channel Account Manager,"Raleigh, NC",Current Employee,Na,"Lenovo is a great company to work for
","Long hours Not a lot of training
",,5.0,Agree,Agree,Neutral
2020-12-06, SQL Developer,Hyderābād,"Former Employee, less than 1 year",Good,"Very good company, please prepare before u go.
","Not many cons but management needs to be more sorted out
",,5.0,Disagree,Neutral,Disagree
