date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2020-12-27, Marketer,,Former Employee,A job in LG,"Great technology and is a big company
","Work that may not be worthwhile
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-12-25, Research Scientist,,"Former Employee, more than 3 years",-,"People are nice and smart. You can see your products every 3 months
","If you are in charge of unpopular products, then you wouldn't learn and improve.
",,4.0,Agree,N/A,N/A
2020-12-25,Anonymous,,"Former Employee, more than 3 years",Terrible work place,"No pros cannot be founded
","Terrible culture, bad management, low pay
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,Disagree,N/A,N/A
2020-12-23, Tax Associate,,"Former Employee, more than 5 years",Bad environment,"Good Opportunity to learn tax
","Horrible management In the department
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,N/A,N/A,N/A
2020-12-23, Senior Hardware Engineer,Seoul,Current Employee,LGE salary,"In seoul and good coworker
","Low salary and bad growth
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-12-22, Senior Technical Account Manager,"Santa Clara, CA","Current Employee, more than 10 years",Partner Engineering,"Full stack consumer electronics product manufacturer
","Lack of competitiveness for SW. Manufacturing oriented company
",,3.0,Agree,N/A,Neutral
2020-12-21, General Manager,Greater Noida,"Former Employee, more than 5 years",overall good company,"great service at lge less to learn and more to grow
","working hours are high even leaves you at 8
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Neutral
2020-12-19, Senior Software Engineer,Seoul,Current Employee,no vision,"good work and life balance
","low salery, no future vision
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Neutral
2020-12-17," Senior Manager, Operations",Seoul,Current Employee,Great Company,"Such a great phenomenon with co-workers
","Very Low Low Low salary
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-11, Senior Design Manager,"San Francisco, CA",Current Employee,Changes,"It is a great experience getting to work with and make friends with Korean and learn about Korean culture
","Difficult to ship without huge compromises. Leadership changes every 2 years.
",,3.0,Disagree,N/A,Agree
2020-12-11, Senior Program Manager,"Troy, MI","Current Employee, more than 3 years",None,"Good medical insurance and good salary
","Night time work needed is kind of cons
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,Agree
2020-12-09, MIS Executive,Tirupati,Current Employee,GOOD,"Good company Time to time report Family bonding
","Low salary Late nights No incriment s
",,4.0,N/A,N/A,N/A
