date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-09-30, Product Engineer,"Folsom, CA",Current Employee,"Skip it, unless no choice",,"stent pay, possible site to site country to country transfer.
Cons
Do not care about employees nor work life balance and often avoid overtime pay.
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Disagree,Neutral
2021-09-30, Associate Engineer,"Woodlands New Town,",Current Employee,Good company,"Pay, benefits and company is good.
","Need to OT every week
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, MNAND Product Engineer,Singapore,"Current Employee, more than 1 year",Lack of Synergy at here,"Diversified and multicultural working environment. 
OT is given.
","Some team always push out their responsibility when issue comes in. Lack of Synergy in resolving issue.
Advice to Management
Appreciated if some team member is willing to take up some level of responsibility for their job role. Too many resources allocated in many useless team causing some teams are free and some teams are busy. Should have focus more on high profit margin Project.
Be the first to find this review helpful
Helpful
Share
Repor","Appreciated if some team member is willing to take up some level of responsibility for their job role. Too many resources allocated in many useless team causing some teams are free and some teams are busy. Should have focus more on high profit margin Project.
Be the first to find this review helpful
Helpful
Share
Repor",1.0,Disagree,Neutral,Disagree
2021-09-29, Facilities Engineer,,"Former Employee, more than 1 year",Great place to work in singapore,"Great place to work in singapore
","No cons as my experience
Advice to Management
Improvisation of team members work life balance.
Be the first to find this review helpful
Helpful
Share
Repor","Improvisation of team members work life balance.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,N/A
2021-09-29, Full Stack Developer,Hyderābād,"Current Employee, more than 1 year",Good company,"Work life balance good here.
","Nothing as I found till now.
Advice to Management
All good
Be the first to find this review helpful
Helpful
Share
Repor","All good
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-29, Senior Engineer,Singapore,Former Employee,Good for hands on experience,"Good colleagues. Advanced engineering tools.
","Need OT and rush for challenging deadline.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Neutral
2021-09-29, Equipment Engineer,Singapore,Current Employee,Ok company,"Benefit is ok.
Flexible working time
","Low pay raise
Micro manage management
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,Agree
2021-09-28, Senior Engineer,Taichung,Current Employee,Good place to work,"Very care of Employee's health
","High pressure for the working environment
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-28, Systems Architect,"San Jose, CA","Former Employee, more than 3 years",Good company less pay,"People are nice. Treat each other well.
","Less pay compared to other Silicon valley companies
Advice to Management
Shift San Jose branch to Texas or places where the salary is competitive.
1 person found this review helpful
Helpful
Share
Repor","Shift San Jose branch to Texas or places where the salary is competitive.
1 person found this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-28, Process Engineer,"Boise, ID","Current Employee, more than 10 years",Overall good,"Good Pay
Good Cafeteria...now
Benefits
Location
Can move within the company
","New ""shift left"" push from management has pitted employees against each other
People don't share information like they use to
Upper management blatantly lies to employee, like all the time
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-28, Manager,"Seattle, WA",Former Employee,good,"smart colleagues in innovation areas
","uncompetitive salary compared with FAANG
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-28, Data Engineer,Hyderābād,"Current Employee, less than 1 year",Very nice culture,"Work life balance. Good location. Nice people
","As of now I can't find any downside
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-27, Channel Marketing Manager,"Boise, ID",Current Employee,Good company and pays well,"Has great pay, and time off. 
Great leaders and team members
Good place to grow career
","Hard to get raises in current role and its easier to move departments to get a raise.
1 person found this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-27, Senior Engineer,"Boise, ID","Current Employee, more than 1 year",Do not join,"small town, old institution, reasonable salary
","extensive politics, they need idea but do not want you to work.
Advice to Management
lower the politics level.
1 person found this review helpful
Helpful
Share
Repor","lower the politics level.
1 person found this review helpful
Helpful
Share
Repor",1.0,N/A,N/A,N/A
2021-09-27,Anonymous,,"Current Employee, more than 5 years",Culture,"A company which does not stop in doing better for the employees and community
","Over-committed employees who burnout as too many things to do and yet so little time.
Advice to Management
Employees tend not to speak up as it will make them look vulnerable. Most of them would prefer to look for opportunities outside Micron.
Be the first to find this review helpful
Helpful
Share
Repor","Employees tend not to speak up as it will make them look vulnerable. Most of them would prefer to look for opportunities outside Micron.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,N/A,Agree
2021-09-26, Process Technician III,"Manassas, VA",Current Employee,It's a job!,"The benefits packabe is good.
","Probably the same with other companies but promotions within are limited.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-26, Engineer,,Current Employee,Good pay and management,"Good salary and benefits. Management is good.
","Fast paced manufacturing environment. Require weekend support if problem arises.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-26, Engineer,Taichung,"Current Employee, more than 1 year",PYE,"it is ok for new graduate
","so so for experienced individual
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-25, FA Engineer,Taichung,"Current Employee, more than 3 years",Great place to work,"Managers are smart and expert
","Too much workload no manpower
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Agree,Agree
2021-09-25, IE Engineer,Taichung,Current Employee,work-life balance,"flexible working hour and care people
","work load heavy with over time paid
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-25, Senior Engineer,Hachiōji,Current Employee,Better sarary compared to other Japanese company,"Better sarary than the other Japanese electric company.
","There is some risk to be laid off.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-24, Advanced Mask Engineering,"Boise, ID","Current Employee, less than 1 year",Company Review,"1. Inclusion and Diversity
2. Trains new hires really well
3. People oriented company- helps their employees in every possible way
4. Amazing handling of the Covid situation
","1. Low salary as compared to competitors
2. Do not even give joining bonus
Advice to Management
Increase the salary rates for people working in Boise, Idaho. Boise living costs have risen now and it is difficult to survive with such a low salary rate.
1 person found this review helpful
Helpful
Share
Repor","Increase the salary rates for people working in Boise, Idaho. Boise living costs have risen now and it is difficult to survive with such a low salary rate.
1 person found this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-24, Process Engineer,"Centreville, VA",Current Employee,Stressful with less pay,"Less taxes need to be paid
","Micromanagement and wrong allocation of resources
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,N/A,N/A
2021-09-24, Data Analyst,,"Current Employee, more than 1 year",A perfect place to work,"1. Good place for who have technical aspiration.
2. Very good scope for a career.
3. Work-balance life
","1. Not very much probably we would have a pay-in balace issues.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-23, Senior Manager,Singapore,"Former Employee, more than 5 years",Wonderful focus on DEI,"Wonderful focus on Diversity and inclusion. Management lead by example.
","Work-life balance is a challenge.
Advice to Management
Allow each employee to contribute based on their strength.
Be the first to find this review helpful
Helpful
Share
Repor","Allow each employee to contribute based on their strength.
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-23, Internship,Hyderābād,"Former Employee, less than 1 year",Best Culture,"1. Helping Environment
2. Good Stipend
3. Learning Materials
4. HR is good
5. Good work life balance
","1. Not easy to get into
Advice to Management
The management is good. Everyone is approachable.
Be the first to find this review helpful
Helpful
Share
Repor","The management is good. Everyone is approachable.
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-23, Sales Forecast Analyst,"Boise, ID","Current Employee, less than 1 year",Great company that expects a lot but rewards your efforts.,"Compensation is above average for the area and the benefits are quite good.
","Some departments work their people too hard.
Advice to Management
Continue to foster collaboration and a team approach to problem solving
1 person found this review helpful
Helpful
Share
Repor","Continue to foster collaboration and a team approach to problem solving
1 person found this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-23, Production Supervisor,"Boise, ID","Current Employee, more than 1 year",Great place,"Good pay, high ceiling for growth
","Too political for my taste
Advice to Management
N/a
1 person found this review helpful
Helpful
Share
Repor","N/a
1 person found this review helpful
Helpful
Share
Repor",3.0,N/A,N/A,N/A
2021-09-23, Automation & Controls Engineer,,"Former Employee, more than 8 years",Good starter job,"Training, exposure, benefits, starting salary
","Culture, hierarchy, pay, opportunity, management structure
Advice to Management
There is a top down management cultural problem this is affecting the employee base and culture. Changes need to happen at the top.
Be the first to find this review helpful
Helpful
Share
Repor","There is a top down management cultural problem this is affecting the employee base and culture. Changes need to happen at the top.
Be the first to find this review helpful
Helpful
Share
Repor",2.0,Disagree,Disagree,Neutral
2021-09-23, Process and Equipment Engineer,,Current Employee,Work Culture,"OT is given to you
","No work Life Balance in the company.

Need to work on weekends
Advice to Management
Help to integrate work life integration for the mental health of the employees
Be the first to find this review helpful
Helpful
Share
Repor","Help to integrate work life integration for the mental health of the employees
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-22, Director,"San Jose, CA","Current Employee, more than 1 year",OK,"Employee morale is high, minimal political friction.
","Executive level micro manages. Paranoid culture.
Advice to Management
Executive level needs to delegate more authority to middle management.
1 person found this review helpful
Helpful
Share
Repor","Executive level needs to delegate more authority to middle management.
1 person found this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Disagree
2021-09-22, Planning Engineer,,"Current Employee, more than 5 years",Dynamic & highly demanding role,"Many learning opportunities, guidance from experts and innovative solutions. Good promotion route too if you invest all your time in.
","Very fast paced and heavy workload requiring a lot overtime to perform in the role. High turnover rate
Advice to Management
Clearer scope and better benefits to retain talents. Manage workload and responsibilities of team members to prevent burnt out.
Be the first to find this review helpful
Helpful
Share
Repor","Clearer scope and better benefits to retain talents. Manage workload and responsibilities of team members to prevent burnt out.
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Disagree,Neutral,Neutral
2021-09-22, Equipment Engineer,"Woodlands New Town,","Current Employee, more than 3 years",Tips before getting in,"Able to claim OT pay
","When they ask if you are flexible to OT, they really mean it.
Advice to Management
NA
Be the first to find this review helpful
Helpful
Share
Repor","NA
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-22, Senior Engineer,Singapore,Current Employee,Good,"Good benefits like performance bonus,share options
","Don’t want to comment on this
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-21, Assembly Technician,,Current Employee,Assembly MAM Technician,"Great Place to work and great
","Minimum Wages but good OT
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-21, Staff Engineer II,,"Current Employee, more than 3 years",Worst company to work,"The company pays good compansation
","The managers are GOD here.
There is no say of Empoyee in performance review. He \ She can't put his points.
The first ever company with such process where manager will write the Goals, Achievements and he will only review it.
Also he will whole and sole decision maker. 

Don't fall for money . there is no good process in the company
Advice to Management
Please review other good companies review processes in India and follow it.
Even Infy, TCS and HCL have robust review process.
2 people found this review helpful
Helpful
Share
Repor","Please review other good companies review processes in India and follow it.
Even Infy, TCS and HCL have robust review process.
2 people found this review helpful
Helpful
Share
Repor",1.0,Disagree,Disagree,Neutral
2021-09-21, IT Engineer,Singapore,"Former Employee, less than 1 year",About the Company,"Good Pay and a lot of learning
","No Work Life Balance throughout
Advice to Management
Promote ways to have work life balance
Be the first to find this review helpful
Helpful
Share
Repor","Promote ways to have work life balance
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-21, Software Engineer,Singapore,Current Employee,NA,"Benefit quite good and allowance
","Working hour, annual leave too less
Advice to Management
Na
Be the first to find this review helpful
Helpful
Share
Repor","Na
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Agree,Neutral,Neutral
2021-09-21, Senior Firmware Engineer,Hyderābād,Current Employee,NA,"I don't know pros as of now
","no growth, rude manager, politics,
1 person found this review helpful
Helpful
Share
Repor",,1.0,Disagree,Neutral,Disagree
2021-09-20, Process Engineer,,Current Employee,Good Place,"flexible, driven environment and colleagues.
","pressurized and risky business environment
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-20, Electrical Engineer,,"Former Employee, more than 10 years",A fast-paste environment,"Cutting-edge technology and fast-paste environment.
","There were restrictions in applying for internal positions. However, this may not be true today.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,N/A
2021-09-20, Engineer,"Woodlands New Town,","Current Employee, more than 3 years",Review,"Friendly to new graduates. Pay can be quite high for graduates if willing to do OT.
","Compulsory to come back to office during covid period. OT Salary cap remains the same for very long.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,N/A
2021-09-20,Anonymous,,"Current Employee, more than 1 year",Good workplace,"Management listen you requirement and help you accordingly
","I didn't find any downside at micron
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-19, Process Engineer,Singapore,"Former Employee, less than 1 year",Good learning opportunity for fresh grad,"Fast-paced, lots of things to learn, steep-learning curve with their in-house technology
","A lot of process issues, might need you to work during off days. High turnover rate, short-staffed, high workload. Long working hours
Advice to Management
Care more about employees well-being
Be the first to find this review helpful
Helpful
Share
Repor","Care more about employees well-being
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Disagree,Neutral,Neutral
2021-09-19, Process Technician,Singapore,Current Employee,so so,"unlimited OT, yearly bonus based on the individual performance and the company performance
","base pay underpaid and unprofessional HR
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Agree,Neutral,Neutral
