date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-10-02,Anonymous,,Current Employee,Great company,"Benefits that extend beyond normal
","Long hours
Higher than normal turnover
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-10-01,Anonymous,,"Current Employee, less than 1 year",Still unsure how to feel,"I worked at a startup before Microsoft. There are a lot more hoops to jump through to get things done, but overall I'm enjoying it. They pay well and the benefits are great. The resources Microsoft has for professional development is awesome too. I think my manager really cares about work life balance and encourages us to take time off if we need it.
","I think it depends on your manager or section of the company. I guess the biggest con for me can be that North star metrics ruling over your every thought and action to the point where you may end up doing something that isn't great but it really beefs up the metric.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,Agree
2021-10-01, Sales,"Cleveland, OH","Former Employee, more than 5 years",Just OK...,"The people in the field are smart and generally helpful.
","Way too many mangers/metrics/and administrative work that has nothing to do with the customer.
Advice to Management
Cut in half...
Be the first to find this review helpful
Helpful
Share
Repor","Cut in half...
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Agree,Neutral,N/A
2021-10-01, Software Development Engineer,,"Former Employee, less than 1 year",Company review,"Best to improve coding 
Good work culture
Best work ethic
","Nothing to mention about cons of Microsoft.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,N/A
2021-09-30,Anonymous,,"Current Employee, less than 1 year",good,"Good Work Life Balance Here
","Nothing that I have yet noticed
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30,Anonymous,,"Former Employee, less than 1 year",Excellent,"Salary is added advantage to this
","nothing as cons to this
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30, SDE,"Redmond, WA","Current Employee, more than 1 year",Good WLB and reasonable pay,"* Good WLB
* Perks+
* Flexibility to WFH
","*Pay is considerable low compared to similar companies
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-30, Technical Support Engineer,Bangalore,"Current Employee, more than 1 year",good but with a caveat,"work with best in-class software. 
good salary
fixed shift 
good timeoff options
","night shift sucks
if you are planning to become a developer don't take this job to get a short cut coz it is very very hard. rather choose some startup then build skills and the come to MS
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Disagree,Agree,Agree
2021-09-30, Software Engineer II,"Redmond, WA","Current Employee, more than 5 years",Good company to work for,"Flexible work schedule, good benefits
","Culture varies wildly between teams
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-30, Principal Software Engineer,"Redmond, WA",Current Employee,Nadella is pushing us to act morally,"Generally moral business models
Fun challenges
","Mega corporations gonna be mega corporations
Advice to Management
Abandon advertising-based business models
1 person found this review helpful
Helpful
Share
Repor","Abandon advertising-based business models
1 person found this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-30, Administrative Aiide,"Montreal, QC",Current Employee,great time,"good work balance with free time
","hard to advance thrr corporate ladder
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Software Engineer II SDE2,Hyderābād,"Current Employee, more than 3 years",NA,"Good culture, work-life balance, good campus
","some teams are slow moving
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,N/A
2021-09-30, Software Engineer,,Current Employee,Good,"Good snacks
Free drinks
Good work 
Massive overtime payments during the weekend
","Too much noise sometimes when cold
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Program Manager,"Redmond, WA","Current Employee, more than 3 years",Great Experience,"Great work-life balance, amazing benefits, has the best 401k matching on the market, and able to learn from senior leaders easily.
","Large company feel depending on the team of choice.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30, Program Manager,,"Current Employee, more than 1 year",PM,"They give raises and stock rewards yearly.
","It's a very cold place in seattle
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Senior Software Engineer,"Redmond, WA","Current Employee, more than 8 years","Great for growth, culture and balance","The teams I stayed are all great, manager and teammates are all friendly, love to help, kind and patient. At microsoft, the work life balance is one of the key thing for employee, where you won't feel under pressure as software engineer in our org.
","Without regular pressure, it requires a lot self-motivation to advance your career. Salary and bonus are something not very competitive in the market though.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,N/A
2021-09-30, Human Resources Director,"Redmond, WA","Former Employee, more than 10 years",Great company just too big,"Great benefits, very good opportunities to have a career specially if based out a location where there is a big structure.
","Corp HQ became very much about politics
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30, Customer Success Account Manager,"Charlotte, NC","Current Employee, more than 1 year","driving the adoption of the three Microsoft clouds-Azure, Dynamics, M365.","Great exposure to C-Suite clients.
","Ambiguity in role responsibilities and expectations.
Advice to Management
Stop changing the role responsibilities every year.
Be the first to find this review helpful
Helpful
Share
Repor","Stop changing the role responsibilities every year.
Be the first to find this review helpful
Helpful
Share
Repor",2.0,Disagree,Agree,Disagree
2021-09-30, Global Security,,"Former Employee, more than 5 years",Microsoft Alumni,"Excellent pay and benefit structure.
Emphasize work life balance. 
Transitioned to WFH effortlessly during pandemic. 
Closed all retail stores but kept all store employees working under new structure.
","Retaliate if you answer pulse surveys truthfully. 
Big push to eliminate Caucasians in favor of ethnic employees.
Advice to Management
Need deeper knowledge of middle management actions around diversity, inclusion and allyship.
Be the first to find this review helpful
Helpful
Share
Repor","Need deeper knowledge of middle management actions around diversity, inclusion and allyship.
Be the first to find this review helpful
Helpful
Share
Repor",3.0,N/A,Agree,Agree
2021-09-30, Junior Software Developer,,Current Employee,Very good company,"Very good company and salary is very high
","CTC is high but in hand salary is less
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Sales Manager,"Seattle, WA",Former Employee,Firing on All Cylinders,"Leadership gets it and is making the right moves.
","Typical challenges that you would expect with any big company
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-30,Anonymous,,Current Employee,Good,"Good development tools and good people
","very busy all the time
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30,Anonymous,,Former Employee,Good,"Excellent benefits and work environment
","Demanding, tight deadlines and long hours.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-30, Software Engineer ,Hyderābād,"Current Employee, more than 3 years",Life @ Microsoft,"Best employee treatment at Microsoft
","- - - - -
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
