date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2020-12-29,Anonymous,,"Former Employee, more than 8 years",Work at Nokia,"Technology leadership in the telecom space
","slow moving - no innovation
",,3.0,Disagree,Neutral,Disagree
2020-12-29, Management Trainee,Calcutta,Former Employee,Nice,"It has nice work environment
","Nothing as such . All good
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,N/A,N/A,N/A
2020-12-29,Anonymous,,Former Employee,Good,"Awesome environment. Good for developers
","I don’t have any cons here
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-29, Senior Software Engineer,Bangalore,"Current Employee, more than 8 years",Working at nokia,"Working from 10 years , very good people and very good company
","Its nice place to work in not sure of cons
",,5.0,N/A,N/A,N/A
2020-12-28,Anonymous,,"Former Employee, more than 1 year",Internship,"Do your best and get job
","Nothing just work work work
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,N/A,N/A,N/A
2020-12-27, Financial Controller,"Gurgaon, Haryana, Haryana","Former Employee, more than 3 years",Great company to work at,"Good culture and work life balance
","Limited growth opportunities and repetitive work
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-27, Supply Chain Manager,"Dallas, TX",Current Employee,Excellent place to work.,"Nokia is a company for open opportunities.
","Needs to improve multicultural environment.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-27, Software Engineer,Wrocław,Current Employee,Good workplace with bad projects,"Great place to work and develop early in a programmers carreer
","Salary is average in most departments
",,4.0,Agree,N/A,N/A
2020-12-26, Graduate Engineering Trainee GET,,"Former Employee, less than 1 year",Good,"Good work environment for freshers.
","Slow pace of progress in general.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-26, Senior Network Analyst,Douala,"Former Employee, more than 3 years","Experienced Bilingual IT Network Infrastructure Technical Support, CCNA, ITILv3, Microsoft 365, AWS Cloud, NSE2","Culture, You go out to grow up, Trainings
","No downsides to work at Nokia
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2020-12-26, Business Service Consultant,Jakarta,"Former Employee, more than 1 year",Good Place to Work,,"ltant in Jakarta
Recommend
CEO Approval
Business Outlook
Pros
Good Environment, complete facility, full benefits
Cons
strict rule for in and out the office
",,5.0,Agree,Agree,Disagree
2020-12-25, Solution Consultant,Moscow,Current Employee,the place of confidence,,"ltant in Moscow
Recommend
CEO Approval
Business Outlook
Pros
stable salary, sometimes even competitive to market or even above, e-learning capabilities, worldwide projects
Cons
lack of formal trainings requirements and probably after many years you might discover you lack certificates which are highly welcome if you try to find something outside
",,5.0,Agree,Neutral,Agree
2020-12-24, Network Engineer,,"Current Employee, more than 8 years",Technology,"The company Selld cutting edge technology
","None none none none none
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Neutral
2020-12-23, Specification Engineer,Timişoara,"Current Employee, less than 1 year",Review,"Multicultural environment; Values the employees; 0% pressure; Remote work; Benefits; Buddy system; 100% fun.
","Remote work exists, but only if it is inside the country.
",,5.0,Agree,Agree,Agree
2020-12-23, Cyber Security Professional,Bangalore,"Current Employee, less than 1 year",Professional Workplace,"Highly professional, balanced work life, perks, good incentives, fab work environment
","None noticed by me as yet
",,5.0,Agree,Agree,Agree
2020-12-22, Principal Technical Specialist,Bangalore,"Former Employee, more than 5 years",A great company to work for,"Employee First Support Growth Flexible Work Hours
","Not much cons to share about
",,5.0,N/A,N/A,N/A
2020-12-22,Anonymous,,Current Employee,Review,"Progressive, continuous development, freedom to explore
","Some Hierarchical management disadvantages can be observed
",,4.0,N/A,N/A,N/A
2020-12-22, Computer Operator,Bangalore,Current Employee,I felt not so good,"I like to do computer work
","I want to shift in Bangalore
",,2.0,Agree,Agree,Agree
2020-12-22, Chef De Projet,Marne-la-Vallee,Current Employee,Capitalism,"World wide compagny, Nice environment
","Even dust should be rentable
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Neutral,Neutral
2020-12-22, Expert Integration Engineer,Istanbul,Current Employee,Nice to work,"No pressure, good communication with managers, great to increase your experience, travelling the world
","Low salaries, hardship of getting promoted
",,4.0,N/A,N/A,N/A
2020-12-22,Anonymous,,"Current Employee, more than 8 years",Overall,"Customer focus, great customers, many options to explore, Ethical , Follow process, good products , demand
","Do not have any points for now
",,4.0,Agree,N/A,Agree
2020-12-22, Technical Specialist,"Gurgaon, Haryana, Haryana",Current Employee,good place to work!!,"work-life balance is good and healthy working environment !!
","none of which I can remember.
",,5.0,Agree,Agree,Neutral
2020-12-22, R&D Engineer,Bangalore,"Current Employee, less than 1 year","Good Work Culture, supportive management","Good work culture. Supportive management. New technology
","You will get low compensation. This is not as per Name.
",,5.0,Agree,Agree,Agree
2020-12-21, IT Service Manager,"Naperville, IL","Former Employee, more than 10 years",Review,"Ability to meet Internal and external customer needs.
","Does get hectic as it is a 24x7 Operations
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
