date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-10-02, Applications Developer III,Hyderābād,"Current Employee, more than 1 year",Excellent,"Best work life balance, insurance, incentives
","No technical growth,no salary increments
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-10-02, BDC Representative,Noida,"Current Employee, more than 1 year",BDC Salary,"Learning Opportunity in quick time
","No yearly appraisals in same role
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-10-01,Anonymous,,Current Employee,Work here,"Great people and love the work we do
","Can be slow sometimes but that’s expected
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,N/A
2021-10-01,Anonymous,,Current Employee,Super,"Work life culture technology, skills everything is gud
","As of now no cons
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-10-01, Software Engineer,"Boston, MA",Current Employee,N/A,"Oracle has very good job security
","The work does not require much new knowledges such as cloud, AI, etc.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-10-01, Senior Manager,Nairobi,Former Employee,Technology Company,"Competitive on premise and cloud solution offering
","Need to understand their cloud strategy
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,N/A,Neutral
2021-10-01, Principal Software Engineer,"Cambridge, East of England, England, England",Current Employee,Go for it,"Flexible, part-time and/or remote working is accepted, immediate managers are supportive, autonomy and creativity is encouraged, the work indirectly benefits charitable organisations, and colleagues have side-interests and hobbies they're happy to chat about. The office also has a well-stocked kitchen in non-pandemic times.
","Corporate bureaucracy outside your team can be hard to navigate
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-10-01, Account Executive,"Geneva, Geneva","Former Employee, less than 1 year",Very very competitive and tough industry.,"Salary, brand and experts available
","No support from management.
Very very competitive, no team spirit.
Very toxic atmosphere.
Flex office organisation.
No young folks.
Crazy organisation 6 sales for the same client same contact person.
Advice to Management
Should invest more in human interactions, ask for management survey.
Reorganise sales team, clients are not willing to talk to 6 different sales with a massive pressure.
Be the first to find this review helpful
Helpful
Share
Repor","Should invest more in human interactions, ask for management survey.
Reorganise sales team, clients are not willing to talk to 6 different sales with a massive pressure.
Be the first to find this review helpful
Helpful
Share
Repor",1.0,Disagree,Neutral,Neutral
2021-09-30,Anonymous,,"Current Employee, less than 1 year",Amazing place to work!,"Amazing place to work! Very nice management and getting to learn a lot!
","Nothing that I can think of at the moment.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30, Financial Analyst,,"Current Employee, less than 1 year",we can build up our career with this company,"we can see lots of benefits other then the process
","hike percentage is low, compare to other companies
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
