date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-10-01, Technical Account Manager,,Former Employee,Great company,"Great company philosophy and stable company
","Salary is not great and promotions are heard to get
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30, ECommerce Manager,Kuala Lumpur,Current Employee,Senior Digital Communication in Panasonic,"Friendly colleague, stable and well established company, organized system
","slow paced environment, ecommerce in growing stage, anything also need get approval and take long time to proceed
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Neutral,Agree
2021-09-30, Legal Executive,Chennai,"Current Employee, more than 1 year",Legal and secretarial,"Flexible management
Clean environment 
Friendly colleagues
","Distance 
Decreased payroll from the job market 
No job satisfaction
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,N/A,N/A
2021-09-30, Senior Sales Executive,,"Current Employee, less than 1 year","Excellent Company to make your career, learn and grow","Work Culture 
Management
Leaders 
Learn and grow
One employee can actually become productive in this type of environment.
","Nothing as such.
You can do your job peacefully.
Advice to Management
Keep up your good work like they way you are doing.
Be the first to find this review helpful
Helpful
Share
Repor","Keep up your good work like they way you are doing.
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-30,Anonymous,,Current Employee,Good employer,"Huge intercultural experience
Trainings and self-education
","Rotation is almost not accessible
Too much formal in processes
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-28, Director,"Newark, NJ","Former Employee, more than 3 years",Panasonic,"Great new facility to work in.
","Many leaders lack empathy and leadership skills.
Advice to Management
Provide leadership training
1 person found this review helpful
Helpful
Share
Report
Panasonic Response
Talent Experience Specialist
We are sorry to hear about your negative experience with management. Ensuring that our employees have a positive experience is important to us, so we will share this feedback with leadership","Provide leadership training
1 person found this review helpful
Helpful
Share
Report
Panasonic Response
Talent Experience Specialist
We are sorry to hear about your negative experience with management. Ensuring that our employees have a positive experience is important to us, so we will share this feedback with leadership",3.0,Disagree,Agree,Disagree
2021-09-23, Trainee,,Former Employee,Good for experienced people,"Well organised production management with less pressure on workers
","Not easy to get close with people
Be the first to find this review helpful
Helpful
Share
Report
Panasonic Response
Talent Experience Specialist
Continuous improvement is at the core of our business, and we value honest Glassdoor reviews to help us identify areas of opportunity. We’ll continue to evolve our approach to leadership to ensure all employees feel supported",,4.0,N/A,N/A,N/A
2021-09-22, Deputy Manager,"Gurgaon, Haryana, Haryana","Current Employee, more than 1 year",It is ok,"Brand name, big office, near to ambience mall
","Office politics
Low increment
High attrition rate
Advice to Management
Nothing
Be the first to find this review helpful
Helpful
Share
Repor","Nothing
Be the first to find this review helpful
Helpful
Share
Repor",2.0,Disagree,Disagree,Disagree
2021-09-20,Anonymous,,"Current Employee, less than 1 year",great company,"as long as you have the ability you will get the posisition you want.
","so far not found yet...
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-15, Principal Engineering Manager,"Bedok New Town,","Former Employee, more than 10 years",Moderate company,"Stable company, will get to learn a lot in a short time as you will require to engage on multiple roles and task in every project.
","Fast paced development, expects your ability to engage in multiple roles quickly and efficiently, business growth and strategy is behind compared to competitors
Advice to Management
Need to have a clear growth strategy years ahead, start investing more on people technological growth and skills.
Be the first to find this review helpful
Helpful
Share
Repor","Need to have a clear growth strategy years ahead, start investing more on people technological growth and skills.
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Agree,N/A,Disagree
2021-09-15, Customer Service Representative,"Cardiff, Wales, Wales",Former Employee,Job Pros and Cons,and ,"15 Sept 2021 - Customer Service Representative in Cardiff, Wales, Wales
Recommend
CEO Approval
Business Outlook
Pros
Flexy time, good working hours
Cons
Strict dress code, micro management
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-15, Assistant Engineer,,"Current Employee, less than 1 year",I'm working for customer quality of audio system. I'm responsible for zero defects monitoring & rejection data analysis.,"Work environment is good.
Team works
You get more learning opportunities
","I don't think there is any downside
Advice to Management
Nothing
Be the first to find this review helpful
Helpful
Share
Report
Panasonic Response
Talent Experience Specialist
Thank you for taking the time to share your feedback. We’re happy to hear that you had a positive experience building your path forward and working across the organization","Nothing
Be the first to find this review helpful
Helpful
Share
Report
Panasonic Response
Talent Experience Specialist
Thank you for taking the time to share your feedback. We’re happy to hear that you had a positive experience building your path forward and working across the organization",5.0,Agree,Agree,Agree
2021-09-13, Engineer,Kulim,Former Employee,Overall good,"Great experience and cross function knowledge
","Benefits and low increments annually
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-13, Import Specialist,"Gurgaon, Haryana, Haryana",Former Employee,Panasonic,"Good working culture, supportive staff
","Career growth is very slow, and bit politics
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-13,Anonymous,,Current Employee,Workload Ok if you don’t mind salary low,"Workload not heavy
Bonus is good
","Salary is low compare to others
Japanese culture
Be the first to find this review helpful
Helpful
Share
Report
Panasonic Response
Talent Experience Specialist
We appreciate you sharing your feedback on this matter. Our organizational growth and success allow for us to reward top performers financially. We will continue to monitor market trends to ensure we are offering competitive salaries to our employees when possible",,5.0,N/A,N/A,N/A
