date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2020-12-15, Material Handler,"Elk Grove, CA","Former Employee, more than 1 year",You've been warned,"- Down to earth coworkers - Easy job, albeit mind-numbingly too easy
","- Terrible management - Power tripping debugs, leads, and supervisors - Needlessly strict security (ex: high metal detector sensitivity) - Favoritism (particularly towards certain ethnicity) - Terrible at taking feedbacks - Ugly uniforms This is the kind of job you want to do when you have nowhere else to work for; a temporary job to take while looking for a real job. It's certainly not something you want to advance from, or let alone make a career of.
",,1.0,Disagree,N/A,Disagree
2020-12-14, Engineer Program Manager,Taipei,Current Employee,Pegatron EPM,"Flexible working time Big company, guarantee jobs for lifetime.
","Salary The atmosphere is not good since current CEO mindset is to cost reduction on every thing.
",,4.0,Disagree,Neutral,Neutral
2020-12-10, Sales,Taipei,"Current Employee, more than 8 years",Sales Represensative,"great working environment to work and great colleages
","overtime work all the time. no life balance
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2020-12-10, Technical Program Manager,Taipei,Former Employee,Viewers with OEM/ODM experiences are suggested to join,"For people that are interested in running projects in an intense timeline, solving issues, communication with in-house engineers, you will get satisfied.
","May have a lot of overtime works. Customer mainly are from the U.S, so timezone differences may cause early or late meetings.
",,4.0,N/A,N/A,N/A
2020-12-09, Mechanical Engineer,Taipei,"Current Employee, more than 3 years",Over time work,"More vacation days than normal Taiwan company
","Over time work all the time
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Neutral,Neutral
2020-11-30, Engineer Program Manager,Taipei,"Current Employee, more than 1 year",Communication,"Pretty flexible to allocate your time at work.
","Big company, too many process.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Disagree,Neutral
2020-11-16, Power Engineer,Taipei,Current Employee,Great work place to be,"Good place to stock in
","Welcome new graduate to be here
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2020-11-06, RF Engineer,Taipei,Current Employee,For RD center,"Can get balance between work and life
","Less products in design center
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Neutral
2020-11-03, Project Manager,Taipei,"Former Employee, more than 1 year","Nice and experienced colleague, great benefits.","Most people in the company (at least in my team) are experienced and nice. They would like to share their knowledge or experiences. I was guided through complicated situations many times. And since it's a sizable company, it provides decent benefits like inside restaurants and cafe, discounted movie tickets.
","Some positions have the problem of excessive working hours
",,5.0,Agree,Agree,Neutral
2020-11-03, Line Manager,Ostrava,Former Employee,LIne,"well done processes good opportunity to learn
","gender diversity didnt work well. foreigner had disadvantage
",,5.0,N/A,N/A,N/A
2020-11-02, Project Manager,,"Current Employee, more than 3 years",Not much to talk about tbh,"easy place easy place easy place
","money is too less yeh
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-10-31, Project Engineer,Jakarta,Former Employee,Good for starter,"The business has room to grow. Work with many disciplines.
","Small opportunity to work your way up. Networking is really really important for you to grow.
",,3.0,Agree,N/A,Neutral
2020-10-24, Systems Validation Engineer,,"Current Employee, more than 8 years",Validation the Product,"Company’s location near by home
","Co-work with RDs and customer
",,4.0,Agree,N/A,Agree
2020-10-01, Apple Genius,,Former Employee,good for problem solving,"good for problem-solving and quick learners
","Not permanent and shift timings are a little bit annoying
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-09-15, Associate Project Manager,,"Former Employee, more than 1 year",Not worth wasting your time,"Some Colleagues were great. nothing else
","bad culture. micromanagement. chaotic. bad supervisor
",,2.0,Disagree,Disagree,Disagree
2020-09-14, Technician,,Current Employee,Self Development,"Great place to showcase talent and get self improvement.
","Continuous and same working habits
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Neutral,Agree
2020-09-08, Project Manager,Taipei,"Former Employee, less than 1 year",Fair and tough,"Good bonus with service offer at head office.
","Extremely long working hours at China factories
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Neutral
2020-08-27, Industrial Designer,Taipei,Current Employee,great place for freshman training,"great atmosphere, great training program, great communication.
","CEO going to shut down the design center is a retarded.
",,4.0,Disagree,Neutral,Neutral
2020-08-25, Analyzer,"Elk Grove, CA",Former Employee,Fairly good entry level job,"Decent pay Paid training provided for the job
","Performance is judged based solely on quantity, without considering the difficulty level
",,3.0,Agree,Neutral,Neutral
2020-08-22, Section Manager,Taipei,"Former Employee, more than 8 years",Nice Workplace,"I worked in a new building, so the workplace was really gorgeous! Managers there are really open minded and willing to empower you to do some decisions. Colleagues there are also friendly and you can easily get along with very well. Just like friends.
","The workload and bonus highly depend on the customer and the project you deal with.
",,4.0,Agree,Agree,Neutral
2020-08-18, Automation Engineer,,Former Employee,Good place for Freshers,"Easy work environment, Friendly staff
","less pay, takes more time for promotions
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-08-15, SMT Production Senior Engineer,,Former Employee,I total 13+ years of experience in I phone and flexpcb smart phone mobile manufacturing and mobile phone chargers.,"This is here above I have attached my updated resume for the job position of SMT and backend PRODUCTION senior engineer
","including both in OEM and EMS companies So plz give me a chance to work in your organization for any suitable post. Regards Mohan babu.k
",,5.0,N/A,N/A,N/A
2020-07-20, Senior Technical Manager,Taipei,"Current Employee, more than 1 year",Traditional OEM/ODM company.,"It is rarely to hear layoff employees.
","It is like a factory. There is rare opportunities to be promote because there are too many people waiting the higher positions.
",,3.0,N/A,Neutral,Neutral
2020-06-30, Account Manager,Taipei,"Former Employee, more than 5 years",Stable job but with unpaid overtime work,"Company is big, stable and organized People/supervisors are mostly nice
","Some position requires overtime work and there's no pay for that CEO is very stingy and cutting down employers benefits
",,4.0,Agree,Agree,Neutral
2020-06-17, Account Manager,Taipei,"Former Employee, less than 1 year",Acceptable company,"Relatively flexible working hours & good bonus
","Work overtime all the time
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2020-04-29,Anonymous,,"Current Employee, more than 1 year",Average Company,"Friendly co-workers, good entry level engineering job
","No room for growth, No increase in pay
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,Agree
2020-03-13,,,Former Employee,"Engineer in Elk Grove, USA branch","Only good thing is, flexibility in work.
","Worst company ever to work with. Poor management and clear partiality to their own people. No support from management and salary is also very very low.
",,1.0,N/A,Neutral,Neutral
2019-12-11, Production Supervisor,"Jeffersonville, IN","Former Employee, more than 3 years",Not a place to stay,"You got a job , that’s all.
","Long hours, the focus on the repair goal is to push the unit out. I feel bad to whoever send their product here. I don’t blame why the Big companies like Apple, HP, Dell, Toshiba pulled their business. The sales guy is joke to the company, he sells BS. Most of the higher managers quit. Other people stayed because they have no choice.
",,1.0,Disagree,Agree,Disagree
2019-11-14, RF Engineer,"Elk Grove, CA","Former Employee, more than 1 year","Leave after a year, not a real engineering job","Easy to get the job - phone interview only. Didn't come in for an in person interview. Use this job as easy and steady income to apply for better positions.
","Underpaid salary, more than the minimum of any entry-level engineering positions. No advancement, no raises, no bonuses. You have no voice against the production team as they blame engineers for low numbers instead of trying to come up with a solution. You have to come in during Saturdays or help set up the production line. You can get sent to night shift on short notice and you will never be sent to day shift again. You are mostly doing technician work with basic troubleshooting. Management was horrible and based on nepotism. Basically, the people that move up are those that speak Mandarin.
",,1.0,Disagree,Neutral,Disagree
2019-11-07, Planner,,"Former Employee, more than 3 years",Not bad,"Nice and friendly working environment
","Heavy work loading and lack of work life balance
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,N/A
