date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-10-01, Promoter,"Orchard,",Current Employee,Good,"good pay for students and fun
","Strict management as its a big company
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-10-01, Commercial Manager,,Former Employee,Samsung,"Benefits nice office large company
","Long working hours constantly changing direction
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-10-01, Project Manager,"Southampton, England, England",Current Employee,Great palce to work,"Good salary great benefits nice atmosphere
","nothing worth to mention here
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,Agree,Agree
2021-10-01, Staff Engineer,Seoul,Current Employee,IT is a korean culture company,"has a good eduction system
","Lot of over time work
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,Neutral,Neutral
2021-10-01, Electrical Engineer,Tel Aviv,Current Employee,Great company,"Working on great challenges with great people.
","Sometimes there are very long hours.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-10-01, Lead Engineer,New Delhi,"Current Employee, more than 8 years",Overview,"Learning is good
Teams are good and cooperative
","Wfh policy is not there.
language certification is mandatory.
salary paid are very less compared to market.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-30, Lead Telecommunications Engineer,"Toronto, ON","Current Employee, more than 3 years",family,"amazing work experience with connections
","there is n cons with this job
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-30, Associate Product Marketing Manager,,"Current Employee, less than 1 year",Operation is heavy. Opportunity is spendid. Culture is not too friendly,"The resource to work on is huge especially data. Everything you need is upon you laptop in order to make the decision
","People are too busy with operation and there is no such details guidedance. Since everyone is too busy to do their job.
Advice to Management
Changing the culture is impossible. Let's roll with it.
Be the first to find this review helpful
Helpful
Share
Repor","Changing the culture is impossible. Let's roll with it.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-29, Manager,"Playa Vista, CA",Current Employee,Work,"It was a good starting job
","No guidance with the staff
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,Neutral,N/A
2021-09-29, Social Media Manager,Sydney,Current Employee,Not great not too terrible,"Decent pay for the amount of work
","Workplace politics!!!!
Bad managers
Expats are served as royalty
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,N/A,N/A,N/A
2021-09-29, Key Account Manager (KAM),,Former Employee,Great Work Place,"Good remuneration and benefits for the family
","highly competitive and long hours to work.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Agree,Agree
2021-09-28, Engineer II,Noida,"Current Employee, more than 1 year",Good,"Transportation facility is provided for pickup and drop.
","Work culture is not that good compared to US MNCs.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,N/A,Agree
2021-09-28, Tennis Professional,"Arizona City, AZ",Current Employee,Yes,"fun, hardworking, loyal, courageous, silly
","nothing really, they really care about you
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-28, Strategic Purchaser,Noida,"Current Employee, more than 3 years",Sourcing,"Everything good.Best place to work
","No cons.Go for it if gets chance to join
Advice to Management
No sugg as of now
Be the first to find this review helpful
Helpful
Share
Repor","No sugg as of now
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-28, Software Engineer,Noida,"Current Employee, more than 5 years",Good for medium term,"Lot of employee facilities and convenience.
Good enough compensation.
","Not for long term as Technical skills won't be grooming here. 
High skilled employees hired but not given job roles accordingly.
Low skilled employees are hired and pushed them to perform greater works.
Advice to Management
To develop company's development to next level higher & middle managers need to act as per their words across almost all areas. Only big talk but no ground action wont help.
Be the first to find this review helpful
Helpful
Share
Repor","To develop company's development to next level higher & middle managers need to act as per their words across almost all areas. Only big talk but no ground action wont help.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,N/A,Disagree
2021-09-28, Retail Assistant,"London, England, England","Current Employee, less than 1 year",Job,"Really fun and something new everyday.
","Not much bad things to say
Advice to Management
They are really friendly and nice.
Be the first to find this review helpful
Helpful
Share
Repor","They are really friendly and nice.
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-28, Software Engineer,,"Current Employee, more than 1 year",It's amazing to work in Samsung,"Great working environment 
Opportunity to work with some most ralent mind
Opportunity to be part of Research
Opportunity to develop problem solving akill
","Salary increament is yearly and increament rate is low.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-27,Anonymous,,"Current Employee, more than 10 years",Good for international experience,"Business at everywhere in the world
","Work load might be above the average
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,N/A
2021-09-27, Engineer,,Former Employee,Good,"Best company in Korea and high salary
","compared to IT company, it is strict
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-27, Executive,Chennai,"Current Employee, more than 5 years",Good to work,"Good job security and salary
","Food is not good but adjustable
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-26, Controlling Manager,"Cesson-Sévigné, 35","Former Employee, more than 5 years",Beware of Korean Culture!!!,"Good Products, Engineering and Global Advertising
Good Brand with innovative products
","Administration part is worst
Senior Korean Leaders are garbage. They are senior expat executives because they are Korean not because they have the capabilities.
No global opportunities if you are not Korean.
Advice to Management
Trust more on other nationalities and send other nationals as expats to other countries. 
Get rid of Korean language for the official company language, we are in 2021 and accept English as the one and only language. 
Don't talk Korean in front of people that can't speak the language, this is rude!!
Do not wear slippers in the office, this s not professional!!!
1 person found this review helpful
Helpful
Share
Repor","Trust more on other nationalities and send other nationals as expats to other countries. 
Get rid of Korean language for the official company language, we are in 2021 and accept English as the one and only language. 
Don't talk Korean in front of people that can't speak the language, this is rude!!
Do not wear slippers in the office, this s not professional!!!
1 person found this review helpful
Helpful
Share
Repor",2.0,Disagree,Disagree,Agree
