date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2020-12-31,Anonymous,,Current Employee,Best company,"Best culture; work life balance guaranteed; awesome benefits; Awesome place with best people to work with
","No cons; nothing i could think of
",,5.0,Agree,Agree,Agree
2020-12-31, Senior Product Manager,Tel Aviv-Yafo,"Current Employee, more than 5 years",Great place to work,"A company that seems to truly care about its employees and customers. It's not just buzzwords - people here really care!
","Navigating a huge global corporation can be frustrating at times.
",,5.0,Agree,Agree,Agree
2020-12-30, Team Lead Network & Security,Singapore,Current Employee,Great place to work,"Work environment , culture Tremendous learning opportunities Paid leave, medical Support from organisation Etc
","High work load although no body will force you
",,5.0,Agree,Agree,N/A
2020-12-30, Software Engineer Working Student,,Former Employee,good,"very friendly environment and colleagues
","the canteen is not very good
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,N/A
2020-12-30, Software Sales Executive,Dubai,Current Employee,Strong Global,"Strong global brand, quality software products. Work culture in Dubai office is partly influenced by its focused and professional German roots. Global transfer opportunities are possible, and have been achieved by many, with self-directed efforts and willingness to be flexible.
","A stronger focus on internal career development and progression would build a stronger bench for management.
",,4.0,N/A,N/A,N/A
2020-12-30,Anonymous,,Current Employee,Great place to work,"Great work culture. Work life balance good.
","Difficult to find cons of the company
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-29, Account Manager,Ciudad de Mexico,Current Employee,Review,"Big company many products, wide portfolio
","Customers are not so happy with sap
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-29, Development Architect,Bangalore,"Current Employee, more than 1 year",Employee friendly company,"* Good work culture * Employee friendly benefits * Interesting product to build
","* Sometimes processes slows down development pace and it affects teams. * Faster technology adoption and modernization is a must
",,3.0,Agree,Agree,Neutral
2020-12-29, Senior Presales Consultant,Dubai,"Current Employee, more than 8 years","Good company, lots of support and quite some pressure",,"ltant in Dubai
Recommend
CEO Approval
Business Outlook
Pros
Nice work environment, lots of resources available
Cons
Lots of admin. requirements and some pressures at quarter end
",,5.0,Agree,N/A,Agree
2020-12-29, Senior Presales Specialist,Rio de Janeiro,"Current Employee, more than 5 years",Best place to work,"Very good carrer path and salary above the average
","nothing to complain about the Company
Be the first to find this review helpful
Helpful
Share
Report
SAP Response
Thanks for your 5-star rating",,5.0,Agree,Agree,Agree
2020-12-29, Recruiter,"Chicago, IL",Current Employee,AMAZING CULTURE,"Life changing, Challenging, and compensation.
","None at this particular time.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,N/A
2020-12-29, Associate Developer,Bangalore,"Current Employee, less than 1 year",Great Place,"Best work life balance, good benefits
","Salary for freshers a little less than other companies
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-29, Sales Manager,"Vienna, Vienna","Former Employee, more than 5 years",Still ok for a big corporation,"Tends to be slow and complicated
","Complex process, slow pace of change
",,3.0,Disagree,Neutral,Neutral
2020-12-29, Chief Development Expert,"Walldorf, Baden-Wurttemberg, Baden-Wurttemberg","Current Employee, more than 10 years",Good company,"Very fair and supportive to employees during Covid times
","Parking situation, at least before COVID times, was a disaster Senior management often doesn’t know much about software engineering
",,5.0,Agree,Agree,Agree
2020-12-29, Internship,"Lo Roy Acres, VA","Former Employee, less than 1 year",Waa nice,"Is a very nice company to work at
","No cons really good place
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2020-12-29, Business Development Director,"Den Bosch, North Brabant, North Brabant","Current Employee, more than 3 years",Proud,"SAP Vision, CEO Christian Klein, customer first, innovations, partner eco-system, employee first (listen to employees and act, reward employees. Diversity & Inclusion, career-opportunities), charity, run the world better is not marketing but part of the SAP culture. Culture is open, non- hierarical, entrepreneur.
","There are no cons at SAP only pro's.
",,5.0,Agree,Agree,Agree
2020-12-28, Tech Support,Bangalore,Current Employee,Good,"Very Good Work Culture here.
","No Cons in my experience so far
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-28, Global Account Director,"Atlanta, GA","Former Employee, more than 5 years",Strong company & solid product portfolio,"Strong product portfolio for sales people to sell.
","Products are siloed and don't always work well together. It's the nature of historically acquiring companies in different domain spaces.
",,4.0,Agree,Neutral,Disagree
2020-12-28, Senior Android Engineer,Berlin,Former Employee,Was pretty ok,"nice pay and a nice environment
","long hours but rather boring work
Be the first to find this review helpful
Helpful
Share
Report
SAP Response
Thank you for the review",,3.0,N/A,N/A,N/A
2020-12-28, Implementation Project Manager,"Eden Prairie, MN",Current Employee,Implementation Project Manager,"Work from home is a plus
","Work-life balance can be tough
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-28, Consultant,,"Current Employee, more than 5 years",Great Company to Work for,,"ltant 
Recommend
CEO Approval
Business Outlook
Pros
A great company to work for benefits, smart people, a lot to learn
Cons
The salary could be more performance based and not depending how long you are with the company.
",,5.0,Agree,N/A,N/A
2020-12-28, SAP Mm Consultant,Chennai,Current Employee,SAP MM Consultant,,"ltant
28 Dec 2020 - SAP Mm Consultant in Chennai
Recommend
CEO Approval
Business Outlook
Pros
Good company for SAP consultants to work in
Cons
Nothing, offers wide range of opportunity in SAP
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-28, Devops Engineer,,Current Employee,GOod to Work,"Good Benefits with flexbenefits, food and cab
","Less Salary Hike other than that nothing much
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-27, Support Associate,Mumbai,"Current Employee, more than 3 years",Support Associate,"Perks and Benefits provided are plenty
","Work-Life Balance can be tricky when working at a client location as support
",,4.0,Agree,N/A,Neutral
2020-12-27, Software Developer II,Bangalore,Current Employee,Good Culture.,"Work life balance. Good benefits. Employee friendly
","Nothing found that needs to be mentioned
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Neutral
2020-12-27, Sales Associate,,Former Employee,Good place to work,"CEO really listens to you
","Benefits would be improved for employees
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-27, Xxx,"Walldorf, Baden-Wurttemberg, Baden-Wurttemberg",Current Employee,xxx,"good life-work balance, employee bonus
","working at a slow pace, willingness to change is very low
Be the first to find this review helpful
Helpful
Share
Report
SAP Response
Thank you for your feedback",,3.0,N/A,N/A,N/A
2020-12-26, Software Development Manager,Bangalore,Current Employee,Awesome place,"Trusting environment freedoms to xplore
","YoY hike is limited. For long timers, salary is low and skills get very specific. Company is run by white men. Lacks diversity in leadership. Very German driven company. Not inclusive. Glass ceiling
",,5.0,Agree,Neutral,Neutral
2020-12-26, Finance Operations Coordinator,Buenos Aires,"Current Employee, more than 1 year",A great place to work,"A great environment for personal development
","Really difficult to get promoted
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Disagree,Neutral
2020-12-26, STAR Program,Singapore,"Current Employee, more than 1 year",Amazing work culture and job,"Colleagues are always willing to provide guidance and yet give you autonomy in excelling. Amazing work culture and job experience.
","Complex products to be understood.
",,5.0,Agree,Agree,Agree
2020-12-25, Senior SAP Consultant,,Former Employee,yes,,"ltant 
Recommend
CEO Approval
Business Outlook
Pros
Moderate benefits , PTO and premium customer
Cons
Hire and layoff policy. Bonus ceiling , Hard to get time of as it impacts bonus
",,2.0,N/A,N/A,N/A
2020-12-25, Product Management,,Current Employee,Review,"Work life balance and Diversity
","Lacking vision and career growth is slow.
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Disagree,Disagree
2020-12-25, Commercial Sales Executive,"Toronto, ON","Current Employee, more than 10 years",I love working at SAP,"Great people, great culture, great rewards
","none, I really don't have any
",,5.0,Agree,Agree,Agree
2020-12-24, Senior Database Administrator,"Toronto, ON","Current Employee, more than 3 years",Awesome workplace,"Working on cutting edge products
","Don't see any negative points worth mentioning. Only positive feedback.
",,5.0,Agree,Agree,Agree
2020-12-24, Procurement Specialist,"Toronto, ON","Current Employee, more than 8 years",Great company,"Flexibility, benefits, work life balance
","Low salaries, poor career opportunities
",,4.0,Agree,N/A,Agree
2020-12-24, Senior Technical Recruiter,"Sunnyvale, CA",Current Employee,Used to be better,"Great colleagues, nice facilities and opportunities for learning & trying out new challenges.
","Lots of processes and admin that prolong hiring.
",,3.0,N/A,N/A,N/A
2020-12-23, Solutions Architect,,Former Employee,Great opportunity,"The benefits are very good.
","can be slow at times to navigate a complex organisation
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-23, Presales Consultant,Düsseldorf,Current Employee,Great place to work,,"ltant in Düsseldorf
Recommend
CEO Approval
Business Outlook
Pros
Great employer, training and development opportunities
Cons
Not the most dynamic environment
",,5.0,N/A,N/A,N/A
2020-12-23,Anonymous,Brno,"Current Employee, more than 1 year",Working in SAP,"Great company with great people and opportunities
","Have not found any cons so far
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2020-12-23, Developer Associate,Bangalore,"Former Employee, more than 1 year",Best place to work with,"Good work life balance Big and massive team outings
","Less pay as compared to many other product based
",,5.0,Agree,Agree,Agree
2020-12-23, Customer Experience Account Manager,"New York, NY","Current Employee, more than 3 years",Great Culture,"Nice place to work, great culture, market driven to customer needs.
","sometimes bureaucratic in making changes
",,5.0,Agree,N/A,Agree
2020-12-22, Engagement Lead,Tokyo,"Current Employee, more than 3 years",Great place to work,"Good culture and good opportunities to work
","Complicated process and product matrix. need to be more simple
",,4.0,Agree,Neutral,Neutral
2020-12-22, Sales Director,"Dallas, TX",Current Employee,Great,"Awesome company to work for with amazing culture
","Big and bureaucratic as large companies tend to be
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-22, Lawyer,Nairobi,Current Employee,Great Company,"Great culture, great work life balance
","Rigid structure and slow promotion
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-22, CEO,"Chester Springs, PA",Current Employee,"Great employer, but very static","Stable employment Interesting projects Good compensation
","Not very dynamic culture lot of internal politics
",,4.0,N/A,N/A,N/A
2020-12-22, Senior SAP Consultant,New Delhi,"Current Employee, more than 5 years",Good,,"ltant in New Delhi
Recommend
CEO Approval
Business Outlook
Pros
Work culture is employee friendly
Cons
Nothing, everything is good and better then market standards
",,5.0,Agree,Agree,Agree
