date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-09-27, Marketing,Seoul,Current Employee,Great company with real work and life balance,"Good money and life. Best memory company in the world
","Not a good company to develop a marketing career
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Neutral,Agree
2021-09-26, Senior Engineer,Seoul,Current Employee,Forced to be happy,"Profit share is expected.
Incentive is always.
","Percentage of profit share is not transparent.
Advice to Management
Why don't you try to SamSung.
Be the first to find this review helpful
Helpful
Share
Repor","Why don't you try to SamSung.
Be the first to find this review helpful
Helpful
Share
Repor",2.0,N/A,N/A,N/A
2021-09-20, Technician,,Current Employee,work and life balance good,"i can work till i want if i work 40 hours a week
","someoneworks 50 more hours a week so managers want us to work more
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-14,Anonymous,,Current Employee,Many of Benefits,"I enjoy many benefits such as children's education expenses, family medical expenses, and corporate hotels.
","Salary and eorkload do not seem to be proportional. There ia a tendency for certain people to flock to work.
Advice to Management
Personall, I think it is company that is expected to grow in the future.
Be the first to find this review helpful
Helpful
Share
Repor","Personall, I think it is company that is expected to grow in the future.
Be the first to find this review helpful
Helpful
Share
Repor",5.0,N/A,N/A,N/A
2021-09-13, Director,Seoul,"Current Employee, more than 10 years",Good place to work,"Competitive salary and stable profit
","Many changes every year for the NAND solution business
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-13, Account Manager,Seoul,Current Employee,hmm,"nice salary, and performance incentives
","wasting your valuable time for commuting
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Agree,Agree
2021-09-05, Principal Software Engineer,,Current Employee,SK hynix in korea,"Profit-sharing, well-known memory semiconductor company
","korean culture, overtime, location, long-distance from seoul
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-08-31, Engineer,Seoul,Current Employee,good memory company,"people happily work in office
","working place is in country side
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-08-19, Sales Associate,Icheongeo-ri,"Current Employee, more than 3 years",Decent company for the new employee,"Can learn about B2B business
","Remote area, somewhat rigid culture
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Neutral,Neutral
2021-08-13, Manager,,Current Employee,Awsome Company,"Great place to work.
Good opportunities.
","Not a good culture.
Korean company atmosphere.
Conservative.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,N/A,Neutral
2021-08-09, Package Development Engineer,,"Current Employee, more than 1 year",Competitive job,"Opportunity to experience new trends in packaging industry. Good company benefits.
","Poor Management; Unwilling to change the management system, too much resorting to hierarchy.
Advice to Management
At least, Pretend to show respect to employees.
Be the first to find this review helpful
Helpful
Share
Repor","At least, Pretend to show respect to employees.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Neutral,Agree
