date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-09-29, Financial Analyst,"New York, NY",Current Employee,Yes,"Great work environment and atmosphere.
","Long working hours and unpredictable hours.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-28,Anonymous,,"Former Employee, more than 3 years",Amazing,"Salary, bonuses, internal sales, etc
","None, it was an amazing experience
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-28, Devops Engineer,Bangalore,"Current Employee, more than 3 years",Best work life balance,"I'm working here for 3 years and its the best in work life balance.
","Nothing as such. Loving it
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,N/A
2021-09-27, Receptionist/Front Office Executive,,Former Employee,Good com,"Nice place to work for
","Nothing to think of for now
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,N/A,N/A,N/A
2021-09-26, Accountant,Dhaka,Current Employee,*,"The working environment is good.
","There is no downsides that I can mention.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Neutral
2021-09-26, User Experience Designer,"New York, NY","Former Employee, more than 1 year",Jj,"Very interesting productive and slayy
","Actually it's kinda bored pleade just
Advice to Management
Gg
Be the first to find this review helpful
Helpful
Share
Repor","Gg
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Disagree,N/A,Disagree
2021-09-26, Senior Java Developer,,"Former Employee, more than 1 year",Not at all good company to work.. Read carefully ..,"Good discounts on Sony products , Samagama annual day...
","Incompetent management in Sony India with focus on cost cutting and layoffs resulting in loss of all projects to consulting vendors. Too much focus on cost cutting and thereby making it as a operational mess in india center. Sony subsidiary entities are not trusting Sony India capabilities n giving all new projects to vendors (consulting firms). No learning curve for technology based employees. Layoffs are also done during pandemic period.

Plan is to move existing projects to a vendor company. This is planned across all service lines .. Don't see any future for employees in SISCPL.Also, no career growth for technical people...
Advice to Management
don't focus only on cost measures and show slides on cost savings.Need to really focus on innovation and avoid moving projects to vendors. Keep good technology focused or results driven people in key positions..
Be the first to find this review helpful
Helpful
Share
Repor","don't focus only on cost measures and show slides on cost savings.Need to really focus on innovation and avoid moving projects to vendors. Keep good technology focused or results driven people in key positions..
Be the first to find this review helpful
Helpful
Share
Repor",1.0,Disagree,Neutral,Disagree
2021-09-24, Manager,Fushë-Pjeshkë,"Former Employee, more than 3 years",Good company,"Flexible， and lots to learn
","Salary so so, promotion also alow
Advice to Management
Stay as a good company
Be the first to find this review helpful
Helpful
Share
Repor","Stay as a good company
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,N/A
2021-09-24, Executive Assistant,,Current Employee,Good,"Good work good job good culture
","Nothing nothing nothing nothing noyhing
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-23, Territory Sales Representative,Sydney,"Current Employee, more than 5 years",Great company to work for,"Great people, excellent products and very good management team.
","Limited progression in many roles, people tend to sit in their roles so job openings are few and far between.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
