date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2020-12-27, Strategy Planner,"Shenzhen, Guangdong, Guangdong","Former Employee, more than 3 years",Chinese culture,"open to business environment changing
","Pretend to be global company, but Chinese culture still exists
",,2.0,Agree,Neutral,Neutral
2020-12-24, Software Engineer,"Beijing, Beijing, Beijing",Former Employee,nice company,"good working environment, friendly colleges
","sometimes large workload, less private space
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-24, Business Intelligence Analyst,,Current Employee,general information about this company,"benifits are good in this company
","need to work hardly at work
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-24,Anonymous,,"Current Employee, less than 1 year",so proud to work here,"great platform, focusing on teamwork
","sometimes need to work overtime
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-23,Anonymous,"Beijing, Beijing, Beijing","Current Employee, more than 3 years",power,"very nice very friendly and so on
","too people too tield too full time
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-21, Game Analyst,"Shenzhen, Guangdong, Guangdong",Current Employee,absolutely huge and expanding fast,"Leading influence in China SNS and Gaming market
","Follow-up strategy and lack of pioneer sense
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-21, Compensation Analyst,"Shenzhen, Guangdong, Guangdong","Current Employee, less than 1 year",good,"optimal net compant and more optunity
","too big to cover all information of the comany
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2020-12-20, ESports Manager,"Shenzhen, Guangdong, Guangdong",Former Employee,Leading company in esports,"leading company in esports area
","you will need to get used to the overtime and china culture
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2020-12-19, Software Engineer,"Shenzhen, Guangdong, Guangdong",Former Employee,good,"potential to grow, able to learn a lot
","too busy, poor work life balance
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-18, Investor Reporting Analyst,"London, England, England",Current Employee,great,"a best job on the world
","i don't think there are any cons
1 person found this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2020-12-18, Human Resources,,Current Employee,Internet,"Team work happy high paid
","Pressure Competition High pace tired
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
