date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-10-01, Manufacturing Technician II,"Cramlington, England, England","Current Employee, more than 3 years",Salary,"Good shift pattern as 4 on 4 off
","Have to work bank holidays if shifts fall on said days
Advice to Management
Good, helpfull and allow progression
Be the first to find this review helpful
Helpful
Share
Repor","Good, helpfull and allow progression
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-30, Research Scientist,"Los Angeles, CA",Current Employee,good,"good care, good care, good
","less money, less money, less promotion
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-30,Anonymous,,"Current Employee, less than 1 year",Good place to woek,"Flexibility, Bonus payout, Employee well-being plans
","Compensation, work pressure, no backup in teams
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Neutral
2021-09-30, Software Engineer II,Hyderābād,"Current Employee, more than 3 years",Good company to start your career,"Healthy work environment,
Good work and sports
","Not much interesting work in some teams
Advice to Management
Rewards are less compared to work
Be the first to find this review helpful
Helpful
Share
Repor","Rewards are less compared to work
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Agree,Agree,Agree
2021-09-30, Laboratory Technician,Brisbane,Current Employee,Fun office.,"Great technology and analytical equipment
","Often moral is low, high work load.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Neutral,Agree
2021-09-29, Engineering Manager,Bangalore,"Current Employee, less than 1 year",Its a trade on work life balance and salary,"In terms of technology all cutting egde techs are used
","Work life balance and process are not there
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Agree,Neutral
2021-09-29,Anonymous,,"Current Employee, more than 3 years",Great Company,"Leadership, Advancement Opportunities, Company Mission, Global Company
","I have not experienced significant cons with Thermo Fisher Scientific yet.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-28, Outside Sales Representative,"Seattle, WA","Former Employee, more than 8 years","Very mixed bag, many members of senior management highly dysfunctional and low EQ. (LCD Division)","Good job stability given global positioning and portfolio scope. Perhaps good place to cut your teeth out of college, but don’t be afraid to look for “greener pastures” at the two year mark. Some direct report managers are good, but many are hit or miss in my experience.
","Low follow through on commitments from senior management and periodic manipulation with comp plans to the reps detriment. Generally poor ethics. Given size, leadership can shift very quickly whether sales territory, role, product or account mix. Features a high change environment and many shifting expectations over time.
Advice to Management
When printing criteria for sales rep awards have the integrity to follow through on those same published commitments.
Be the first to find this review helpful
Helpful
Share
Repor","When printing criteria for sales rep awards have the integrity to follow through on those same published commitments.
Be the first to find this review helpful
Helpful
Share
Repor",2.0,Disagree,Disagree,Disagree
2021-09-28, Manufacturing Technician,,Current Employee,Good job,"Good job and good work environment
","Not flexible with your hours
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-28, QA Supervisor,"Mount Prospect, IL","Current Employee, more than 1 year",Under paid and overworked,"ect, IL
Recommend
CEO Approval
Business Outlook
Pros
I have not found any pros to this company as of yet.
","Overworked
Underpaid
management is lacking
if you are not willing to be a puppet you will not advance
Advice to Management
Pay your employees what they are worth. Lowest paid employees in the pharmaceutical industry.
Be the first to find this review helpful
Helpful
Share
Repor","Pay your employees what they are worth. Lowest paid employees in the pharmaceutical industry.
Be the first to find this review helpful
Helpful
Share
Repor",2.0,Disagree,Disagree,Disagree
2021-09-28, QA Associate,,"Current Employee, more than 1 year",QA Associate,"Good benefits, flexible management and workload
","The salary is low and moral is low
Advice to Management
Increase salary
Be the first to find this review helpful
Helpful
Share
Repor","Increase salary
Be the first to find this review helpful
Helpful
Share
Repor",4.0,N/A,Neutral,Agree
2021-09-28, Product Specialist,Singapore,Former Employee,Toxic culture,"None I can think of
","Toxic culture no collaboration at all
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,Disagree,Neutral,Neutral
2021-09-28, Software Engineer,,"Former Employee, more than 1 year",Good in ruining career and life of freshers,"1. Job timings are good.
2. You will get salary before time.
","1. After appointing as fresher they will make you work however they want. Even if you want to work as developer not automation engineer..it doesn't matter to them.
2. Mentors will treat you nothing. Humiliate you in every meeting and don't help or reply to messages.
3. You need to get permission for everything you do in daily basis and mentors won't reply.
4. Will shout on juniors in public.
4. Team members seeing your condition, try to take advantage of you in any way they want. They are good in manipulating the mind of new comers.
Advice to Management
Don't ruin people's life. New comers are also people. Also see in what field other person want to work.
In other companies if some one shouts or talk regarding the personal things which are outside boundaries..it is considered as offence and they are punished by law.
If some one is more experienced doesn't mean he is god and other is useless.
Don't give opportunity to people when they are asking to leaving the organization.
On the last days I discussed this with a HR and see said it's your mistake you should have told earlier.
Be the first to find this review helpful
Helpful
Share
Repor","Don't ruin people's life. New comers are also people. Also see in what field other person want to work.
In other companies if some one shouts or talk regarding the personal things which are outside boundaries..it is considered as offence and they are punished by law.
If some one is more experienced doesn't mean he is god and other is useless.
Don't give opportunity to people when they are asking to leaving the organization.
On the last days I discussed this with a HR and see said it's your mistake you should have told earlier.
Be the first to find this review helpful
Helpful
Share
Repor",1.0,Disagree,N/A,Disagree
2021-09-27, Sales Representative,"San Francisco, CA","Current Employee, more than 3 years",Overall Great Company,"Large well established company, great products, great benefits
","Terrible manager (at least mine) who causes a toxic work environment that faces no accountability, pays under market value
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Agree,Agree
2021-09-27,Anonymous,,Current Employee,Thermo,"Tolerant culture towards incompetency - double-edge sword
","Too much tolerance arisen from hiring inexperience tech with low pay - could be good if you want less stressful environment.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-27, Laboratory Assistant,"Swindon, Wiltshire, South West England, England, England","Current Employee, less than 1 year",New starter but the company shows that it cares straight away,"Lots of benefits, tight working community
","Lot of paperwork and forms to fill
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,N/A
2021-09-26, Lab Technician,"Pleasanton, CA",Current Employee,Low salary for entry level workers,"overall relatively good benefit: insurance, 401k, etc
","low salary considering in the bay area
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,N/A,N/A,N/A
