date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-09-30, Reliability Engineer,,"Current Employee, more than 1 year",Good company for starters. Very good work environment.,"Good Work environment.
No forced OT
","Slow rate of salary increase
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-29, Systems Engineer,"Cabuyao, Laguna, Laguna",Current Employee,Good Company for fresh graduate,"Competitive company, Good Work Environment
","Salary is low and not competitive
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-27, Project Manager,,"Current Employee, less than 1 year",Salary,"Good Salary for good amount of work
","Poor of strategy, no vision to pursue
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Disagree,Agree
2021-09-26, Retail Sales Associate,,Current Employee,Average,"Timing is not very bad. good environment
","Nothing special to say about
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,N/A,Disagree
2021-09-21, Design Verification Engineer,,"Former Employee, more than 3 years",It was great,"Light job because of great workforce
","Less skills to learn due to constant work
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-17, Junior Software Tester,Bangalore,"Current Employee, more than 1 year",Nil,"Cool
Great to learn thingsWorks with japanese clients
Deals with printers
","nil 
not supportive
strict
environment not good
Advice to Management
Nil
Be the first to find this review helpful
Helpful
Share
Repor","Nil
Be the first to find this review helpful
Helpful
Share
Repor",3.0,N/A,N/A,N/A
2021-09-16, Enginreer,Singapore,Current Employee,ok,"good working. . . . . .
","bad environment. . . . . .
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,N/A,N/A,N/A
2021-09-15, Vice President,"San Jose, CA",Current Employee,Full support from team and great company culture,"No micromanagement 
Great support from staff and executives
Growth potential
Wonderful company culture
","I wish I found this company sooner!
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2021-09-14, Systems Analyst,,"Current Employee, more than 1 year",Great Place to Work!!,"-Good work culture.
-Technically sound peers and seniors.
","No cons as such to be mentioned
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,Agree,N/A
2021-09-12," Manager, Finance and Accounting","Alīgarh, Uttar Pradesh, Uttar Pradesh","Former Employee, more than 5 years",Very good organisation,"On time salary, free work culture , freedom to implement your ideas, seneors are very good and strong.
","Nothing to say ...all good
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,N/A
2021-09-12, Systems Specialist,,"Current Employee, more than 5 years",Don’t come here,"Opportunity to work in latest technology
","Worst work life balance.
No respect for good ideas.
Incompetent resources
Advice to Management
None
Be the first to find this review helpful
Helpful
Share
Repor","None
Be the first to find this review helpful
Helpful
Share
Repor",1.0,Disagree,N/A,Disagree
2021-09-12, Service Coordinator,"Katy, TX",Former Employee,Good pay,"Clean. Good pay and hours.
","Too much favoritism. Bad management.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,Neutral
2021-09-10, IT Systems Administrator,"Binãn, Laguna, Laguna",Current Employee,"Friendly working place, good workplace for beginner","Long working hours, early working hours
","Meal allowance, with shuttle, no hazard pay
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,Neutral,Agree
2021-09-08, Manager,Shah Alam,"Current Employee, more than 10 years",Toshiba - A People Organisation,"1. Highly organised 
2. Mature organisation
3. Well known international brand
4. Experienced in its industry
5. Experienced and qualified manpower
","1. Recent accounting scandal 
2. Many business units taken over by other organisations
Advice to Management
Value experienced employees
Be the first to find this review helpful
Helpful
Share
Repor","Value experienced employees
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Neutral,Agree
2021-09-08, Software Engineer,Bangalore,"Current Employee, more than 3 years",Good to work,"Work life is very balance
","Canteen is not good at all
Advice to Management
Not very responsive in nature
Be the first to find this review helpful
Helpful
Share
Repor","Not very responsive in nature
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-07, Software Engineer,Bangalore,"Current Employee, more than 1 year",Work Life Balance,"Nothing to say positive about toshiba
","All are cons here , please dont join
Advice to Management
please provide opportunities for younger management
Be the first to find this review helpful
Helpful
Share
Repor","please provide opportunities for younger management
Be the first to find this review helpful
Helpful
Share
Repor",2.0,Disagree,N/A,Disagree
2021-09-05, Administrative Executive,Shah Alam,Current Employee,Was okay,"Great colleagues and overall was good
","Everything was okay but theres No pay raise
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-02, Software Engineer,Sydney,Current Employee,rjgfru,"Work life balance.
Independent
flexible working hours
","one way communication with management.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-08-31, Engineer,,Former Employee,Typical Japanese,"Friendly colleague - same department
","Underpaid
OT determine promotion
Increment in 2 digits
High turnover rate and no training from suitable seniors. Senior keep changing, 1 month employee can become senior as well
Advice to Management
Change culture. Research on current salary market rate. Dont just underpay your employee. Treat you colleagues in good manner, not only your own department but others as well
Be the first to find this review helpful
Helpful
Share
Repor","Change culture. Research on current salary market rate. Dont just underpay your employee. Treat you colleagues in good manner, not only your own department but others as well
Be the first to find this review helpful
Helpful
Share
Repor",1.0,N/A,N/A,N/A
2021-08-29, Field Service Engineer,Cairo,Former Employee,Review,"Good Place to work inside
","Work Load in different sectors
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-08-29, Purchase Executive,"Woods Cross, UT","Current Employee, more than 3 years",Purchase executive,"Scope of learning is high
","Infrastructure is not upto the mark
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Agree,Disagree
2021-08-28,Anonymous,Hyderābād,"Current Employee, less than 1 year",Good,"Good place to work and learn
","Nothing as such in terms of cons
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Neutral
2021-08-27, Manager Operations,,"Former Employee, more than 5 years",Manager Operations,"Flexibility to work independently in the organization
","Not to mention about cons.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-08-25, Senior Sales Executive,Bangalore,"Current Employee, more than 5 years",Unlimited cap for commission,"Great people
Training
Great Products vs the Industry
","New management since 2019. Way too much micro management from that point on.
Advice to Management
Give sales executives the freedom to be able to produce without constant oversight.
Be the first to find this review helpful
Helpful
Share
Repor","Give sales executives the freedom to be able to produce without constant oversight.
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Disagree,Disagree,Disagree
2021-08-25, Engineer,,"Former Employee, more than 5 years",Good learning opportunity (under a good manager),"- Straightforward task and work, KPI easy to understand 
- Possibility to do many types of work = good learning (depending on manager)
- Flexible hours, with overtime pay + annual bonus
- High potential to build good relations with colleagues
- Good amount of contact with external partners / vendors / clients
- There is a cafeteria
","- Medium pay, annual increment is great only if promoted
- Backend DB requires intensive training for newcomers
- Career growth very highly dependent on manager
- Flexible hours may translate to long hours (but it can be fun when the project is fun)
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,Neutral
2021-08-21, Assistant Manager,"White Plains, NY","Current Employee, more than 5 years",Working environment,"It's quite comfortable. Could get good work life balance
","Not attractive salary. Slowly of Business perform.
Advice to Management
N/A
Be the first to find this review helpful
Helpful
Share
Repor","N/A
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Disagree,N/A,Disagree
2021-08-19, Software Engineer,,"Current Employee, more than 1 year",Good and well,"Best place to learn
Good Environment
Good Team mates
Good salary
","Nothing..all are okay.. no cons only work die untill u dont
Advice to Management
Nothing
Be the first to find this review helpful
Helpful
Share
Repor","Nothing
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-08-15, Senior Software Engineer,"Bangkok, East Java, East Java","Current Employee, more than 1 year",No wotk life balance,"No pros as of now
","Process flow not good.
Work culture is bad.
No collaberatibe enviornment with global team.
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Neutral,Neutral
2021-08-14, Vice President,Bangalore,Former Employee,Great,"Great working experience at Toshiba
","people just believe rule book than the human intelligence
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2021-08-12, Mechanical Engineer,,"Current Employee, more than 3 years",OK,"Friendly colleagues that willing to help through the project, some leaders who are good that willing to teach you new knowledge.
","Overtime pay is less and limited, increment even worst. Some department leader is non-sense and only make your job become stupid and wasting your time.
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,N/A,Neutral
2021-08-12, Human Resources,Taipei,Current Employee,Nice,"stable, good benefits, humanity, less working hours
","salary may not good as other global companies.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Neutral
2021-08-11, Director,"Raleigh, NC",Current Employee,Best place I have ever worked,"Great leadership, great talent, growing and going!
","growing fast, need more talent
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2021-08-11, Assistant Service Engineer,Shah Alam,"Current Employee, less than 1 year",Decent Experience,"Friendly colleagues, relaxed working environment, work-life balance.
My seniors are patient in guiding me along the journey and is always willing to help.
","No much cons 
working office a bit old, career prospect not as good, Need to deal with machines. ok ok.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-08-09, Senior Associate Engineer,,"Former Employee, more than 5 years",Those doesn't care about holding senior management level can stay there till you got grandchildren.,"Bonus never missed 2x per year but only 1 month (1/2 +1/2)2 times
","Malay guy never dream to crawl more than Manager level-that's it.Do not dream to jump till Project Director level, Senior Manager also too far away guess till Covid gone also, you remain at Manager level yeah.
Advice to Management
Investigate more on the warehouse area, any misconduct activity happen or not?
Be the first to find this review helpful
Helpful
Share
Repor","Investigate more on the warehouse area, any misconduct activity happen or not?
Be the first to find this review helpful
Helpful
Share
Repor",1.0,Disagree,N/A,N/A
2021-08-07, Deputy Manager ,"Gurgaon, Haryana, Haryana","Former Employee, more than 5 years",Best place to work,"Global support sometimes get unsupported due to limitation of TT
","Care of Employee
MNC culture is great 
Matrix setup going well
Lots of learning for everyone
Advice to Management
Keep it up
Be the first to find this review helpful
Helpful
Share
Repor","Keep it up
Be the first to find this review helpful
Helpful
Share
Repor",5.0,N/A,N/A,N/A
2021-08-05, Solutions Engineer,,"Current Employee, more than 1 year",OK Job,"Flexible work schedules, Good Friendly People (mostly)
","Low Salary, Not much is expected, Little to no career development, Time to Time MicroManagement
Advice to Management
More Career Development. Insist on technical certifications and continuing education.
Be the first to find this review helpful
Helpful
Share
Repor","More Career Development. Insist on technical certifications and continuing education.
Be the first to find this review helpful
Helpful
Share
Repor",2.0,Disagree,Neutral,Disagree
2021-07-29, Network Engineer,"Binãn, Laguna, Laguna","Current Employee, more than 1 year",Culture,"Good Workmates. Good environment and as a first job it will give you a good exposure to your work experiences.
","Lacks trainings and work - life balance of the employees. cannot give a wfh setup for rank and file employees
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Neutral,Neutral
2021-07-28, Administrator,"Lake Forest, CA","Former Employee, more than 3 years",They don’t really care about you,"Great benefits- paid holidays and vacation time.
","In my 3 years I never received more then a 2% raise. Even when I put the extra effort in. There is no career path. Pay is way below standard.
Advice to Management
Get to know your employees and help them succeed in there career path
Be the first to find this review helpful
Helpful
Share
Repor","Get to know your employees and help them succeed in there career path
Be the first to find this review helpful
Helpful
Share
Repor",2.0,Disagree,N/A,Disagree
2021-07-27, Director,"Houston, TX","Current Employee, more than 5 years",Strong Company with great benefits,"Toshiba is a stable company with great benefits (health, vision, dental, 401k match)
work life balance is decent.
Diverse workforce.
","There is a tendency for people to never leave making upward movement difficult for a younger developing staff. There is no job rotation so it is difficult to learn all aspects of the company unless your movement is upwards versus lateral.
Advice to Management
Institute a job rotation program so that employees can learn more aspects at their particular job skill level allowing employees to develop and also to create backups for positions so when people leave, it is easier to transition tasks to other employees.
Be the first to find this review helpful
Helpful
Share
Repor","Institute a job rotation program so that employees can learn more aspects at their particular job skill level allowing employees to develop and also to create backups for positions so when people leave, it is easier to transition tasks to other employees.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,N/A,N/A,N/A
2021-07-21, Software Engineer,Bangalore,"Current Employee, more than 1 year",Good,"Nice learning environment and good scope of career growth
","All is well no cons as of now
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-07-20, Software Engineer,Bangalore,"Current Employee, more than 1 year",It's good,"Technology is good to work
","No cons as of now
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,N/A
2021-07-15, Manual Test Engineer,Bangalore,Current Employee,Good Company for Freshers,"*Best Place for Freshers
*Friendly working
","* Less knowledge of Test Management tools
Advice to Management
Use Test Management tools
Be the first to find this review helpful
Helpful
Share
Repor","Use Test Management tools
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-07-14, SSE,Bangalore,Current Employee,-,"Provides very good learning opportunities.
","No cons to specify .
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-07-12, Customer Service Representative,Bukit Mertajam,"Former Employee, more than 1 year",Customer Service Admin,"enjoyed a lot of experience when working here, deal with people.
","career growth and unsupportive manager
Advice to Management
to add more headcounts in order to perform well
Be the first to find this review helpful
Helpful
Share
Repor","to add more headcounts in order to perform well
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-07-11, Deputy Manager,Chennai,"Current Employee, more than 8 years",Good company,"Good company to work in. Nice post.
","Not good integration among departments
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2021-07-08, Full Stack Web Developer,Bangalore,"Current Employee, more than 3 years",Full Stack Web Developer,"Easy to get into the company
free snacks
good environment of friends
onsite japan
","No work like balance
onsite japan
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-07-08, Research Scientist,"Kawasaki, Kanagawa, Kanagawa",Former Employee,Opportunity for improve skill,"Very helpful colleagues and there are chance to improve skill.
","Low profitability based on poor management.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-07-06, Research Engineer,"Kawasaki, Kanagawa, Kanagawa","Current Employee, more than 5 years",Good company,"Working time is flexible. It is easy to take days off.
","The salary is relatively low.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Neutral,Neutral
2021-07-06, Senior Industrial Designer,Tokyo,"Former Employee, more than 5 years",Not worth after the scandal,"Competitive salary
Variety of corporate benfit
","A lot of business were sold. Most of the skilled young designers left.
Global resources are wasted if they don't speak Japanese.
You get higher salary and being asked to work 30-40 hours extra per month. It doesn't make any sense.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,N/A,Disagree
2021-07-06, Lab Analyst,"Phoenixville, PA",Former Employee,good,"great benefits for an employee
","too much workload for the position
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-07-05, Software Test Engineer,Singapore,Former Employee,a,"Paid Over time, nothing else
","low salary, performance is OT based
1 person found this review helpful
Helpful
Share
Repor",,2.0,N/A,N/A,N/A
2021-07-03, Information Technology,Hanoi,Current Employee,Good,"Flexible time to go to market
","No bonus no extra time
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,Neutral,Neutral
2021-07-03, Software Engineer,Bangalore,"Former Employee, more than 3 years",It was good experience to work as fresher,"Good Work life balance and no micro management
","Should get some good quality of projects
1 person found this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-07-02, Software Developer,Bangalore,"Current Employee, more than 1 year",Work Culture,"Team work
Very supportive colleagues and managers
","Office long hour timing is too much
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-07-02, Data Analyst,,Former Employee,Good,"Not good company to join for freshers
","No work life balance and no ethics
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Disagree
2021-06-30, Software Engineer,,"Current Employee, more than 1 year",Good company for settlers,"Strict time. No work beyond that.
Helping colleagues.
Good travel opportunity
","Strict tracking up to minutes.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Agree
2021-06-30, Deputy Manager,"Gurgaon, Haryana, Haryana","Current Employee, more than 5 years",Project Management,"Best in water sector industry
","No salary hike due to pandemic
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,N/A,Agree
2021-06-28, Assistant Manager,,Former Employee,Working at Toshiba Powers,"Standardized procedures are followed for working
","Top Management is very stubborn in decision making
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-06-27, Account Executive,"King of Prussia, PA","Current Employee, more than 3 years",It’s a Grind but it’s fruitful,"Your effort really pays off when you put your training to work and leverage your management. Saw an increase in income from commissions more than 10k year over year
","A lot of building your book of business and cold calling. Lack of an on-site administration team to assist with small tasks that are time consuming
Advice to Management
Have an on-site administration team.
Be the first to find this review helpful
Helpful
Share
Repor","Have an on-site administration team.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,N/A
2021-06-25, Planner,Singapore,"Former Employee, more than 1 year",No worklife balance,"Flexible working hour and OT payable
","Long working hours
Unhealthy working environment
2 people found this review helpful
Helpful
Share
Repor",,2.0,Disagree,N/A,N/A
2021-06-25, Software Engineer,Bangalore,"Current Employee, more than 3 years",Good place to work. Good work colleagues,"learn on Linux c c++ embedded systems
","Strict timings
Lot of paper work
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,N/A,Neutral
