date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-09-28, Engineer,Taipei,"Former Employee, less than 1 year",Wistron's pros and cons,"The company's Welfare is really good
","Some time overtime(It is paid , it's really good)
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,N/A
2021-09-21, Senior Product Manager,Taipei,Current Employee,A good company,"Big and good. Based in Taiwan and branches worldwide.
","It depends which dept you are in.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-20, Warehouse Supervisor,Klang,Former Employee,overall is good company,"Transport allowance and OT allowance, standard working hours 8+1daily
","Everyday have to OT including weekend
Advice to Management
Should be more consideration to employees regarding to workloads
Be the first to find this review helpful
Helpful
Share
Repor","Should be more consideration to employees regarding to workloads
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Neutral,Agree
2021-09-15, Trainee Engineer,Bangalore,"Current Employee, less than 1 year",Working at Wistron,"This company definitely will serve as a introduction to SMT for those who are unfamiliar with field. With least of knowledge on Electronics one can get a job here.
","Management has no idea how to efficiently run and interact with employees. Supervisors and managers are nowhere well versed in SMT process nor they seem to care about their employees.
Advice to Management
Improvement starts with assigning post to suitable individuals , with honesty and sincerity.
Be the first to find this review helpful
Helpful
Share
Repor","Improvement starts with assigning post to suitable individuals , with honesty and sincerity.
Be the first to find this review helpful
Helpful
Share
Repor",1.0,Disagree,Disagree,N/A
2021-09-14, Assistant Human Resources Manager,Klang,"Current Employee, more than 1 year","Division Head, HR","Good place for fresh graduates
","Can revised position from permanent to contract without notified.
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,N/A,Disagree
2021-09-09, Mechanical Engineer,Taipei,Current Employee,a good starting for your career,"friendly working place, there'll have a mentor to guide you at beginning
","salary is not very competitive
Advice to Management
don't limit employees to transfer to another division
more transfer will bring more creative
Be the first to find this review helpful
Helpful
Share
Repor","don't limit employees to transfer to another division
more transfer will bring more creative
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Disagree,Agree,Neutral
2021-09-09,Anonymous,,Current Employee,Company culture,"You'll have time to improve your ability.
","A little bit too comfortable.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-07, Operator,,"Former Employee, less than 1 year",they make u to work like anything no mercy more political,"better for harworking and shifts wise
","they are just concrened about money not abut employes
Advice to Management
hire them according to education level
Be the first to find this review helpful
Helpful
Share
Repor","hire them according to education level
Be the first to find this review helpful
Helpful
Share
Repor",1.0,Disagree,Disagree,Disagree
2021-09-06,Anonymous,Bangalore,"Former Employee, more than 1 year",Engineering team,"Good company for learning.
Benefits are good
Work life balance. 
Canteen
Bus
","No cons is there
All good
No cons.
Senior management not so good.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-02, Process Engineer,Bangalore,Current Employee,Good,"Free cab and food facilities
Preferable to fresher to learn
","To much of politics,
To crowded
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-02, Senior Engineer,Taipei,"Former Employee, more than 5 years",Stable company,"Stable 
Wistron is help for beginner learning place. If you would like to understand a design process. That’s a good choice for you.
","Too much overtime work.Hardly promote because too many very senior employees.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Agree,Agree
2021-08-31, Account Manager,Taipei,Current Employee,Steady company,"Steady, flexible working hour, friendly
","Political promotion process, normal salary
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,Agree,Neutral
2021-08-30, Assistant Project Manager,Taipei,Current Employee,Wistron 20 years,"Stable
Shuttle bus
Follow rules
Internal Job rotations
","Low pay
Keep changing contact windows in HR
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-08-26, Design Manager,,Current Employee,Good Wistron,"overtime with money
Balance life and work
","Loading is heavy and busy
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-08-25, BIOS Engineer,Taipei,"Current Employee, more than 1 year",About the environment,"It is a fun work environment.
","The salary is a little low
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-08-25, Junior Automation Engineer,"Kolār, Karnataka, Karnataka","Current Employee, more than 1 year",Ok,"Good infrastructure, good transport facility
","Poor management, No value for our education qualification, pay scale is less
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,N/A,N/A,N/A
2021-08-24, Frontend Developer,Kaohsiung,"Former Employee, less than 1 year",web interfaces developer,"With the flexible working arrangement, all tasks are discussible.
","The data team has to support web development without sufficient web acknowledgment. (not every team in Wistron has a similar situation, my previous team can be an exception.)
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-08-23, Electronics Hardware Testing,Bangalore,Current Employee,Worst company not a good place for graduated students,"Bad company i never seen in my life
","Plz graduated students not go to work here
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,Disagree,Disagree,Disagree
2021-08-21, Sourcing Specialist,,Current Employee,Cost,"Cost Negotiation and supply management
","Low salary heavy work loading
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Agree,Agree
2021-08-19, Systems Engineer,,Former Employee,Cloud Engineer,"1. There are vehicles for commuting to and from get off work, which saves transportation costs.
2. Guaranteed 14 months, and fixed birthday gifts for one week.
","1. Overtime does not necessarily have overtime pay, it depends on the supervisor’s idea
2. The work location is relatively far away.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,N/A
2021-08-19, Thermal Engineer,Taipei,Current Employee,Wistron,"Great starting for a freshman.
","Salary is not satisfying to me.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Neutral
