date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-01-01, Technical Trainer,Bangalore,"Current Employee, more than 5 years",Good company to work with,"9-6 kinda job easy to work with
","No growth due to skeletal staff
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,Agree
2020-12-20, Supply Chain Senior Product Manager,"Beijing, Beijing, Beijing","Current Employee, less than 1 year",Review for Xiaomi,"nice salary and flexible work time.
","peers are not so professional. Work overtime.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,N/A
2020-12-19, Translator,"Medellín, Antioquia, Antioquia",Current Employee,Good environment,"Well organized company Workload is not too big
","There are no cons till now
",,5.0,N/A,N/A,N/A
2020-12-17,Anonymous,Mumbai,"Current Employee, less than 1 year",Working at Xioami,"Amazing work culture, Huge autonomy on projects, Peers apssionate about technology and Xiaomi
","Not any that I could think of
",,5.0,Agree,N/A,Agree
2020-12-17, Customer Support,Bangalore,Current Employee,Good,"Very good environmental for working
","Providing salary late and should provide facilities.
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,Disagree,N/A,Agree
2020-12-17, Student,"Chicago, IL",Former Employee,Fast evolving culture,"you get to learn a lot in a short period of time.
","it can get stressful at times
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Disagree,N/A,Neutral
2020-12-17, Android Developer,"Beijing, Beijing, Beijing",Current Employee,Fun Time,"Very friendly Environment and nice working place
","less salary compared to market
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-12-17, Marketing Manager,"Beijing, Beijing, Beijing",Current Employee,Review for working here,"Relaxing and creative atmosphere You are free to express yourself
","Work overtime too much Little incentive for career development
",,5.0,Disagree,N/A,Agree
2020-12-12, Specialist,,"Current Employee, more than 1 year",Great place to work,"Fast paced, lots to learn, no hierarchy
","None that I can think of
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2020-12-08, Retail Store Manager,"Chongqing, Chongqing, Chongqing","Former Employee, more than 8 years",New retail leading technology company,"Social insurance benefits are very good, giving employees adequate protection
","Rest time cannot be fully guaranteed
",,4.0,Agree,N/A,Agree
2020-12-07, Software Developer,,Current Employee,About Xiaomi,"They offer a decent salary package
","Work-life balance is not very good
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,N/A,N/A,N/A
2020-12-04, Product Manager,,Former Employee,"Its just ok ,too much PR","Free food all the time , cab facilities , decent workplace. They have a tonne of perks. If you learn to lick your manager's posterior , you will get very far here because logic and intelligence doesn't work.
","You gotta work with China team. They have a different pace of working and team here in India has a different pace. Yelling culture. If you come from a MNC kind of environment you wont find it here. They will yell and insult you in front of everyone. product management is especially messy. You wont learn much. Leaders dont have leadership qualities. China team is hostile and will play a lot of games to retain control and the management here wont help you but will make you feel like its your fault. No clear product strategy. if you join as Product manager you will just be doing meaningless work dictated by your manager not on anythign else.
",,3.0,Disagree,N/A,Neutral
2020-12-03, Product Manager,,Current Employee,Major Learning opportunities,"Growth Opportunities, Growing & supporting team
","Management issues, Lower Payscale than industry standards
",,5.0,N/A,N/A,N/A
2020-12-03, Machine Learning Engineer,"Beijing, Beijing, Beijing",Current Employee,good diverse vitality,"good and encouraging , good environment
","a little tired low pay
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2020-11-30, Operations Manager,"Beijing, Beijing, Beijing",Current Employee,Good,"A Big Platform and Decent Salary
","A bit ar from the downtown
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,N/A,Agree
2020-11-19, Senior Software Engineer,"Beijing, Beijing, Beijing","Current Employee, more than 5 years",Good company with reletively stable growth,"Proper work pace, good work environment, and college relationship
","Relatively stable/slow growth, the main focus is a mobile phone(hardware)
",,4.0,Agree,N/A,Neutral
2020-11-17," Director, Global Public Relations","Beijing, Beijing, Beijing",Current Employee,Complicated,"Good vibes, learning things fast
","No clear work process, too sales driven
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,N/A,Agree
2020-11-14, Operations,Bangalore,"Current Employee, less than 1 year",Work life balance,"Healthy environment and friendly people
","Workload can take a toll to meet deadlines
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,Agree
2020-11-12, Product Manager,"Wuhan, Hubei, Hubei","Former Employee, more than 1 year",Testing head line,"pretty cool office with gym
","communicating time is considerably long
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2020-11-08, Customer Service Manager,Mumbai,Current Employee,Good team to work,"Belive in employees for any decision
","NA Na na na na
",,3.0,N/A,N/A,N/A
2020-10-29, Associate Manager,Bangalore,"Current Employee, more than 1 year",Great place to work,"Great learning, super fast pace , transparency between functions, No hierarchy, kind and understanding managers
","not any con I can think of
",,5.0,Agree,N/A,Agree
2020-10-23, Outbound Dispatch Agent,Bangalore,Current Employee,Every thing is good,"Good environment nice team work
","Not any cons jus no cab facilities
",,5.0,Agree,N/A,Neutral
2020-10-19, Software Engineer,Bangalore Rural,"Current Employee, less than 1 year",Company is ok,"All good but some exemptions
","No freedom, more work hours
",,3.0,N/A,N/A,N/A
2020-10-19, Product Ops Specialist,Bangalore,"Former Employee, more than 1 year",You have to just follow the orders,"Free Food, Indian Managers are great and very helping in nature
","You have to follow the orders and then also reply why you don't use ur brain to do some work.
",,3.0,Disagree,N/A,Disagree
2020-10-11, Customer Support Representative,Bangalore,Current Employee,Based on smartphone,"Social media handle great number customer.
","The freshers are paid less sallary
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,Agree
2020-10-06, Software Engineer,"Beijing, Beijing, Beijing",Former Employee,Xiaomi software engineer,"Good work place, good work environment
","Environment in Beijing is bad
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2020-10-03, Sales Representative,Enugu,"Former Employee, less than 1 year",Safe work culture,"Get to learn and explore marketing strategies
","Low salary rate for employees
",,3.0,Disagree,N/A,Neutral
2020-09-25, Operation Specialist,,"Former Employee, more than 1 year",Young and energetic company,"People around you are energetic and innovative.
","It is hard to get promotion.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-09-22,Anonymous,,Current Employee,Good,"Good Env to work and grow
","I don't see any cons here
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2020-09-18, Electronic Assembler,Bhopal,"Current Employee, less than 1 year",Xiaomi,"Good working environment with staff co-ordination
","There is no down words
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
